Para1,InSample1_RateOfReturn,OutSample1_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample1_AvgTrade,OutSample1_AvgTrade,Score_1,Pass1,Para2,InSample2_RateOfReturn,OutSample2_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample2_AvgTrade,OutSample2_AvgTrade,Score_2,Pass2,Para3,InSample3_RateOfReturn,OutSample3_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample3_AvgTrade,OutSample3_AvgTrade,Score_3,Pass3,Para4,InSample4_RateOfReturn,OutSample4_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample4_AvgTrade,OutSample4_AvgTrade,Score_4,Pass4,Para5,InSample5_RateOfReturn,OutSample5_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample5_AvgTrade,OutSample5_AvgTrade,Score_5,Pass5,Para6,InSample6_RateOfReturn,OutSample6_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample6_AvgTrade,OutSample6_AvgTrade,Score_6,Pass6,Para7,Pass7
1_20_1.25_50_4.csv,1.46393075,0.11865068317295344,55.0,45.0,0.02661692272727273,0.002636681848287854,0.09906035627425133,No,2_40_1.5_125_6.csv,1.0098165327516115,0.9859575618747196,10.0,14.0,0.10098165327516115,0.07042554013390855,0.6974092604921868,Yes,2_80_0.75_100_16.csv,1.3102645981259942,0.43041876328801226,9.0,14.0,0.14558495534733268,0.030744197377715162,0.2111770224084383,No,2_60_1.25_225_12.csv,1.6526104322965516,0.8678812136648942,4,9,0.4131526080741379,0.09643124596276603,0.23340345450623898,No,2_80_1.5_125_6.csv,1.1182602989699366,0.8948817340375431,5.0,7.0,0.22365205979398733,0.12784024771964903,0.5716032655250595,Yes,2_100_1.75_125_14.csv,1.3089258503367434,-0.08963994335045469,2.0,5.0,0.6544629251683717,-0.01792798867009094,-0.027393436634288584,No,,
1_20_1.25_50_6.csv,1.46393075,0.11865068317295344,55.0,45.0,0.02661692272727273,0.002636681848287854,0.09906035627425133,No,2_40_1_50_6.csv,1.0047147369232243,0.49101499306665525,18.0,22.0,0.055817485384623576,0.022318863321211604,0.3998543317997613,No,2_80_0.75_100_18.csv,1.3102645981259942,0.43041876328801226,9.0,14.0,0.14558495534733268,0.030744197377715162,0.2111770224084383,No,2_60_1_225_12.csv,1.633400332022328,0.5797459911883612,6,13,0.272233388670388,0.04459584547602779,0.16381475356067768,No,2_80_1.5_50_6.csv,1.1182602762158906,0.8948817566373208,5.0,7.0,0.22365205524317813,0.12784025094818868,0.5716032915914288,Yes,2_100_1.75_150_14.csv,1.3089258503367434,-0.08963994335045469,2.0,5.0,0.6544629251683717,-0.01792798867009094,-0.027393436634288584,No,,
1_20_1.25_50_8.csv,1.46393075,0.11865068317295344,55.0,45.0,0.02661692272727273,0.002636681848287854,0.09906035627425133,No,2_20_2_150_6.csv,1.004647034453986,0.16346681906594285,13.0,21.0,0.07728054111184507,0.0077841342412353735,0.10072566947958742,No,2_80_0.75_100_20.csv,1.3102645981259942,0.43041876328801226,9.0,14.0,0.14558495534733268,0.030744197377715162,0.2111770224084383,No,2_60_1_225_10.csv,1.5951983518781192,0.5797458430440638,6,13,0.26586639197968653,0.044595834080312605,0.16773776387547298,No,2_80_1.5_75_6.csv,1.1182602762158906,0.8948817566373208,5.0,7.0,0.22365205524317813,0.12784025094818868,0.5716032915914288,Yes,2_100_1.75_100_16.csv,1.3089258375203552,-0.08963991391792998,2.0,5.0,0.6544629187601776,-0.017927982783585997,-0.027393427908106668,No,,
3_20_1.25_50_10.csv,1.46393075,0.11865068317295344,55.0,45.0,0.02661692272727273,0.002636681848287854,0.09906035627425133,No,2_40_1.5_150_10.csv,0.9924639058368809,0.40104099845513763,9.0,13.0,0.11027376731520899,0.030849307573472127,0.2797520056179071,No,2_80_0.75_100_8.csv,1.3102645981259942,0.45386822881690725,9.0,14.0,0.14558495534733268,0.03241915920120766,0.22268206988739253,No,2_60_1.25_225_10.csv,1.5849288017151353,0.8678810944785235,4,9,0.3962322004287838,0.09643123271983595,0.24337051005819973,No,2_80_1.5_150_6.csv,1.1182602312519776,0.6778655212095247,5.0,7.0,0.22365204625039553,0.09683793160136067,0.43298477802855967,No,2_100_1.75_50_16.csv,1.3089258375203552,-0.08963991391792998,2.0,5.0,0.6544629187601776,-0.017927982783585997,-0.027393427908106668,No,,
3_20_1.25_50_12.csv,1.46393075,0.11865068317295344,55.0,45.0,0.02661692272727273,0.002636681848287854,0.09906035627425133,No,2_40_1.5_150_12.csv,0.9924639058368809,0.40104099845513763,9.0,13.0,0.11027376731520899,0.030849307573472127,0.2797520056179071,No,2_80_0.75_50_10.csv,1.3102645981259942,0.43041876328801226,9.0,14.0,0.14558495534733268,0.030744197377715162,0.2111770224084383,No,2_60_1.25_225_8.csv,1.5849287348231569,0.8678810210210502,4,9,0.3962321837057892,0.09643122455789448,0.2433704997307758,No,2_80_1.5_175_6.csv,1.1182601337808646,0.6778655397167228,5.0,7.0,0.22365202675617293,0.09683793424524612,0.43298482759031526,No,2_100_1.75_75_16.csv,1.3089258375203552,-0.08963991391792998,2.0,5.0,0.6544629187601776,-0.017927982783585997,-0.027393427908106668,No,,
3_20_1.25_50_14.csv,1.46393075,0.11865068317295344,55.0,45.0,0.02661692272727273,0.002636681848287854,0.09906035627425133,No,2_40_1.5_150_14.csv,0.9924639058368809,0.40104099845513763,9.0,13.0,0.11027376731520899,0.030849307573472127,0.2797520056179071,No,2_80_0.75_50_12.csv,1.3102645981259942,0.43041876328801226,9.0,14.0,0.14558495534733268,0.030744197377715162,0.2111770224084383,No,2_60_1.5_125_12.csv,1.5746968943050437,0.7752075878732608,4,9,0.3936742235762609,0.08613417643036231,0.2187955707333141,No,2_80_1.5_200_6.csv,1.118260000862127,0.6778655897173811,5.0,7.0,0.22365200017242542,0.0968379413881973,0.4329849109935958,No,2_100_1.75_200_14.csv,1.3089258329650286,-0.05906480404503345,2.0,4.0,0.6544629164825143,-0.014766201011258362,-0.022562318871512225,No,,
3_20_1.25_50_16.csv,1.46393075,0.11865068317295344,55.0,45.0,0.02661692272727273,0.002636681848287854,0.09906035627425133,No,2_40_1.5_150_16.csv,0.9924639058368809,0.40104099845513763,9.0,13.0,0.11027376731520899,0.030849307573472127,0.2797520056179071,No,2_80_0.75_50_14.csv,1.3102645981259942,0.43041876328801226,9.0,14.0,0.14558495534733268,0.030744197377715162,0.2111770224084383,No,2_60_1.5_175_12.csv,1.5746966329755108,0.77520763260565,4,9,0.3936741582438777,0.08613418140062777,0.21879561966896593,No,2_100_1.25_125_4.csv,1.0976878539574666,0.5731697179851452,5.0,7.0,0.21953757079149333,0.08188138828359216,0.3729720976158533,No,2_100_1.75_125_20.csv,1.3089257978355855,-0.08963987076048113,2.0,5.0,0.6544628989177927,-0.017927974152096227,-0.027393415549974764,No,,
3_20_1.25_50_18.csv,1.46393075,0.11865068317295344,55.0,45.0,0.02661692272727273,0.002636681848287854,0.09906035627425133,No,2_40_1.5_150_18.csv,0.9924639058368809,0.40104099845513763,9.0,13.0,0.11027376731520899,0.030849307573472127,0.2797520056179071,No,2_80_0.75_50_16.csv,1.3102645981259942,0.43041876328801226,9.0,14.0,0.14558495534733268,0.030744197377715162,0.2111770224084383,No,2_60_1.5_200_12.csv,1.5746966390593113,0.7752074720669045,4,9,0.39367415976482784,0.08613416356298939,0.21879557351298856,No,2_100_1.25_175_4.csv,1.0976878522205014,0.5731697303500896,5.0,7.0,0.21953757044410027,0.0818813900500128,0.37297210625213617,No,2_100_1.75_150_20.csv,1.3089257978355855,-0.08963987076048113,2.0,5.0,0.6544628989177927,-0.017927974152096227,-0.027393415549974764,No,,
3_20_1.25_50_20.csv,1.46393075,0.11865068317295344,55.0,45.0,0.02661692272727273,0.002636681848287854,0.09906035627425133,No,2_40_1.5_150_20.csv,0.9924639058368809,0.40104099845513763,9.0,13.0,0.11027376731520899,0.030849307573472127,0.2797520056179071,No,2_80_0.75_50_18.csv,1.3102645981259942,0.43041876328801226,9.0,14.0,0.14558495534733268,0.030744197377715162,0.2111770224084383,No,2_60_1.5_150_12.csv,1.5746965771248358,0.7752076317782822,4,9,0.39367414428120895,0.08613418130869803,0.21879562719559947,No,2_100_1.25_100_4.csv,1.0976878340147471,0.5731694396980175,5.0,7.0,0.21953756680294942,0.08188134852828821,0.37297192330542017,No,2_100_1.75_175_16.csv,1.3089257810926056,-0.08963979040464269,2.0,5.0,0.6544628905463028,-0.01792795808092854,-0.02739339134410425,No,,
3_20_1.25_50_4.csv,1.46393075,0.11865068317295344,55.0,45.0,0.02661692272727273,0.002636681848287854,0.09906035627425133,No,2_20_2_125_4.csv,0.9870620259678486,0.45080558256439074,15.0,24.0,0.06580413506452325,0.018783565940182947,0.28544658966742753,No,2_80_0.75_50_20.csv,1.3102645981259942,0.43041876328801226,9.0,14.0,0.14558495534733268,0.030744197377715162,0.2111770224084383,No,2_80_1.5_225_4.csv,1.5595501011495034,1.0919169125610182,11,7,0.14177728192268213,0.15598813036585973,1.1002336076024328,Yes,2_100_1.25_50_4.csv,1.0976878340147471,0.5731694396980175,5.0,7.0,0.21953756680294942,0.08188134852828821,0.37297192330542017,No,2_100_1.75_100_20.csv,1.3089257674973753,-0.08963988491825524,2.0,5.0,0.6544628837486877,-0.017927976983651048,-0.02739342051143018,No,,
