Para1,InSample1_RateOfReturn,OutSample1_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample1_AvgTrade,OutSample1_AvgTrade,Score_1,Pass1,Para2,Pass2,Para3,InSample3_RateOfReturn,OutSample3_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample3_AvgTrade,OutSample3_AvgTrade,Score_3,Pass3,Para4,InSample4_RateOfReturn,OutSample4_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample4_AvgTrade,OutSample4_AvgTrade,Score_4,Pass4,Para5,InSample5_RateOfReturn,OutSample5_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample5_AvgTrade,OutSample5_AvgTrade,Score_5,Pass5,Para6,InSample6_RateOfReturn,OutSample6_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample6_AvgTrade,OutSample6_AvgTrade,Score_6,Pass6,Para7,Pass7
2_20_1.25_50_16.csv,2.85472475,0.13835008582649125,19,23,0.15024867105263157,0.006015221122890923,0.040035103676782695,No,,,1_40_0.75_225_6.csv,1.0681234402720872,0.9547407803928271,23.0,15.0,0.04644014957704727,0.0636493853595218,1.3705680524117019,Yes,3_20_0.75_75_12.csv,1.8898799550138623,0.1332938103676735,23.0,69.0,0.08216869369625489,0.0019317943531546881,0.023510101794921634,No,2_80_0.75_50_4.csv,2.4026039266223083,0.5129145471623643,10.0,13.0,0.24026039266223082,0.03945496516633572,0.1642175172076878,No,2_60_1.25_175_6.csv,0.7775309607780959,-0.055931836046215384,8.0,11.0,0.09719137009726199,-0.005084712367837762,-0.052316500557090154,No,,
2_20_1.25_50_18.csv,2.85472475,0.13835008582649125,19,23,0.15024867105263157,0.006015221122890923,0.040035103676782695,No,,,1_40_0.75_225_8.csv,1.0681234402720872,0.9547407803928271,23.0,15.0,0.04644014957704727,0.0636493853595218,1.3705680524117019,Yes,3_20_0.75_75_14.csv,1.8898799550138623,0.1332938103676735,23.0,69.0,0.08216869369625489,0.0019317943531546881,0.023510101794921634,No,2_80_0.75_75_4.csv,2.4026039266223083,0.5129145471623643,10.0,13.0,0.24026039266223082,0.03945496516633572,0.1642175172076878,No,2_60_2_150_10.csv,0.7727879949697695,-0.12645138120231744,5.0,9.0,0.15455759899395388,-0.01405015346692416,-0.09090561420712666,No,,
2_20_1.25_50_20.csv,2.85472475,0.13835008582649125,19,23,0.15024867105263157,0.006015221122890923,0.040035103676782695,No,,,3_40_0.75_225_10.csv,1.0681234402720872,0.9547407803928271,23.0,15.0,0.04644014957704727,0.0636493853595218,1.3705680524117019,Yes,3_20_0.75_75_16.csv,1.8898799550138623,0.1332938103676735,23.0,69.0,0.08216869369625489,0.0019317943531546881,0.023510101794921634,No,2_80_0.75_50_6.csv,2.371457618482815,0.58862312526447,8.0,11.0,0.2964322023103519,0.05351119320586091,0.18051747680853164,No,2_60_1.25_100_6.csv,0.734391050424983,-0.11991641160380274,10.0,13.0,0.0734391050424983,-0.009224339354138673,-0.12560528003167606,No,,
2_20_1.25_50_8.csv,2.7817645,0.1383501008590038,20,23,0.139088225,0.006015221776478425,0.04324752707483631,No,,,3_40_0.75_225_12.csv,1.0681234402720872,0.9547407803928271,23.0,15.0,0.04644014957704727,0.0636493853595218,1.3705680524117019,Yes,3_20_0.75_75_18.csv,1.8898799550138623,0.1332938103676735,23.0,69.0,0.08216869369625489,0.0019317943531546881,0.023510101794921634,No,2_80_0.75_75_6.csv,2.371457618482815,0.58862312526447,8.0,11.0,0.2964322023103519,0.05351119320586091,0.18051747680853164,No,2_40_2_100_4.csv,0.7314407963619034,-0.25281045976208966,12.0,13.0,0.06095339969682528,-0.019446958443237666,-0.3190463294904705,No,,
2_20_2_50_6.csv,2.77038375,0.17465271273779492,16,19,0.173148984375,0.009192248038831312,0.053088662760637756,No,,,3_40_0.75_225_14.csv,1.0681234402720872,0.9547407803928271,23.0,15.0,0.04644014957704727,0.0636493853595218,1.3705680524117019,Yes,3_20_0.75_75_20.csv,1.8898799550138623,0.1332938103676735,23.0,69.0,0.08216869369625489,0.0019317943531546881,0.023510101794921634,No,2_80_0.75_50_8.csv,2.3304397749408454,0.2775698694969992,8.0,10.0,0.2913049718676057,0.02775698694969992,0.0952849749585294,No,2_100_0.75_150_4.csv,0.6993855820004902,-0.09864223436140786,9.0,12.0,0.07770950911116557,-0.008220186196783988,-0.10578095642098044,No,,
2_20_1_50_10.csv,2.6734015,0.16792222412932536,23,26,0.11623484782608696,0.006458547081897129,0.055564636618792185,No,,,3_40_0.75_225_16.csv,1.0681234402720872,0.9547407803928271,23.0,15.0,0.04644014957704727,0.0636493853595218,1.3705680524117019,Yes,3_20_0.75_75_4.csv,1.8898799550138623,0.1332938103676735,23.0,69.0,0.08216869369625489,0.0019317943531546881,0.023510101794921634,No,2_80_0.75_75_8.csv,2.3304397749408454,0.2775698694969992,8.0,10.0,0.2913049718676057,0.02775698694969992,0.0952849749585294,No,2_80_0.75_125_6.csv,0.6873044157625314,-0.029572918848137418,10.0,13.0,0.06873044157625315,-0.002274839911395186,-0.033097996451417526,No,,
2_20_1_50_12.csv,2.6734015,0.16792222412932536,23,26,0.11623484782608696,0.006458547081897129,0.055564636618792185,No,,,3_40_0.75_225_18.csv,1.0681234402720872,0.9547407803928271,23.0,15.0,0.04644014957704727,0.0636493853595218,1.3705680524117019,Yes,3_20_0.75_75_6.csv,1.8898799550138623,0.1332938103676735,23.0,69.0,0.08216869369625489,0.0019317943531546881,0.023510101794921634,No,2_60_1_100_6.csv,2.3210550671503842,0.2643844330075753,11.0,14.0,0.2110050061045804,0.01888460235768395,0.08949836170391225,No,2_40_2_125_4.csv,0.6853775069244019,-0.26207321209044887,12.0,13.0,0.05711479224370016,-0.02015947785311145,-0.3529642157690781,No,,
2_20_1_50_14.csv,2.6734015,0.16792222412932536,23,26,0.11623484782608696,0.006458547081897129,0.055564636618792185,No,,,3_40_0.75_225_20.csv,1.0681234402720872,0.9547407803928271,23.0,15.0,0.04644014957704727,0.0636493853595218,1.3705680524117019,Yes,3_20_0.75_75_8.csv,1.8898799550138623,0.1332938103676735,23.0,69.0,0.08216869369625489,0.0019317943531546881,0.023510101794921634,No,2_80_1_100_6.csv,2.308847532476175,0.17239286678850776,8.0,12.0,0.28860594155952185,0.014366072232375647,0.04977746526889434,No,2_100_0.75_100_4.csv,0.6715282716633204,-0.125425176277716,10.0,13.0,0.06715282716633204,-0.00964809048290123,-0.1436736305830237,No,,
2_20_1_50_16.csv,2.6734015,0.16792222412932536,23,26,0.11623484782608696,0.006458547081897129,0.055564636618792185,No,,,3_40_0.75_225_6.csv,1.0681234402720872,0.9547407803928271,23.0,15.0,0.04644014957704727,0.0636493853595218,1.3705680524117019,Yes,1_20_0.75_100_10.csv,1.816536573135136,-0.0643204424557,21.0,68.0,0.08650174157786361,-0.000945888859642647,-0.010934911163507793,No,2_80_1_50_6.csv,2.3088474259980205,0.1723929645442947,8.0,12.0,0.28860592824975256,0.014366080378691226,0.04977749579093597,No,2_100_0.75_75_4.csv,0.6715282716633204,-0.125425176277716,10.0,13.0,0.06715282716633204,-0.00964809048290123,-0.1436736305830237,No,,
2_20_1_50_18.csv,2.6734015,0.16792222412932536,23,26,0.11623484782608696,0.006458547081897129,0.055564636618792185,No,,,3_40_0.75_225_8.csv,1.0681234402720872,0.9547407803928271,23.0,15.0,0.04644014957704727,0.0636493853595218,1.3705680524117019,Yes,1_20_0.75_100_12.csv,1.816536573135136,-0.0643204424557,21.0,68.0,0.08650174157786361,-0.000945888859642647,-0.010934911163507793,No,2_80_1_75_6.csv,2.3088474259980205,0.1723929645442947,8.0,12.0,0.28860592824975256,0.014366080378691226,0.04977749579093597,No,2_100_0.75_125_4.csv,0.6715282433692824,-0.12542508619169593,10.0,13.0,0.06715282433692824,-0.00964808355320738,-0.1436735334436525,No,,
2_20_1_50_20.csv,2.6734015,0.16792222412932536,23,26,0.11623484782608696,0.006458547081897129,0.055564636618792185,No,,,1_40_0.75_100_4.csv,1.0628951552688264,0.9283006400856703,36.0,17.0,0.029524865424134066,0.05460592000503943,1.8494892092007211,Yes,1_20_0.75_100_14.csv,1.816536573135136,-0.0643204424557,21.0,68.0,0.08650174157786361,-0.000945888859642647,-0.010934911163507793,No,2_80_1_100_8.csv,2.3048621006839785,-0.005448569994542934,7.0,11.0,0.3292660143834255,-0.0004953245449584485,-0.0015043293972685874,No,2_60_2_200_10.csv,0.670237101071907,-0.13689637849106914,5.0,9.0,0.1340474202143814,-0.015210708721229906,-0.11347259571951099,No,,
2_20_1_50_8.csv,2.6734015,0.16792222412932536,23,26,0.11623484782608696,0.006458547081897129,0.055564636618792185,No,,,3_40_0.75_100_4.csv,1.0628951552688264,0.9283006400856703,36.0,17.0,0.029524865424134066,0.05460592000503943,1.8494892092007211,Yes,1_20_0.75_100_16.csv,1.816536573135136,-0.0643204424557,21.0,68.0,0.08650174157786361,-0.000945888859642647,-0.010934911163507793,No,2_80_1_50_8.csv,2.3048618795320692,-0.005448581315368544,7.0,11.0,0.3292659827902956,-0.0004953255741244131,-0.0015043326672463406,No,2_60_2_175_10.csv,0.6702369901931099,-0.13689636500453517,5.0,9.0,0.13404739803862198,-0.01521070722272613,-0.11347260331262524,No,,
2_20_1_50_6.csv,2.50625125,0.16792243567827606,25,26,0.10025005000000001,0.006458555218395233,0.06442445882466126,No,,,1_40_1_75_4.csv,1.0602435022184271,0.3672492004880811,41.0,23.0,0.02585959761508359,0.015967356542960047,0.6174634571129785,Yes,1_20_0.75_100_18.csv,1.816536573135136,-0.0643204424557,21.0,68.0,0.08650174157786361,-0.000945888859642647,-0.010934911163507793,No,2_80_1_75_8.csv,2.3048618795320692,-0.005448581315368544,7.0,11.0,0.3292659827902956,-0.0004953255741244131,-0.0015043326672463406,No,2_40_1.75_100_6.csv,0.6583454134780703,-0.21811749385623788,11.0,13.0,0.059849583043460934,-0.016778268758172146,-0.28034061233122176,No,,
2_20_1.25_50_6.csv,2.4703165,0.1594075785306614,21,23,0.11763411904761904,0.0069307642839418,0.05891797668953666,No,,,3_40_1_75_4.csv,1.0602435022184271,0.3672492004880811,41.0,23.0,0.02585959761508359,0.015967356542960047,0.6174634571129785,Yes,1_20_0.75_100_20.csv,1.816536573135136,-0.0643204424557,21.0,68.0,0.08650174157786361,-0.000945888859642647,-0.010934911163507793,No,2_60_1_100_12.csv,2.264229850619981,0.2151613440558767,9.0,11.0,0.2515810945133312,0.019560122186897882,0.07774877609438731,No,2_40_1.75_75_6.csv,0.6583452798893407,-0.24546325429790825,11.0,14.0,0.05984957089903097,-0.017533089592707732,-0.292952636574235,No,,
