Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Pass6,Para7,Pass7
3_120_1.25_150_20.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,2_60_1.25_100_12.csv,0.20888354561146089,0.4236755429247948,Yes,2_120_1_75_14.csv,0.3018915741458258,0.024401418555869615,Yes,,
3_120_1.25_150_4.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,2_60_1_125_6.csv,0.20888086319652732,0.1224469242537973,Yes,2_120_1_75_16.csv,0.3018915741458258,0.024401418555869615,Yes,,
3_120_1.25_150_6.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,2_20_1.25_50_4.csv,0.20814210590719173,0.08594900771719365,Yes,2_120_1_100_18.csv,0.30189152965066823,0.02440142380846965,Yes,,
3_120_1.25_150_8.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,2_20_2_50_6.csv,0.20775738244545344,0.024113998035433865,Yes,2_120_1_125_18.csv,0.30189152965066823,0.02440142380846965,Yes,,
3_120_1.25_50_10.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,2_60_0.75_150_4.csv,0.2074133769046287,0.06621181746677826,Yes,2_120_1_150_18.csv,0.30189152965066823,0.02440142380846965,Yes,,
3_120_1.25_50_12.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,1_40_0.75_125_10.csv,0.20693589921950722,-0.021334931911492817,No,2_120_1_50_18.csv,0.30189152965066823,0.02440142380846965,Yes,,
3_120_1.25_50_14.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,1_40_0.75_125_12.csv,0.20693589921950722,-0.021334931911492817,No,2_120_1_75_18.csv,0.30189152965066823,0.02440142380846965,Yes,,
3_120_1.25_50_16.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,1_40_0.75_125_14.csv,0.20693589921950722,-0.021334931911492817,No,2_80_1.75_100_8.csv,0.30173124641189725,0.03022809467000591,Yes,,
3_120_1.25_50_18.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,1_40_0.75_125_16.csv,0.20693589921950722,-0.021334931911492817,No,2_80_1.75_50_8.csv,0.301731203663982,0.030228081011037536,Yes,,
3_120_1.25_50_20.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,1_40_0.75_125_18.csv,0.20693589921950722,-0.021334931911492817,No,2_80_1.75_75_8.csv,0.301731203663982,0.030228081011037536,Yes,,
3_120_1.25_50_4.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,1_40_0.75_125_20.csv,0.20693589921950722,-0.021334931911492817,No,2_80_1.75_125_8.csv,0.30173116737443867,0.030228090192512817,Yes,,
3_120_1.25_50_6.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,1_40_0.75_125_4.csv,0.20693589921950722,-0.021334931911492817,No,2_80_2_100_10.csv,0.29816470925311683,0.02113934631155986,Yes,,
3_120_1.25_50_8.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,1_40_0.75_125_6.csv,0.20693589921950722,-0.021334931911492817,No,2_80_2_125_10.csv,0.29816470161224023,0.02113936359173248,Yes,,
3_120_1.25_75_10.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,1_40_0.75_125_8.csv,0.20693589921950722,-0.021334931911492817,No,2_80_2_150_10.csv,0.2981646864906426,0.021139358372340947,Yes,,
3_120_1.25_75_12.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,3_40_0.75_125_10.csv,0.20693589921950722,-0.021334931911492817,No,2_80_2_50_10.csv,0.298164662821484,0.021139383308373862,Yes,,
3_120_1.25_75_14.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,3_40_0.75_125_12.csv,0.20693589921950722,-0.021334931911492817,No,2_80_2_75_10.csv,0.298164662821484,0.021139383308373862,Yes,,
3_120_1.25_75_16.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,3_40_0.75_125_14.csv,0.20693589921950722,-0.021334931911492817,No,2_80_2_175_10.csv,0.2981646614816948,0.021139379000069267,Yes,,
3_120_1.25_75_18.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,3_40_0.75_125_16.csv,0.20693589921950722,-0.021334931911492817,No,2_40_0.75_50_10.csv,0.2936367878241051,0.047896542032398834,Yes,,
3_120_1.25_75_20.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,3_40_0.75_125_18.csv,0.20693589921950722,-0.021334931911492817,No,2_40_0.75_50_12.csv,0.2936367878241051,0.047896542032398834,Yes,,
3_120_1.25_75_4.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,3_40_0.75_125_20.csv,0.20693589921950722,-0.021334931911492817,No,2_40_0.75_50_14.csv,0.2936367878241051,0.047896542032398834,Yes,,
3_120_1.25_75_6.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,3_40_0.75_125_4.csv,0.20693589921950722,-0.021334931911492817,No,2_40_0.75_50_16.csv,0.2936367878241051,0.047896542032398834,Yes,,
3_120_1.25_75_8.csv,0.26782196875,-0.07436045856923344,No,,,,,,,,,,,3_40_0.75_125_6.csv,0.20693589921950722,-0.021334931911492817,No,2_40_0.75_50_18.csv,0.2936367878241051,0.047896542032398834,Yes,,
2_40_1.75_225_6.csv,0.266952375,-0.05039622542558608,No,,,,,,,,,,,3_40_0.75_125_8.csv,0.20693589921950722,-0.021334931911492817,No,2_40_0.75_50_20.csv,0.2936367878241051,0.047896542032398834,Yes,,
1_20_2_75_10.csv,0.26603203125,-0.029929396582394803,No,,,,,,,,,,,1_40_0.75_75_10.csv,0.2068854523250318,0.1882110015795928,Yes,2_40_0.75_50_8.csv,0.2936367878241051,0.047896542032398834,Yes,,
1_20_2_75_12.csv,0.26603203125,-0.029929396582394803,No,,,,,,,,,,,1_40_0.75_75_12.csv,0.2068854523250318,0.1882110015795928,Yes,2_100_1.5_200_16.csv,0.2921201573084279,-0.02358348440233659,No,,
1_20_2_75_14.csv,0.26603203125,-0.029929396582394803,No,,,,,,,,,,,1_40_0.75_75_14.csv,0.2068854523250318,0.1882110015795928,Yes,2_100_1.5_200_18.csv,0.29212015301147637,-0.0235834922132016,No,,
1_20_2_75_16.csv,0.26603203125,-0.029929396582394803,No,,,,,,,,,,,1_40_0.75_75_16.csv,0.2068854523250318,0.1882110015795928,Yes,2_100_1.5_200_20.csv,0.29212015301147637,-0.0235834922132016,No,,
1_20_2_75_18.csv,0.26603203125,-0.029929396582394803,No,,,,,,,,,,,1_40_0.75_75_18.csv,0.2068854523250318,0.1882110015795928,Yes,2_120_1_175_8.csv,0.29157298680892585,0.024401401881334963,Yes,,
1_20_2_75_20.csv,0.26603203125,-0.029929396582394803,No,,,,,,,,,,,1_40_0.75_75_20.csv,0.2068854523250318,0.1882110015795928,Yes,2_120_1_100_8.csv,0.29157295307536407,0.024401397940646823,Yes,,
1_20_2_75_4.csv,0.26603203125,-0.029929396582394803,No,,,,,,,,,,,1_40_0.75_75_4.csv,0.2068854523250318,0.1882110015795928,Yes,2_120_1_125_8.csv,0.29157295307536407,0.024401397940646823,Yes,,
1_20_2_75_6.csv,0.26603203125,-0.029929396582394803,No,,,,,,,,,,,1_40_0.75_75_6.csv,0.2068854523250318,0.1882110015795928,Yes,2_120_1_150_8.csv,0.29157295307536407,0.024401397940646823,Yes,,
1_20_2_75_8.csv,0.26603203125,-0.029929396582394803,No,,,,,,,,,,,1_40_0.75_75_8.csv,0.2068854523250318,0.1882110015795928,Yes,2_120_1_50_8.csv,0.29157295307536407,0.024401397940646823,Yes,,
