Para1,InSample1_RateOfReturn,OutSample1_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample1_AvgTrade,OutSample1_AvgTrade,Score_1,Pass1,Para2,Pass2,Para3,Pass3,Para4,InSample4_RateOfReturn,OutSample4_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample4_AvgTrade,OutSample4_AvgTrade,Score_4,Pass4,Para5,InSample5_RateOfReturn,OutSample5_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample5_AvgTrade,OutSample5_AvgTrade,Score_5,Pass5,Para6,InSample6_RateOfReturn,OutSample6_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample6_AvgTrade,OutSample6_AvgTrade,Score_6,Pass6,Para7,Pass7
2_20_0.75_150_12.csv,0.94243025,-0.1357946043395768,25.0,23.0,0.03769721,-0.005904113232155513,-0.15661936870541646,No,,,,,2_100_0.75_225_16.csv,0.42329243030200303,1.9999332754004342,4.0,6.0,0.10582310757550076,0.33332221256673905,3.1498055595175782,Yes,2_100_1.25_175_14.csv,2.0800337033913605,0.07495781290120004,6,6,0.3466722838985601,0.012492968816866673,0.0360368261240124,No,2_60_1.25_50_6.csv,0.5451748495616858,-0.0626442760634569,14.0,15.0,0.038941060682977556,-0.004176285070897127,-0.1072463101325517,No,,
2_20_0.75_150_14.csv,0.94243025,-0.1357946043395768,25.0,23.0,0.03769721,-0.005904113232155513,-0.15661936870541646,No,,,,,2_100_0.75_225_18.csv,0.42329243030200303,1.9999332754004342,4.0,6.0,0.10582310757550076,0.33332221256673905,3.1498055595175782,Yes,2_100_1.25_125_12.csv,2.0800342792648983,0.1120562099717951,6,7,0.34667237987748306,0.01600802999597073,0.04617624859998395,No,2_60_1.25_100_6.csv,0.545174804152375,-0.06264426789467299,14.0,15.0,0.038941057439455355,-0.004176284526311533,-0.1072463050805624,No,,
2_20_0.75_150_16.csv,0.94243025,-0.1357946043395768,25.0,23.0,0.03769721,-0.005904113232155513,-0.15661936870541646,No,,,,,2_100_0.75_225_20.csv,0.42329243030200303,1.9999332754004342,4.0,6.0,0.10582310757550076,0.33332221256673905,3.1498055595175782,Yes,2_100_1.25_125_14.csv,2.0800342792648983,0.14838940936486933,6,6,0.34667237987748306,0.024731568227478223,0.07133988648365516,No,2_60_1.25_75_6.csv,0.5451747936788358,-0.06264430069278212,14.0,15.0,0.03894105669134541,-0.0041762867128521414,-0.10724636329091487,No,,
2_20_0.75_150_18.csv,0.94243025,-0.1357946043395768,25.0,23.0,0.03769721,-0.005904113232155513,-0.15661936870541646,No,,,,,2_80_1_200_8.csv,0.40879095871232973,1.2711309911645348,7.0,10.0,0.05839870838747568,0.12711309911645347,2.176642302995085,Yes,2_100_1.25_225_12.csv,2.080034152454232,-0.16715054019706418,6,7,0.34667235874237196,-0.0238786485995806,-0.06887958614931257,No,2_40_0.75_50_4.csv,0.5178886655452553,-0.07895703486870313,19.0,27.0,0.027257298186592383,-0.002924334624766783,-0.10728629832450659,No,,
2_20_0.75_150_20.csv,0.94243025,-0.1357946043395768,25.0,23.0,0.03769721,-0.005904113232155513,-0.15661936870541646,No,,,,,2_80_1_225_10.csv,0.4087909333032806,1.2711310450817548,7.0,10.0,0.05839870475761151,0.12711310450817548,2.1766425306137966,Yes,2_100_1.25_225_14.csv,2.080034152454232,-0.13993957831585283,6,6,0.34667235874237196,-0.023323263052642138,-0.06727753876095648,No,2_60_1_125_6.csv,0.4900685541781811,-0.0010795752077084433,11.0,17.0,0.044551686743471014,-6.350442398284961e-05,-0.0014254100938648768,No,,
2_20_0.75_150_4.csv,0.94243025,-0.06497948299463523,25.0,23.0,0.03769721,-0.002825194912810227,-0.07494440338715325,No,,,,,2_80_1_200_10.csv,0.4087909155966835,1.2711311230474582,7.0,10.0,0.05839870222809764,0.1271131123047458,2.1766427583999852,Yes,2_100_1.25_150_12.csv,2.080034087457953,0.11205620169071573,6,7,0.3466723479096588,0.01600802881295939,0.046176249445574497,No,2_120_0.75_50_4.csv,0.4852794340235123,0.013031926557911865,7.0,12.0,0.06932563343193034,0.0010859938798259887,0.015665112975740896,No,,
2_20_0.75_150_6.csv,0.94243025,-0.1357946043395768,25.0,23.0,0.03769721,-0.005904113232155513,-0.15661936870541646,No,,,,,2_80_1_225_8.csv,0.4087908999799188,1.2711311966975376,7.0,10.0,0.05839869999713126,0.12711311966975375,2.176642967668766,Yes,2_100_1.25_150_14.csv,2.080034087457953,0.148389400792929,6,6,0.3466723479096588,0.024731566798821502,0.07133988894108864,No,2_80_0.75_125_4.csv,0.48105685877579807,0.051528715272697485,12.0,14.0,0.04008807156464984,0.003680622519478392,0.09181340922180978,No,,
2_20_0.75_150_8.csv,0.94243025,-0.1357946043395768,25.0,23.0,0.03769721,-0.005904113232155513,-0.15661936870541646,No,,,,,2_100_0.75_200_4.csv,0.4030977854916537,2.2015798961417676,11.0,8.0,0.03664525322651397,0.27519748701772095,7.509771738147169,Yes,2_100_1.25_100_12.csv,2.080033815500713,0.11205620337586226,6,7,0.34667230258345216,0.016008029053694608,0.046176256177376904,No,2_120_1_100_6.csv,0.4481198228935766,0.08395651344944217,7.0,9.0,0.06401711755622523,0.009328501494382463,0.14571886161836928,No,,
2_20_0.75_75_10.csv,0.852760438,-0.044701644260821585,26.0,22.0,0.03279847838461539,-0.002031892920946436,-0.06195082885002145,No,,,,,,,,,,,,,,2_100_1.25_100_14.csv,2.080033815500713,0.14838942071609262,6,6,0.34667230258345216,0.024731570119348772,0.07133990784682114,No,2_120_1_125_6.csv,0.4481198228935766,0.08395651344944217,7.0,9.0,0.06401711755622523,0.009328501494382463,0.14571886161836928,No,,
2_20_0.75_75_12.csv,0.852760438,-0.044701644260821585,26.0,22.0,0.03279847838461539,-0.002031892920946436,-0.06195082885002145,No,,,,,,,,,,,,,,2_100_1.25_50_12.csv,2.080033815500713,0.11205620337586226,6,7,0.34667230258345216,0.016008029053694608,0.046176256177376904,No,2_120_1_75_6.csv,0.4481198228935766,0.08395651344944217,7.0,9.0,0.06401711755622523,0.009328501494382463,0.14571886161836928,No,,
