Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Pass6,Para7,Pass7
,,,,,,,,1_100_1.25_200_12.csv,0.11420528756686732,0.2062273073857661,Yes,2_60_2_50_10.csv,0.1715171936083782,0.18868881788901254,Yes,3_60_0.75_75_6.csv,0.11674132878873295,0.0804849585794001,Yes,,,,,,
,,,,,,,,1_100_1.25_200_14.csv,0.11420528756686732,0.2062273073857661,Yes,2_60_2_75_10.csv,0.1715171936083782,0.18868881788901254,Yes,3_60_0.75_75_8.csv,0.11674132878873295,0.0804849585794001,Yes,,,,,,
,,,,,,,,1_100_1.25_200_16.csv,0.11420528756686732,0.2062273073857661,Yes,2_40_1.75_150_14.csv,0.17148726450266952,0.11748656340751251,Yes,1_100_0.75_225_10.csv,0.11498825819192977,0.10399075654875051,Yes,,,,,,
,,,,,,,,1_100_1.25_200_18.csv,0.11420528756686732,0.2062273073857661,Yes,2_40_1.75_150_16.csv,0.17148726450266952,0.11748656340751251,Yes,1_100_0.75_225_12.csv,0.11498825819192977,0.10399075654875051,Yes,,,,,,
,,,,,,,,1_100_1.25_200_20.csv,0.11420528756686732,0.2062273073857661,Yes,2_40_1.75_150_18.csv,0.17148726450266952,0.11748656340751251,Yes,1_100_0.75_225_14.csv,0.11498825819192977,0.10399075654875051,Yes,,,,,,
,,,,,,,,1_100_1.25_200_4.csv,0.11420528756686732,0.2062273073857661,Yes,2_40_1.75_150_20.csv,0.17148726450266952,0.11748656340751251,Yes,1_100_0.75_225_16.csv,0.11498825819192977,0.10399075654875051,Yes,,,,,,
,,,,,,,,1_100_1.25_200_6.csv,0.11420528756686732,0.2062273073857661,Yes,2_100_0.75_200_8.csv,0.1712802026904011,0.21409170084976628,Yes,1_100_0.75_225_18.csv,0.11498825819192977,0.10399075654875051,Yes,,,,,,
,,,,,,,,1_100_1.25_200_8.csv,0.11420528756686732,0.2062273073857661,Yes,2_120_1.75_200_16.csv,0.17102527916050084,0.22932247776524062,Yes,1_100_0.75_225_20.csv,0.11498825819192977,0.10399075654875051,Yes,,,,,,
,,,,,,,,3_100_1.25_200_10.csv,0.11420528756686732,0.2062273073857661,Yes,2_120_1.75_175_18.csv,0.17102527402090165,0.2293225041246531,Yes,1_100_0.75_225_4.csv,0.11498825819192977,0.10399075654875051,Yes,,,,,,
,,,,,,,,3_100_1.25_200_12.csv,0.11420528756686732,0.2062273073857661,Yes,2_120_1.75_175_16.csv,0.17102527774627135,0.22932248956891865,Yes,1_100_0.75_225_6.csv,0.11498825819192977,0.10399075654875051,Yes,,,,,,
,,,,,,,,3_100_1.25_200_14.csv,0.11420528756686732,0.2062273073857661,Yes,2_120_1.75_100_16.csv,0.17102527259452044,0.22932250096608287,Yes,1_100_0.75_225_8.csv,0.11498825819192977,0.10399075654875051,Yes,,,,,,
