Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window_1_NetProfit,Window_1_MDD,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window_2_NetProfit,Window_2_MDD,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window_3_NetProfit,Window_3_MDD,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window_4_NetProfit,Window_4_MDD,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window_5_NetProfit,Window_5_MDD,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window_6_NetProfit,Window_6_MDD,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Window_7_NetProfit,Window_7_MDD,Score_7,Pass7
3_80_1.75_50_8.csv,0.12468690625,0.1188673067955654,1211356.0,-667096.75,1.8158625416778,Yes,1_120_1.25_200_10.csv,0.20963286237281611,0.03349544885040377,1125295.547,-902250.687,1.247209409994054,No,,,,,,,,,,,,,,,2_80_2_100_4.csv,0.19027256220076783,-0.06963950149360303,470175.875,-1501688.25,0.3130981913190038,No,,,,,,,,,,,,,,
3_80_1.75_75_10.csv,0.12468690625,0.1188673067955654,1211356.0,-667096.75,1.8158625416778,Yes,1_120_1.25_200_12.csv,0.20963286237281611,0.03349544885040377,1125295.547,-902250.687,1.247209409994054,No,,,,,,,,,,,,,,,2_80_1.75_225_20.csv,0.18985726904487,0.0514602645948201,2474274.875,-2102620.75,1.1767575655286384,No,,,,,,,,,,,,,,
3_80_1.75_75_12.csv,0.12468690625,0.1188673067955654,1211356.0,-667096.75,1.8158625416778,Yes,1_120_1.25_200_14.csv,0.20963286237281611,0.03349544885040377,1125295.547,-902250.687,1.247209409994054,No,,,,,,,,,,,,,,,2_80_1.75_100_20.csv,0.18985727386487042,0.06296215696110465,3428082.75,-2567090.5,1.3353961420526468,No,,,,,,,,,,,,,,
3_80_1.75_75_14.csv,0.12468690625,0.1188673067955654,1211356.0,-667096.75,1.8158625416778,Yes,1_120_1.25_200_16.csv,0.20963286237281611,0.03349544885040377,1125295.547,-902250.687,1.247209409994054,No,,,,,,,,,,,,,,,2_80_1.75_50_20.csv,0.1898572718037786,0.06296216207348432,3624597.375,-2714248.25,1.335396412247848,No,,,,,,,,,,,,,,
3_80_1.75_75_16.csv,0.12468690625,0.1188673067955654,1211356.0,-667096.75,1.8158625416778,Yes,1_120_1.25_200_18.csv,0.20963286237281611,0.03349544885040377,1125295.547,-902250.687,1.247209409994054,No,,,,,,,,,,,,,,,2_80_1.75_75_20.csv,0.1898572718037786,0.06296216207348432,3624597.375,-2714248.25,1.335396412247848,No,,,,,,,,,,,,,,
3_80_1.75_75_18.csv,0.12468690625,0.1188673067955654,1211356.0,-667096.75,1.8158625416778,Yes,1_120_1.25_200_20.csv,0.20963286237281611,0.03349544885040377,1125295.547,-902250.687,1.247209409994054,No,,,,,,,,,,,,,,,2_20_1_50_10.csv,0.18872743453919402,-0.009503702987477264,1875796.5,-1533942.75,1.2228595232775148,No,,,,,,,,,,,,,,
3_80_1.75_75_20.csv,0.12468690625,0.1188673067955654,1211356.0,-667096.75,1.8158625416778,Yes,1_120_1.25_200_4.csv,0.20963286237281611,0.03981539897869018,1173505.547,-856952.25,1.3693943238961097,No,,,,,,,,,,,,,,,2_20_1_50_12.csv,0.18872743453919402,-0.009503702987477264,1875796.5,-1533942.75,1.2228595232775148,No,,,,,,,,,,,,,,
3_80_1.75_75_4.csv,0.12468690625,0.1188673067955654,1211356.0,-667096.75,1.8158625416778,Yes,1_120_1.25_200_6.csv,0.20963286237281611,0.03349544885040377,1125295.547,-902250.687,1.247209409994054,No,,,,,,,,,,,,,,,2_20_1_50_14.csv,0.18872743453919402,-0.009503702987477264,1875796.5,-1533942.75,1.2228595232775148,No,,,,,,,,,,,,,,
3_80_1.75_75_6.csv,0.12468690625,0.1188673067955654,1211356.0,-667096.75,1.8158625416778,Yes,1_120_1.25_200_8.csv,0.20963286237281611,0.03349544885040377,1125295.547,-902250.687,1.247209409994054,No,,,,,,,,,,,,,,,2_20_1_50_16.csv,0.18872743453919402,-0.009503702987477264,1875796.5,-1533942.75,1.2228595232775148,No,,,,,,,,,,,,,,
3_80_1.75_75_8.csv,0.12468690625,0.1188673067955654,1211356.0,-667096.75,1.8158625416778,Yes,3_120_1.25_200_10.csv,0.20963286237281611,0.03349544885040377,1125295.547,-902250.687,1.247209409994054,No,,,,,,,,,,,,,,,2_20_1_50_18.csv,0.18872743453919402,-0.009503702987477264,1875796.5,-1533942.75,1.2228595232775148,No,,,,,,,,,,,,,,
2_120_1.5_150_16.csv,0.12456643750000002,0.15769869395596697,1509400.75,-900991.75,1.675265894499034,Yes,3_120_1.25_200_12.csv,0.20963286237281611,0.03349544885040377,1125295.547,-902250.687,1.247209409994054,No,,,,,,,,,,,,,,,2_20_1_50_20.csv,0.18872743453919402,-0.009503702987477264,1875796.5,-1533942.75,1.2228595232775148,No,,,,,,,,,,,,,,
2_40_1.75_150_4.csv,0.12440626575,0.06706308825060377,950700.688,-663168.25,1.4335738901854846,No,3_120_1.25_200_14.csv,0.20963286237281611,0.03349544885040377,1125295.547,-902250.687,1.247209409994054,No,,,,,,,,,,,,,,,2_20_1_50_8.csv,0.18872743453919402,-0.009503702987477264,1875796.5,-1533942.75,1.2228595232775148,No,,,,,,,,,,,,,,
2_120_1.5_150_8.csv,0.1242607265,0.2278893389510983,1939026.125,-900256.375,2.153859921291865,Yes,3_120_1.25_200_16.csv,0.20963286237281611,0.03349544885040377,1125295.547,-902250.687,1.247209409994054,No,,,,,,,,,,,,,,,2_60_1.75_200_16.csv,0.18864073269642093,-0.0014957667870053727,1737335.375,-2207539.75,0.7870007210515688,No,,,,,,,,,,,,,,
2_40_1.75_175_10.csv,0.124212289,0.14015708989338158,1399161.0,-812883.125,1.7212326802822977,Yes,3_120_1.25_200_18.csv,0.20963286237281611,0.03349544885040377,1125295.547,-902250.687,1.247209409994054,No,,,,,,,,,,,,,,,2_60_1.75_200_18.csv,0.18864073269642093,-0.0014957667870053727,1737335.375,-2207539.75,0.7870007210515688,No,,,,,,,,,,,,,,
2_20_0.75_100_4.csv,0.12398218749999998,0.07256208224010699,982284.875,-901470.375,1.089647427404367,No,3_120_1.25_200_20.csv,0.20963286237281611,0.03349544885040377,1125295.547,-902250.687,1.247209409994054,No,,,,,,,,,,,,,,,2_60_1.75_200_20.csv,0.18864073269642093,-0.0014957667870053727,1737335.375,-2207539.75,0.7870007210515688,No,,,,,,,,,,,,,,
1_20_1.5_100_10.csv,0.12387094525,0.00017761351674561323,536993.438,-343345.907,1.5640012799104082,Yes,3_120_1.25_200_4.csv,0.20963286237281611,0.03981539897869018,1173505.547,-856952.25,1.3693943238961097,No,,,,,,,,,,,,,,,2_40_0.75_150_10.csv,0.1730717887900379,-0.0011620220695367795,3050612.0,-2615341.5,1.1664296995248995,No,,,,,,,,,,,,,,
1_20_1.5_100_12.csv,0.12387094525,0.00017761351674561323,536993.438,-343345.907,1.5640012799104082,Yes,3_120_1.25_200_6.csv,0.20963286237281611,0.03349544885040377,1125295.547,-902250.687,1.247209409994054,No,,,,,,,,,,,,,,,2_40_0.75_150_12.csv,0.1730717887900379,-0.0011620220695367795,3050612.0,-2615341.5,1.1664296995248995,No,,,,,,,,,,,,,,
1_20_1.5_100_14.csv,0.12387094525,0.00017761351674561323,536993.438,-343345.907,1.5640012799104082,Yes,3_120_1.25_200_8.csv,0.20963286237281611,0.03349544885040377,1125295.547,-902250.687,1.247209409994054,No,,,,,,,,,,,,,,,2_40_0.75_150_14.csv,0.1730717887900379,-0.0011620220695367795,3050612.0,-2615341.5,1.1664296995248995,No,,,,,,,,,,,,,,
1_20_1.5_100_16.csv,0.12387094525,0.00017761351674561323,536993.438,-343345.907,1.5640012799104082,Yes,1_120_1.25_100_10.csv,0.2096328562712492,0.03059840411796018,1526092.656,-1276841.625,1.1952090424683641,No,,,,,,,,,,,,,,,2_40_0.75_150_16.csv,0.1730717887900379,-0.0011620220695367795,3050612.0,-2615341.5,1.1664296995248995,No,,,,,,,,,,,,,,
1_20_1.5_100_18.csv,0.12387094525,0.00017761351674561323,536993.438,-343345.907,1.5640012799104082,Yes,1_120_1.25_100_12.csv,0.2096328562712492,0.03059840411796018,1526092.656,-1276841.625,1.1952090424683641,No,,,,,,,,,,,,,,,2_40_0.75_150_18.csv,0.1730717887900379,-0.0011620220695367795,3050612.0,-2615341.5,1.1664296995248995,No,,,,,,,,,,,,,,
1_20_1.5_100_20.csv,0.12387094525,0.00017761351674561323,536993.438,-343345.907,1.5640012799104082,Yes,1_120_1.25_100_14.csv,0.2096328562712492,0.03059840411796018,1526092.656,-1276841.625,1.1952090424683641,No,,,,,,,,,,,,,,,2_40_0.75_150_20.csv,0.1730717887900379,-0.0011620220695367795,3050612.0,-2615341.5,1.1664296995248995,No,,,,,,,,,,,,,,
1_20_1.5_100_4.csv,0.12387094525,0.00017761351674561323,536993.438,-343345.907,1.5640012799104082,Yes,1_120_1.25_100_16.csv,0.2096328562712492,0.03059840411796018,1526092.656,-1276841.625,1.1952090424683641,No,,,,,,,,,,,,,,,2_40_0.75_175_10.csv,0.17307175139338182,-0.00876279807691236,2013576.25,-1900196.0,1.0596676605992223,No,,,,,,,,,,,,,,
1_20_1.5_100_6.csv,0.12387094525,0.00017761351674561323,536993.438,-343345.907,1.5640012799104082,Yes,1_120_1.25_100_18.csv,0.2096328562712492,0.03059840411796018,1526092.656,-1276841.625,1.1952090424683641,No,,,,,,,,,,,,,,,2_40_0.75_175_12.csv,0.17307175139338182,-0.00876279807691236,2013576.25,-1900196.0,1.0596676605992223,No,,,,,,,,,,,,,,
1_20_1.5_100_8.csv,0.12387094525,0.00017761351674561323,536993.438,-343345.907,1.5640012799104082,Yes,1_120_1.25_100_20.csv,0.2096328562712492,0.03059840411796018,1526092.656,-1276841.625,1.1952090424683641,No,,,,,,,,,,,,,,,2_40_0.75_175_14.csv,0.17307175139338182,-0.00876279807691236,2013576.25,-1900196.0,1.0596676605992223,No,,,,,,,,,,,,,,
3_20_1.5_100_10.csv,0.12387094525,0.00017761351674561323,536993.438,-343345.907,1.5640012799104082,Yes,1_120_1.25_100_4.csv,0.2096328562712492,0.03685378855197898,1592102.031,-1214818.75,1.3105675484511579,No,,,,,,,,,,,,,,,2_40_0.75_175_16.csv,0.17307175139338182,-0.00876279807691236,2013576.25,-1900196.0,1.0596676605992223,No,,,,,,,,,,,,,,
3_20_1.5_100_12.csv,0.12387094525,0.00017761351674561323,536993.438,-343345.907,1.5640012799104082,Yes,1_120_1.25_100_6.csv,0.2096328562712492,0.03059840411796018,1526092.656,-1276841.625,1.1952090424683641,No,,,,,,,,,,,,,,,2_40_0.75_175_18.csv,0.17307175139338182,-0.00876279807691236,2013576.25,-1900196.0,1.0596676605992223,No,,,,,,,,,,,,,,
3_20_1.5_100_14.csv,0.12387094525,0.00017761351674561323,536993.438,-343345.907,1.5640012799104082,Yes,1_120_1.25_100_8.csv,0.2096328562712492,0.03059840411796018,1526092.656,-1276841.625,1.1952090424683641,No,,,,,,,,,,,,,,,2_40_0.75_175_20.csv,0.17307175139338182,-0.00876279807691236,2013576.25,-1900196.0,1.0596676605992223,No,,,,,,,,,,,,,,
