"Filename","Begin","End","Start_NetProfit","End_NetProfit","NetProfit","NetProfit_Percent","Number_of_Transactions","Window_GrossProfit","Window_GrossLoss","Window_Net","Window_MDD"
"2_20_1_200_4.csv","2008/1/2","2011/12/30","2663315.75","4543702.0","1880386.25","0.513301713072","29","20021009.127","-16347434.252","3673574.875","-1143485.0"
"2_20_1_225_4.csv","2008/1/2","2011/12/30","3640297.75","4770906.0","1130608.25","0.243649936041","30","21965658.626","-18563630.626","3402028.0","-1459549.25"
"2_20_1.25_225_8.csv","2008/1/2","2011/12/30","1474776.25","1701575.875","226799.625","0.091644497154","22","10640496.26","-9202370.916","1438125.344","-901972.687"
"2_20_1.25_200_10.csv","2008/1/2","2011/12/30","1126785.75","1935661.125","808875.375","0.380327625855","21","10856577.371","-9006706.855","1849870.516","-709630.25"
"2_20_1.25_200_12.csv","2008/1/2","2011/12/30","1126785.75","1935661.125","808875.375","0.380327625855","21","10856577.371","-9006706.855","1849870.516","-709630.25"
"2_20_1.25_200_14.csv","2008/1/2","2011/12/30","1126785.75","1935661.125","808875.375","0.380327625855","21","10856577.371","-9006706.855","1849870.516","-709630.25"
"2_20_1.25_200_16.csv","2008/1/2","2011/12/30","1126785.75","1935661.125","808875.375","0.380327625855","21","10856577.371","-9006706.855","1849870.516","-709630.25"
"2_20_1.25_200_18.csv","2008/1/2","2011/12/30","1126785.75","1935661.125","808875.375","0.380327625855","21","10856577.371","-9006706.855","1849870.516","-709630.25"
"2_20_1.25_200_20.csv","2008/1/2","2011/12/30","1126785.75","1935661.125","808875.375","0.380327625855","21","10856577.371","-9006706.855","1849870.516","-709630.25"
"2_20_1.25_225_10.csv","2008/1/2","2011/12/30","1565375.125","1800477.875","235102.75","0.0916445894048","22","11030031.161","-9539257.505","1490773.656","-934992.625"
"2_20_1.25_225_12.csv","2008/1/2","2011/12/30","1565375.125","1800477.875","235102.75","0.0916445894048","22","11030031.161","-9539257.505","1490773.656","-934992.625"
"2_20_1.25_225_14.csv","2008/1/2","2011/12/30","1565375.125","1800477.875","235102.75","0.0916445894048","22","11030031.161","-9539257.505","1490773.656","-934992.625"
"2_20_1.25_225_16.csv","2008/1/2","2011/12/30","1565375.125","1800477.875","235102.75","0.0916445894048","22","11030031.161","-9539257.505","1490773.656","-934992.625"
"2_20_1.25_225_18.csv","2008/1/2","2011/12/30","1565375.125","1800477.875","235102.75","0.0916445894048","22","11030031.161","-9539257.505","1490773.656","-934992.625"
"2_20_1.25_225_20.csv","2008/1/2","2011/12/30","1565375.125","1800477.875","235102.75","0.0916445894048","22","11030031.161","-9539257.505","1490773.656","-934992.625"
"2_20_1.25_200_8.csv","2008/1/2","2011/12/30","1051676.125","1831984.875","780308.75","0.380327450562","21","10473166.554","-8688626.534","1784540.02","-684569.0"
"2_60_1.25_125_6.csv","2008/1/2","2011/12/30","1272001.125","2492989.5","1220988.375","0.537406589092","7","12061281.151","-9728506.62","2332774.531","-847078.5"
"2_120_1.75_100_6.csv","2008/1/2","2011/12/30","2240419.0","3829947.75","1589528.75","0.490531857146","6","15023417.127","-11850047.69","3173369.437","-1181022.25"
"2_120_1.75_125_6.csv","2008/1/2","2011/12/30","2240419.0","3829947.75","1589528.75","0.490531857146","6","15023417.127","-11850047.69","3173369.437","-1181022.25"
"2_120_1.75_50_6.csv","2008/1/2","2011/12/30","2240419.0","3829947.75","1589528.75","0.490531857146","6","15023417.127","-11850047.69","3173369.437","-1181022.25"
"2_120_1.75_75_6.csv","2008/1/2","2011/12/30","2240419.0","3829947.75","1589528.75","0.490531857146","6","15023417.127","-11850047.69","3173369.437","-1181022.25"
"2_120_1.75_150_6.csv","2008/1/2","2011/12/30","1630598.375","2920991.0","1290392.625","0.490531978299","6","12196130.796","-9619963.515","2576167.281","-958763.5"
"2_120_1.75_175_6.csv","2008/1/2","2011/12/30","1519053.75","2754730.0","1235676.25","0.49053191104","6","11678981.238","-9212050.738","2466930.5","-918109.375"
"2_120_1.75_225_6.csv","2008/1/2","2011/12/30","1370350.25","2533082.75","1162732.5","0.490531937211","6","10989553.668","-8668249.699","2321303.969","-863911.875"
"2_120_1.75_200_6.csv","2008/1/2","2011/12/30","1219586.0","2308363.5","1088777.5","0.490531792866","6","10290570.102","-8116911.227","2173658.875","-808963.5"
"2_60_1.5_200_8.csv","2008/1/2","2011/12/30","615515.375","1993427.125","1377911.75","0.852923946948","8","11590600.635","-9425732.307","2164868.328","-830058.625"
"2_60_1.25_125_12.csv","2008/1/2","2011/12/30","985054.125","2298948.0","1313893.875","0.661893224196","6","12546939.098","-10267463.606","2279475.492","-800021.75"
"2_60_1.25_125_14.csv","2008/1/2","2011/12/30","1050552.75","2407799.5","1357246.75","0.66189311638","6","12960934.244","-10606245.674","2354688.57","-826419.0"
"2_60_1.25_125_16.csv","2008/1/2","2011/12/30","1050552.75","2407799.5","1357246.75","0.66189311638","6","12960934.244","-10606245.674","2354688.57","-826419.0"
"2_60_1.25_125_18.csv","2008/1/2","2011/12/30","1050552.75","2407799.5","1357246.75","0.66189311638","6","12960934.244","-10606245.674","2354688.57","-826419.0"
"2_60_1.25_125_20.csv","2008/1/2","2011/12/30","1050552.75","2407799.5","1357246.75","0.66189311638","6","12960934.244","-10606245.674","2354688.57","-826419.0"
"2_40_1.75_100_10.csv","2008/1/2","2011/12/30","1281424.0","4453345.5","3171921.5","1.39032529683","8","19222566.141","-14941828.891","4280737.25","-1463332.0"
"2_40_1.75_125_10.csv","2008/1/2","2011/12/30","727798.625","2702521.0","1974722.375","1.14291234316","8","13262241.208","-10447775.739","2814465.469","-993521.75"
"2_40_0.75_50_4.csv","2008/1/2","2011/12/30","1160800.125","1227780.5","66980.375","0.0309979503542","27","11186051.857","-10070675.904","1115375.953","-837046.125"
"2_60_2_225_6.csv","2008/1/2","2011/12/30","4015764.75","5222320.5","1206555.75","0.240552699367","10","17840265.5","-14202791.0","3637474.5","-1506428.0"
"2_60_2_200_6.csv","2008/1/2","2011/12/30","3196714.5","4698373.5","1501659.0","0.357817764349","11","18404531.25","-14868911.0","3535620.25","-1379580.0"
"2_60_1.75_150_4.csv","2008/1/2","2011/12/30","738678.375","2726727.75","1988049.375","1.14342560625","9","11553090.427","-8724416.763","2828673.664","-809438.5"
