Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Pass2,Para3,Pass3,Para4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Pass8,Para9,Pass9
2_20_0.75_125_18.csv,0.40602974999999997,0.005690107675634182,,2_80_2_225_14.csv,0.11729823744716181,-0.05329202418959961,,,,,,,,,,2_100_0.75_125_14.csv,0.1997200987946948,0.31779434479167856,,2_80_0.75_125_4.csv,0.43030298288013435,0.16720463707969607,,2_120_1_75_20.csv,0.21968002831511607,0.04158034479203306,,,
2_20_0.75_125_20.csv,0.40602974999999997,0.005690107675634182,,2_80_2_175_18.csv,0.11729823703700021,-0.05329202143090117,,,,,,,,,,2_100_0.75_125_16.csv,0.1997200987946948,0.31779434479167856,,2_80_0.75_200_4.csv,0.4303029906824686,-0.000818483630399436,,2_120_1_100_10.csv,0.21968000706533347,0.041580348509121824,,,
2_20_0.75_125_4.csv,0.40602974999999997,0.033470493428822426,,2_80_2_175_20.csv,0.11729823699221285,-0.053292019587680255,,,,,,,,,,2_100_0.75_125_18.csv,0.1997200987946948,0.31779434479167856,,2_80_0.75_225_4.csv,0.43030292809646836,-0.0008184856618537676,,2_120_1_125_10.csv,0.21968000706533347,0.041580348509121824,,,
2_20_0.75_125_6.csv,0.40602974999999997,0.005690107675634182,,2_80_2_200_12.csv,0.11729823654066399,-0.053292018553228834,,,,,,,,,,2_100_0.75_125_20.csv,0.1997200987946948,0.31779434479167856,,2_120_0.75_100_4.csv,0.4200901591194053,0.17283562863765406,,2_120_1_50_10.csv,0.21968000706533347,0.041580348509121824,,,
2_20_0.75_125_8.csv,0.40602974999999997,0.005690107675634182,,2_80_2_175_14.csv,0.11729823642123102,-0.053292012746331455,,,,,,,,,,2_100_0.75_125_8.csv,0.1997200191509234,0.3177943676094902,,2_120_0.75_125_4.csv,0.4200901591194053,0.17283562863765406,,2_120_1_75_10.csv,0.21968000706533347,0.041580348509121824,,,
2_20_0.75_50_10.csv,0.3592678333333333,0.008653649555087059,,2_80_2_225_18.csv,0.11729823625919492,-0.05329201670391053,,,,,,,,,,2_100_0.75_125_10.csv,0.19972005751872846,0.3177943439858529,,2_120_0.75_75_4.csv,0.4200901591194053,0.17283562863765406,,2_120_1_150_12.csv,0.21968000019846823,0.04158033310679311,,,
2_20_0.75_50_12.csv,0.3592678333333333,0.008653649555087059,,2_80_2_200_18.csv,0.11729823604998507,-0.0532920198276533,,,,,,,,,,2_100_0.75_100_10.csv,0.19972005137131826,0.31779425464578204,,2_120_0.75_175_4.csv,0.4200901580100425,0.031221166301025192,,2_120_1_150_10.csv,0.2196799847637303,0.04158033633779716,,,
2_20_0.75_50_14.csv,0.3592678333333333,0.008653649555087059,,2_80_2_150_18.csv,0.11729823226948877,-0.05329200841905163,,,,,,,,,,2_100_0.75_50_10.csv,0.19972005137131826,0.31779425464578204,,2_120_0.75_225_4.csv,0.42009015208921135,0.03122118065008744,,2_120_0.75_100_12.csv,0.2189036135101075,0.03955094288875599,,,
2_20_0.75_50_16.csv,0.3592678333333333,0.008653649555087059,,2_80_2_150_14.csv,0.11729823218696969,-0.053292008451253564,,,,,,,,,,2_100_0.75_75_10.csv,0.19972005137131826,0.31779425464578204,,2_120_0.75_200_4.csv,0.42009013444768245,0.031221163751725296,,2_120_0.75_100_14.csv,0.2189036135101075,0.03955094288875599,,,
2_20_0.75_50_18.csv,0.3592678333333333,0.008653649555087059,,2_80_2_100_14.csv,0.11729823089905758,-0.05329201713923004,,,,,,,,,,2_100_0.75_100_12.csv,0.19971999625331066,0.3177941948207271,,2_120_0.75_150_4.csv,0.42008998468870806,0.17283560329465633,,2_120_0.75_100_16.csv,0.2189036135101075,0.03955094288875599,,,
