Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window1_GrossProfit,Window1_GrossLoss,Score_1,Pass1,Para2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window3_GrossProfit,Window3_GrossLoss,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window4_GrossProfit,Window4_GrossLoss,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window5_GrossProfit,Window5_GrossLoss,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window6_GrossProfit,Window6_GrossLoss,Score_6,Pass6,Para7,Pass7
2_40_1.5_75_8.csv,0.8021844375,-0.005250116093446419,31151959.016,-27920245.516,1.1157480330231349,No,,,3_20_1_50_16.csv,0.22535146518557242,-0.06700469293255246,29429150.75,-27960623.0,1.0525212814464113,No,2_120_1_200_14.csv,0.17987429536203445,0.11078161711272208,9422725.977,-8467738.476,1.1127795223844843,No,2_40_1_175_6.csv,0.46701326978902624,0.11534932887402916,14675422.055,-11993809.789,1.2235830243413908,No,2_80_1.5_50_14.csv,0.5302663301240488,0.0284231019776967,30656664.624,-25283192.749,1.212531381156857,No,,
2_40_1.5_75_6.csv,0.7911725624999999,0.009474516890204973,28384482.516,-24945133.266,1.1378765634693082,No,,,3_20_1_50_18.csv,0.22535146518557242,-0.06700469293255246,29429150.75,-27960623.0,1.0525212814464113,No,2_120_1_200_16.csv,0.17987429536203445,0.11078161711272208,9422725.977,-8467738.476,1.1127795223844843,No,2_40_1_200_6.csv,0.46701323736563927,0.16020453267084855,14729425.03,-11964714.108,1.2310720420934609,No,2_80_1.5_75_14.csv,0.5302663301240488,0.0284231019776967,30656664.624,-25283192.749,1.212531381156857,No,,
1_20_1_50_10.csv,0.788543625,-0.030366582894829595,20270814.237,-17522594.487,1.1568386320894946,No,,,3_20_1_50_20.csv,0.22535146518557242,-0.06700469293255246,29429150.75,-27960623.0,1.0525212814464113,No,2_120_1_200_18.csv,0.17987429536203445,0.08701755622887512,9590350.54,-8740727.038999999,1.097202841046184,No,2_40_1_150_6.csv,0.4596217765203858,0.10411273494699894,16457194.271,-13569312.775,1.21282444762572,No,2_80_1.5_100_10.csv,0.5302662826654766,0.028423128332919823,22788352.876,-18794031.126,1.212531400167481,No,,
1_20_1_50_12.csv,0.788543625,-0.030366582894829595,20270814.237,-17522594.487,1.1568386320894946,No,,,3_20_1_50_4.csv,0.22535146518557242,-0.06700469293255246,29429150.75,-27960623.0,1.0525212814464113,No,2_120_1_200_20.csv,0.17987429536203445,0.08701755622887512,9590350.54,-8740727.038999999,1.097202841046184,No,2_40_1_100_4.csv,0.45651936274813476,0.080688912241685,19526723.909,-16018280.534000002,1.2190274647489827,No,2_80_1.5_100_14.csv,0.5302662729431832,0.028423129284065964,25779471.626,-21260869.689,1.2125313782125218,No,,
1_20_1_50_14.csv,0.788543625,-0.030366582894829595,20270814.237,-17522594.487,1.1568386320894946,No,,,3_20_1_50_6.csv,0.22535146518557242,-0.06700469293255246,29429150.75,-27960623.0,1.0525212814464113,No,2_120_1_175_12.csv,0.1798742942576932,0.12179946733067212,9873250.361,-8809959.235,1.1206919461983187,No,2_40_1.25_150_6.csv,0.44484788226913446,0.13757741338169446,16730125.877,-12999296.611,1.2870023954098389,No,2_80_1.5_125_14.csv,0.5302662579523989,0.02842309289811778,18221633.311,-15027763.060999999,1.2125313153418504,No,,
1_20_1_50_16.csv,0.788543625,-0.030366582894829595,20270814.237,-17522594.487,1.1568386320894946,No,,,3_20_1_50_8.csv,0.22535146518557242,-0.06700469293255246,29429150.75,-27960623.0,1.0525212814464113,No,2_120_1_100_18.csv,0.1798742901184193,0.08701754966179899,7668133.871,-6988802.402000001,1.0972028439100803,No,2_40_2_150_6.csv,0.44285908626515763,0.15520447876582621,14481677.157,-10040914.907,1.442266694930771,No,2_80_1.5_50_16.csv,0.5302662560896667,0.028423108691937322,34232034.0,-28231875.75,1.2125313352585154,No,,
1_20_1_50_18.csv,0.788543625,-0.030366582894829595,20270814.237,-17522594.487,1.1568386320894946,No,,,1_20_1_75_10.csv,0.2198209081123651,-0.07324529853748044,20061083.5,-19099696.125,1.050335218356779,No,2_120_1_125_18.csv,0.1798742901184193,0.08701754966179899,7668133.871,-6988802.402000001,1.0972028439100803,No,2_40_1_75_4.csv,0.4425753497791377,0.13173324667989642,31860174.939,-26006603.439,1.2250801998703864,No,2_80_1.5_75_16.csv,0.5302662560896667,0.028423108691937322,34232034.0,-28231875.75,1.2125313352585154,No,,
1_20_1_50_20.csv,0.788543625,-0.030366582894829595,20270814.237,-17522594.487,1.1568386320894946,No,,,1_20_1_75_12.csv,0.2198209081123651,-0.07324529853748044,20061083.5,-19099696.125,1.050335218356779,No,2_120_1_150_18.csv,0.1798742901184193,0.08701754966179899,7668133.871,-6988802.402000001,1.0972028439100803,No,2_40_1_50_4.csv,0.44185612297612464,0.14215106816034087,23537303.184,-19332668.387000002,1.2174885904434873,No,2_80_1.5_125_10.csv,0.5302662475882091,0.028423127926316974,16107430.687,-13284135.156,1.2125313765514358,No,,
1_20_1_50_4.csv,0.788543625,-0.030366582894829595,20270814.237,-17522594.487,1.1568386320894946,No,,,1_20_1_75_14.csv,0.2198209081123651,-0.07324529853748044,20061083.5,-19099696.125,1.050335218356779,No,2_120_1_50_18.csv,0.1798742901184193,0.08701754966179899,7668133.871,-6988802.402000001,1.0972028439100803,No,2_40_1.5_50_6.csv,0.43957255371197773,0.23758714649462068,63218786.0,-48149745.0,1.3129620104945519,No,2_80_1.5_100_12.csv,0.5302662462506779,0.028423098904023378,23349780.999,-19257053.812,1.21253132628469,No,,
1_20_1_50_6.csv,0.788543625,-0.030366582894829595,20270814.237,-17522594.487,1.1568386320894946,No,,,1_20_1_75_16.csv,0.2198209081123651,-0.07324529853748044,20061083.5,-19099696.125,1.050335218356779,No,2_120_1_75_18.csv,0.1798742901184193,0.08701754966179899,7668133.871,-6988802.402000001,1.0972028439100803,No,2_40_1.25_50_6.csv,0.43718175047647256,0.16814094067520474,36690105.125,-29054581.375,1.2627993035401288,No,2_80_1.5_50_18.csv,0.5302662354146962,0.028423123909823166,33392287.125,-27539318.5,1.2125313531269846,No,,
