Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Score_4,Pass4,Para5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Score_7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Score_8,Pass8,Para9,Pass9
,,,,,2_100_0.75_100_6.csv,0.11994298511319693,-0.04369386197035242,-0.3642885986964229,No,,,,,,3_100_1.25_175_14.csv,0.49863363963389734,-0.18009920107152555,-0.36118542103127355,No,,,3_80_2_125_14.csv,0.11940022086490132,-0.053884420331631155,-0.4512924678137754,No,,,,,,,,,,,,
,,,,,2_100_0.75_50_6.csv,0.11994298511319693,-0.053601030490793344,-0.4468875811303766,No,,,,,,3_100_1.25_175_16.csv,0.49863363963389734,-0.18009920107152555,-0.36118542103127355,No,,,3_80_2_125_16.csv,0.11940022086490132,-0.053884420331631155,-0.4512924678137754,No,,,,,,,,,,,,
,,,,,2_100_0.75_75_6.csv,0.11994298511319693,-0.04369386197035242,-0.3642885986964229,No,,,,,,3_100_1.25_175_18.csv,0.49863363963389734,-0.18009920107152555,-0.36118542103127355,No,,,3_80_2_125_18.csv,0.11940022086490132,-0.053884420331631155,-0.4512924678137754,No,,,,,,,,,,,,
,,,,,2_100_0.75_125_6.csv,0.11994298471929168,-0.04369386990102473,-0.3642886660131361,No,,,,,,3_100_1.25_175_20.csv,0.49863363963389734,-0.18009920107152555,-0.36118542103127355,No,,,3_80_2_125_20.csv,0.11940022086490132,-0.053884420331631155,-0.4512924678137754,No,,,,,,,,,,,,
,,,,,2_100_1.75_225_12.csv,0.1530836036783313,0.013876522841005684,0.0906466957112134,No,,,,,,3_100_1.25_175_4.csv,0.49863363963389734,-0.18009920107152555,-0.36118542103127355,No,,,3_80_2_125_4.csv,0.11940022086490132,-0.053884420331631155,-0.4512924678137754,No,,,,,,,,,,,,
,,,,,2_40_1_125_4.csv,0.15263847771689107,0.1514889421582291,0.9924689005298253,Yes,,,,,,3_100_1.25_175_6.csv,0.49863363963389734,-0.18009920107152555,-0.36118542103127355,No,,,3_80_2_125_6.csv,0.11940022086490132,-0.053884420331631155,-0.4512924678137754,No,,,,,,,,,,,,
,,,,,2_20_1_100_6.csv,0.15226516803615014,0.07979483594482997,0.5240518036658616,Yes,,,,,,3_100_1.25_175_8.csv,0.49863363963389734,-0.18009920107152555,-0.36118542103127355,No,,,3_80_2_125_8.csv,0.11940022086490132,-0.053884420331631155,-0.4512924678137754,No,,,,,,,,,,,,
,,,,,1_20_1_50_10.csv,0.15212650324595062,0.03887423400010214,0.2555388651591643,No,,,,,,1_100_1.25_150_10.csv,0.4986336163047762,-0.18009917272866896,-0.3611853810886835,No,,,1_80_2_175_10.csv,0.119400212583787,-0.05388439273201161,-0.45129226796140903,No,,,,,,,,,,,,
,,,,,1_20_1_50_12.csv,0.15212650324595062,0.03887423400010214,0.2555388651591643,No,,,,,,1_100_1.25_150_12.csv,0.4986336163047762,-0.18009917272866896,-0.3611853810886835,No,,,1_80_2_175_12.csv,0.119400212583787,-0.05388439273201161,-0.45129226796140903,No,,,,,,,,,,,,
,,,,,1_20_1_50_14.csv,0.15212650324595062,0.03887423400010214,0.2555388651591643,No,,,,,,1_100_1.25_150_14.csv,0.4986336163047762,-0.18009917272866896,-0.3611853810886835,No,,,1_80_2_175_14.csv,0.119400212583787,-0.05388439273201161,-0.45129226796140903,No,,,,,,,,,,,,
,,,,,1_20_1_50_16.csv,0.15212650324595062,0.03887423400010214,0.2555388651591643,No,,,,,,1_100_1.25_150_16.csv,0.4986336163047762,-0.18009917272866896,-0.3611853810886835,No,,,1_80_2_175_16.csv,0.119400212583787,-0.05388439273201161,-0.45129226796140903,No,,,,,,,,,,,,
,,,,,1_20_1_50_18.csv,0.15212650324595062,0.03887423400010214,0.2555388651591643,No,,,,,,1_100_1.25_150_18.csv,0.4986336163047762,-0.18009917272866896,-0.3611853810886835,No,,,1_80_2_175_18.csv,0.119400212583787,-0.05388439273201161,-0.45129226796140903,No,,,,,,,,,,,,
,,,,,1_20_1_50_20.csv,0.15212650324595062,0.03887423400010214,0.2555388651591643,No,,,,,,1_100_1.25_150_20.csv,0.4986336163047762,-0.18009917272866896,-0.3611853810886835,No,,,1_80_2_175_20.csv,0.119400212583787,-0.05388439273201161,-0.45129226796140903,No,,,,,,,,,,,,
,,,,,1_20_1_50_4.csv,0.15212650324595062,0.03887423400010214,0.2555388651591643,No,,,,,,1_100_1.25_150_4.csv,0.4986336163047762,-0.18009917272866896,-0.3611853810886835,No,,,1_80_2_175_4.csv,0.119400212583787,-0.05388439273201161,-0.45129226796140903,No,,,,,,,,,,,,
,,,,,1_20_1_50_6.csv,0.15212650324595062,0.03887423400010214,0.2555388651591643,No,,,,,,1_100_1.25_150_6.csv,0.4986336163047762,-0.18009917272866896,-0.3611853810886835,No,,,1_80_2_175_6.csv,0.119400212583787,-0.05388439273201161,-0.45129226796140903,No,,,,,,,,,,,,
,,,,,1_20_1_50_8.csv,0.15212650324595062,0.03887423400010214,0.2555388651591643,No,,,,,,1_100_1.25_150_8.csv,0.4986336163047762,-0.18009917272866896,-0.3611853810886835,No,,,1_80_2_175_8.csv,0.119400212583787,-0.05388439273201161,-0.45129226796140903,No,,,,,,,,,,,,
,,,,,3_20_1_50_10.csv,0.15212650324595062,0.03887423400010214,0.2555388651591643,No,,,,,,3_100_1.25_150_10.csv,0.4986336163047762,-0.18009917272866896,-0.3611853810886835,No,,,3_80_2_175_10.csv,0.119400212583787,-0.05388439273201161,-0.45129226796140903,No,,,,,,,,,,,,
,,,,,3_20_1_50_12.csv,0.15212650324595062,0.03887423400010214,0.2555388651591643,No,,,,,,3_100_1.25_150_12.csv,0.4986336163047762,-0.18009917272866896,-0.3611853810886835,No,,,3_80_2_175_12.csv,0.119400212583787,-0.05388439273201161,-0.45129226796140903,No,,,,,,,,,,,,
,,,,,3_20_1_50_14.csv,0.15212650324595062,0.03887423400010214,0.2555388651591643,No,,,,,,3_100_1.25_150_14.csv,0.4986336163047762,-0.18009917272866896,-0.3611853810886835,No,,,3_80_2_175_14.csv,0.119400212583787,-0.05388439273201161,-0.45129226796140903,No,,,,,,,,,,,,
,,,,,3_20_1_50_16.csv,0.15212650324595062,0.03887423400010214,0.2555388651591643,No,,,,,,3_100_1.25_150_16.csv,0.4986336163047762,-0.18009917272866896,-0.3611853810886835,No,,,3_80_2_175_16.csv,0.119400212583787,-0.05388439273201161,-0.45129226796140903,No,,,,,,,,,,,,
,,,,,3_20_1_50_18.csv,0.15212650324595062,0.03887423400010214,0.2555388651591643,No,,,,,,3_100_1.25_150_18.csv,0.4986336163047762,-0.18009917272866896,-0.3611853810886835,No,,,3_80_2_175_18.csv,0.119400212583787,-0.05388439273201161,-0.45129226796140903,No,,,,,,,,,,,,
