Para1,InSample1_RateOfReturn,OutSample1_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample1_AvgTrade,OutSample1_AvgTrade,Score_1,Pass1,Para2,InSample2_RateOfReturn,OutSample2_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample2_AvgTrade,OutSample2_AvgTrade,Score_2,Pass2,Para3,InSample3_RateOfReturn,OutSample3_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample3_AvgTrade,OutSample3_AvgTrade,Score_3,Pass3,Para4,InSample4_RateOfReturn,OutSample4_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample4_AvgTrade,OutSample4_AvgTrade,Score_4,Pass4,Para5,InSample5_RateOfReturn,OutSample5_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample5_AvgTrade,OutSample5_AvgTrade,Score_5,Pass5,Para6,InSample6_RateOfReturn,OutSample6_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample6_AvgTrade,OutSample6_AvgTrade,Score_6,Pass6,Para7,InSample7_RateOfReturn,OutSample7_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample7_AvgTrade,OutSample7_AvgTrade,Score_7,Pass7,Para8,InSample8_RateOfReturn,OutSample8_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample8_AvgTrade,OutSample8_AvgTrade,Score_8,Pass8,Para9,Pass9
1_20_1.25_50_6.csv,0.94937225,0.29254584392488403,38.0,37.0,0.024983480263157897,0.00790664443040227,0.31647490049902577,No,2_40_2_125_12.csv,0.8567305844835491,1.1341623203597329,4,7,0.21418264612088728,0.16202318862281898,0.7564720651147951,Yes,2_20_2_150_8.csv,1.0611890132221984,-0.12261545121381179,11.0,14.0,0.0964717284747453,-0.00875824651527227,-0.09078562863694345,No,2_80_1.25_75_6.csv,0.4739186306647982,-0.20625651520834976,6.0,6.0,0.07898643844413304,-0.03437608586805829,-0.4352150387483597,No,2_60_1.5_150_4.csv,0.8251228827367802,0.43295999300857996,7.0,9.0,0.11787469753382575,0.04810666588984222,0.4081169826631993,No,2_80_1.5_100_6.csv,1.0114607064735146,0.7047218007329061,5.0,2.0,0.2022921412947029,0.35236090036645307,1.7418417646443676,Yes,2_100_2_50_6.csv,0.8831220066693476,0.5784270984326838,1.0,6.0,0.8831220066693476,0.0964045164054473,0.109163304364968,No,2_100_1.75_125_14.csv,1.3089258503367434,-0.08083868093295567,2.0,4.0,0.6544629251683717,-0.020209670233238917,-0.03087977860325646,No,,
1_20_1.25_50_8.csv,0.94937225,0.29254584392488403,38.0,37.0,0.024983480263157897,0.00790664443040227,0.31647490049902577,No,2_40_2_125_14.csv,0.8567305286905091,0.9779230942081973,4,7,0.21418263217262729,0.13970329917259963,0.6522625002572633,Yes,2_40_2_125_8.csv,1.1973228442210857,0.09042199054436309,7.0,8.0,0.17104612060301225,0.011302748818045386,0.06608012375959339,No,2_80_1.25_150_6.csv,0.47391867078865285,-0.07691386976392256,6.0,5.0,0.07898644513144214,-0.015382773952784512,-0.19475207331062797,No,2_60_1.5_175_4.csv,0.8251228053395147,0.4329599702825321,7.0,9.0,0.11787468647707353,0.048106663364725785,0.40811699952289987,No,2_80_1.5_125_6.csv,1.0114606439542597,0.7047217105974954,5.0,2.0,0.20229212879085195,0.3523608552987477,1.7418416495238453,Yes,2_100_2_75_6.csv,0.8831220066693476,0.5784270984326838,1.0,6.0,0.8831220066693476,0.0964045164054473,0.109163304364968,No,2_100_1.75_150_14.csv,1.3089258503367434,-0.08083868093295567,2.0,4.0,0.6544629251683717,-0.020209670233238917,-0.03087977860325646,No,,
3_20_1.25_50_10.csv,0.94937225,0.29254584392488403,38.0,37.0,0.024983480263157897,0.00790664443040227,0.31647490049902577,No,2_40_2_125_16.csv,0.8567305286905091,0.9779230942081973,4,7,0.21418263217262729,0.13970329917259963,0.6522625002572633,Yes,1_40_1.5_125_10.csv,1.0437553948592546,0.1920958781959102,25.0,19.0,0.04175021579437019,0.010110309378732116,0.24216184722320505,No,2_80_1.25_125_6.csv,0.47391845191101184,-0.07691393913183059,6.0,5.0,0.0789864086518353,-0.015382787826366118,-0.1947523389013926,No,2_60_1.5_225_4.csv,0.7966551212991664,0.4329598409803735,7.0,9.0,0.11380787447130948,0.048106648997819274,0.42270053123562,No,2_80_1.5_200_6.csv,1.0114604670742704,0.7047216244519839,5.0,2.0,0.20229209341485407,0.35236081222599197,1.7418417412062757,Yes,2_100_2_200_6.csv,0.8831220063248832,0.5784270655105931,1.0,6.0,0.8831220063248832,0.09640451091843218,0.10916329819434581,No,2_100_1.75_100_16.csv,1.3089258375203552,-0.08083866197401188,2.0,4.0,0.6544629187601776,-0.02020966549350297,-0.03087977166344031,No,,
3_20_1.25_50_12.csv,0.94937225,0.29254584392488403,38.0,37.0,0.024983480263157897,0.00790664443040227,0.31647490049902577,No,2_40_2_125_18.csv,0.8567305286905091,0.9779230942081973,4,7,0.21418263217262729,0.13970329917259963,0.6522625002572633,Yes,1_40_1.5_125_12.csv,1.0437553948592546,0.1920958781959102,25.0,19.0,0.04175021579437019,0.010110309378732116,0.24216184722320505,No,1_40_1.75_50_10.csv,0.44927110546504606,-0.33916265857620964,20.0,25.0,0.022463555273252302,-0.013566506343048386,-0.603934069118713,No,2_20_1_75_4.csv,0.7876570139060344,0.18625054283612177,21.0,28.0,0.0375074768526683,0.006651805101290063,0.17734610961485803,No,2_80_1.5_150_6.csv,1.0114604997023693,0.7047217452958406,5.0,2.0,0.20229209994047387,0.3523608726479203,1.74184198370379,Yes,2_100_2_225_6.csv,0.8831219070188889,0.5784271389757164,1.0,6.0,0.8831219070188889,0.0964045231626194,0.10916332433428969,No,2_100_1.75_50_16.csv,1.3089258375203552,-0.08083866197401188,2.0,4.0,0.6544629187601776,-0.02020966549350297,-0.03087977166344031,No,,
3_20_1.25_50_14.csv,0.94937225,0.29254584392488403,38.0,37.0,0.024983480263157897,0.00790664443040227,0.31647490049902577,No,2_40_2_125_20.csv,0.8567305286905091,0.9779230942081973,4,7,0.21418263217262729,0.13970329917259963,0.6522625002572633,Yes,1_40_1.5_125_14.csv,1.0437553948592546,0.1920958781959102,25.0,19.0,0.04175021579437019,0.010110309378732116,0.24216184722320505,No,1_40_1.75_50_12.csv,0.44927110546504606,-0.33916265857620964,20.0,25.0,0.022463555273252302,-0.013566506343048386,-0.603934069118713,No,2_60_1.5_50_4.csv,0.7367538100677903,0.4329598328784299,9.0,9.0,0.08186153445197669,0.048106648097603316,0.5876587632965106,Yes,2_80_1.5_50_6.csv,1.011460381600872,0.7047219008642274,5.0,2.0,0.2022920763201744,0.3523609504321137,1.7418425716013726,Yes,2_100_2_125_6.csv,0.883121928321949,0.5784272583722392,1.0,6.0,0.883121928321949,0.09640454306203987,0.10916334423404198,No,2_100_1.75_75_16.csv,1.3089258375203552,-0.08083866197401188,2.0,4.0,0.6544629187601776,-0.02020966549350297,-0.03087977166344031,No,,
3_20_1.25_50_16.csv,0.94937225,0.29254584392488403,38.0,37.0,0.024983480263157897,0.00790664443040227,0.31647490049902577,No,2_40_2_125_10.csv,0.8567304185862988,1.1341623458717784,4,7,0.2141826046465747,0.16202319226739692,0.7564722286142395,Yes,1_40_1.5_125_16.csv,1.0437553948592546,0.1920958781959102,25.0,19.0,0.04175021579437019,0.010110309378732116,0.24216184722320505,No,1_40_1.75_50_14.csv,0.44927110546504606,-0.33916265857620964,20.0,25.0,0.022463555273252302,-0.013566506343048386,-0.603934069118713,No,2_60_1.5_75_4.csv,0.7367538100677903,0.4329598328784299,9.0,9.0,0.08186153445197669,0.048106648097603316,0.5876587632965106,Yes,2_80_1.5_75_6.csv,1.011460381600872,0.7047219008642274,5.0,2.0,0.2022920763201744,0.3523609504321137,1.7418425716013726,Yes,2_100_1.75_225_6.csv,0.8831218338538686,0.7310518710869712,1.0,8.0,0.8831218338538686,0.0913814838858714,0.10347551196542201,No,2_100_1.75_200_14.csv,1.3089258329650286,-0.04996791257748535,2.0,3.0,0.6544629164825143,-0.016655970859161782,-0.02544983136505457,No,,
3_20_1.25_50_18.csv,0.94937225,0.29254584392488403,38.0,37.0,0.024983480263157897,0.00790664443040227,0.31647490049902577,No,2_20_1.25_125_4.csv,0.842616551567354,0.8025630564688377,12,21,0.07021804596394617,0.03821728840327799,0.5442659059880541,Yes,1_40_1.5_125_18.csv,1.0437553948592546,0.1920958781959102,25.0,19.0,0.04175021579437019,0.010110309378732116,0.24216184722320505,No,1_40_1.75_50_16.csv,0.44927110546504606,-0.33916265857620964,20.0,25.0,0.022463555273252302,-0.013566506343048386,-0.603934069118713,No,2_60_1.5_100_4.csv,0.736753252469552,0.432960033084998,9.0,9.0,0.08186147249661689,0.048106670342777554,0.5876594797969908,Yes,2_100_1.25_100_4.csv,0.9114668896964657,0.7982616496722774,5.0,2.0,0.18229337793929315,0.3991308248361387,2.189497113653005,Yes,2_100_1.75_100_6.csv,0.8831219043439904,0.7859970025734998,1.0,8.0,0.8831219043439904,0.09824962532168748,0.11125261964221153,No,2_100_1.75_125_20.csv,1.3089257978355855,-0.08083860004825966,2.0,4.0,0.6544628989177927,-0.020209650012064914,-0.030879748944490516,No,,
3_20_1.25_50_20.csv,0.94937225,0.29254584392488403,38.0,37.0,0.024983480263157897,0.00790664443040227,0.31647490049902577,No,2_40_2_175_12.csv,0.8405851106459878,1.0544244170608217,4,7,0.21014627766149696,0.15063205958011738,0.7167962300181928,Yes,1_40_1.5_125_20.csv,1.0437553948592546,0.1920958781959102,25.0,19.0,0.04175021579437019,0.010110309378732116,0.24216184722320505,No,1_40_1.75_50_18.csv,0.44927110546504606,-0.33916265857620964,20.0,25.0,0.022463555273252302,-0.013566506343048386,-0.603934069118713,No,2_40_1.5_225_4.csv,0.6724051281764255,0.21383126676438535,10.0,11.0,0.06724051281764255,0.019439206069489578,0.28909961056080946,No,2_100_1.25_50_4.csv,0.9114668896964657,0.7982616496722774,5.0,2.0,0.18229337793929315,0.3991308248361387,2.189497113653005,Yes,2_100_1.75_50_6.csv,0.8831219043439904,0.7859970025734998,1.0,8.0,0.8831219043439904,0.09824962532168748,0.11125261964221153,No,2_100_1.75_150_20.csv,1.3089257978355855,-0.08083860004825966,2.0,4.0,0.6544628989177927,-0.020209650012064914,-0.030879748944490516,No,,
3_20_1.25_50_4.csv,0.94937225,0.29254584392488403,38.0,37.0,0.024983480263157897,0.00790664443040227,0.31647490049902577,No,2_40_2_175_14.csv,0.8405850401149746,0.9040225719427519,4,7,0.21014626002874365,0.12914608170610742,0.6145533196186452,Yes,1_40_1.5_125_4.csv,1.0437553948592546,0.1920958781959102,25.0,19.0,0.04175021579437019,0.010110309378732116,0.24216184722320505,No,1_40_1.75_50_20.csv,0.44927110546504606,-0.33916265857620964,20.0,25.0,0.022463555273252302,-0.013566506343048386,-0.603934069118713,No,2_40_2_225_12.csv,0.6556374528319115,0.47135186979870547,3.0,7.0,0.21854581761063718,0.06733598139981507,0.30810922000704377,No,2_100_1.25_75_4.csv,0.9114668896964657,0.7982616496722774,5.0,2.0,0.18229337793929315,0.3991308248361387,2.189497113653005,Yes,2_100_1.75_75_6.csv,0.8831219043439904,0.7859970025734998,1.0,8.0,0.8831219043439904,0.09824962532168748,0.11125261964221153,No,2_100_1.75_175_16.csv,1.3089257810926056,-0.08083855796549545,2.0,4.0,0.6544628905463028,-0.020209639491373863,-0.0308797332641797,No,,
3_20_1.25_50_6.csv,0.94937225,0.29254584392488403,38.0,37.0,0.024983480263157897,0.00790664443040227,0.31647490049902577,No,2_40_2_175_16.csv,0.8405850401149746,0.9040225719427519,4,7,0.21014626002874365,0.12914608170610742,0.6145533196186452,Yes,1_40_1.5_125_6.csv,1.0437553948592546,0.1920958781959102,25.0,19.0,0.04175021579437019,0.010110309378732116,0.24216184722320505,No,1_40_1.75_50_4.csv,0.44927110546504606,-0.33916265857620964,20.0,25.0,0.022463555273252302,-0.013566506343048386,-0.603934069118713,No,2_40_0.75_75_8.csv,0.6196041920501799,0.4004197037209848,10.0,22.0,0.06196041920501799,0.018200895623681126,0.29375036284788547,No,2_100_1.25_225_4.csv,0.911466867854901,0.7982616676723846,5.0,2.0,0.18229337357098022,0.3991308338361923,2.1894972154913868,Yes,2_100_1.75_125_6.csv,0.8831218000750364,0.7859969492184872,1.0,8.0,0.8831218000750364,0.0982496186523109,0.11125262522560637,No,2_100_1.75_100_20.csv,1.3089257674973753,-0.08083862157223223,2.0,4.0,0.6544628837486877,-0.02020965539305806,-0.030879757882218608,No,,
