Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Score_1,Pass1,Para2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Score_6,Pass6,Para7,Pass7
2_80_1.75_225_16.csv,0.12033164075,0.022364730085515924,0.2501235238035027,No,,,,,,,,,,,,,1_60_1.25_75_12.csv,0.1302417839279721,-0.02543453589275492,-0.09978294409163144,No,,,,,,,
2_80_1.75_225_18.csv,0.12033164075,0.022364730085515924,0.2501235238035027,No,,,,,,,,,,,,,1_60_1.25_75_14.csv,0.1302417839279721,-0.02543453589275492,-0.09978294409163144,No,,,,,,,
2_80_1.75_225_20.csv,0.12033164075,0.022364730085515924,0.2501235238035027,No,,,,,,,,,,,,,1_60_1.25_75_16.csv,0.1302417839279721,-0.02543453589275492,-0.09978294409163144,No,,,,,,,
2_40_1_175_8.csv,0.12028370324999998,0.025623933531835764,0.2865739279742192,No,,,,,,,,,,,,,1_60_1.25_75_18.csv,0.1302417839279721,-0.02543453589275492,-0.09978294409163144,No,,,,,,,
2_100_1.5_100_6.csv,0.119667664,0.002087765275839761,0.023349229151029407,No,,,,,,,,,,,,,1_60_1.25_75_20.csv,0.1302417839279721,-0.02543453589275492,-0.09978294409163144,No,,,,,,,
2_100_1.5_50_6.csv,0.119667664,0.002087765275839761,0.023349229151029407,No,,,,,,,,,,,,,1_60_1.25_75_4.csv,0.1302417839279721,-0.02543453589275492,-0.09978294409163144,No,,,,,,,
2_100_1.5_75_6.csv,0.119667664,0.002087765275839761,0.023349229151029407,No,,,,,,,,,,,,,1_60_1.25_75_6.csv,0.1302417839279721,-0.02543453589275492,-0.09978294409163144,No,,,,,,,
2_120_1_150_10.csv,0.1196477735,-0.015316819228724503,-0.17130082877373762,No,,,,,,,,,,,,,1_60_1.25_75_8.csv,0.1302417839279721,-0.02543453589275492,-0.09978294409163144,No,,,,,,,
2_120_1_150_8.csv,0.1196477735,-0.015316819228724503,-0.17130082877373762,No,,,,,,,,,,,,,3_60_1.25_50_10.csv,0.1302417839279721,-0.02543453589275492,-0.09978294409163144,No,,,,,,,
2_80_1.25_50_12.csv,0.11918219524999998,0.036629340773984685,0.4096566224567078,No,,,,,,,,,,,,,3_60_1.25_50_12.csv,0.1302417839279721,-0.02543453589275492,-0.09978294409163144,No,,,,,,,
