Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Score_7,Pass7
3_80_1.25_75_6.csv,0.11779290625,0.1650021131744859,0.42656489306001744,No,3_40_1_125_14.csv,0.20450697425756453,0.011410585150387682,0.06220389884979286,No,,,,,,,,,,,1_80_1_150_6.csv,0.1690006186924769,-0.057026090896749995,-0.3330820269299121,No,,,,,,,,,,
3_80_1.25_75_8.csv,0.11779290625,0.1650021131744859,0.42656489306001744,No,3_40_1_125_16.csv,0.20450697425756453,0.011410585150387682,0.06220389884979286,No,,,,,,,,,,,1_80_1_150_8.csv,0.1690006186924769,-0.057026090896749995,-0.3330820269299121,No,,,,,,,,,,
1_40_0.75_125_10.csv,0.11778272650000002,0.17125136957913334,0.44272052487992103,No,3_40_1_125_18.csv,0.20450697425756453,0.011410585150387682,0.06220389884979286,No,,,,,,,,,,,3_80_1_150_10.csv,0.1690006186924769,-0.057026090896749995,-0.3330820269299121,No,,,,,,,,,,
1_40_0.75_125_12.csv,0.11778272650000002,0.17125136957913334,0.44272052487992103,No,3_40_1_125_20.csv,0.20450697425756453,0.011410585150387682,0.06220389884979286,No,,,,,,,,,,,3_80_1_150_12.csv,0.1690006186924769,-0.057026090896749995,-0.3330820269299121,No,,,,,,,,,,
1_40_0.75_125_14.csv,0.11778272650000002,0.17125136957913334,0.44272052487992103,No,3_40_1_125_4.csv,0.20450697425756453,0.011410585150387682,0.06220389884979286,No,,,,,,,,,,,3_80_1_150_14.csv,0.1690006186924769,-0.057026090896749995,-0.3330820269299121,No,,,,,,,,,,
1_40_0.75_125_16.csv,0.11778272650000002,0.17125136957913334,0.44272052487992103,No,3_40_1_125_6.csv,0.20450697425756453,0.011410585150387682,0.06220389884979286,No,,,,,,,,,,,3_80_1_150_16.csv,0.1690006186924769,-0.057026090896749995,-0.3330820269299121,No,,,,,,,,,,
1_40_0.75_125_18.csv,0.11778272650000002,0.17125136957913334,0.44272052487992103,No,3_40_1_125_8.csv,0.20450697425756453,0.011410585150387682,0.06220389884979286,No,,,,,,,,,,,3_80_1_150_18.csv,0.1690006186924769,-0.057026090896749995,-0.3330820269299121,No,,,,,,,,,,
1_40_0.75_125_20.csv,0.11778272650000002,0.17125136957913334,0.44272052487992103,No,2_20_1.25_50_10.csv,0.20435909900959243,0.0687964177503673,0.37503820834521756,No,,,,,,,,,,,3_80_1_150_20.csv,0.1690006186924769,-0.057026090896749995,-0.3330820269299121,No,,,,,,,,,,
1_40_0.75_125_4.csv,0.11778272650000002,0.17125136957913334,0.44272052487992103,No,2_20_1.25_50_12.csv,0.20435909900959243,0.0687964177503673,0.37503820834521756,No,,,,,,,,,,,3_80_1_150_6.csv,0.1690006186924769,-0.057026090896749995,-0.3330820269299121,No,,,,,,,,,,
1_40_0.75_125_6.csv,0.11778272650000002,0.17125136957913334,0.44272052487992103,No,2_20_1.25_50_14.csv,0.20435909900959243,0.0687964177503673,0.37503820834521756,No,,,,,,,,,,,3_80_1_150_8.csv,0.1690006186924769,-0.057026090896749995,-0.3330820269299121,No,,,,,,,,,,
