Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window_1_NetProfit,Window_1_MDD,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window_2_NetProfit,Window_2_MDD,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window_3_NetProfit,Window_3_MDD,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window_4_NetProfit,Window_4_MDD,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window_5_NetProfit,Window_5_MDD,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window_6_NetProfit,Window_6_MDD,Score_6,Pass6,Para7,Pass7
2_40_1_75_4.csv,0.38783871875,0.18090415400689333,3485119.75,-1076088.0,3.238694000862383,Yes,2_40_1.75_100_12.csv,0.23571805014925604,0.1336678187713229,3426295.937,-1869145.75,1.8330812013990883,Yes,2_40_1_50_4.csv,0.7211023144151113,-0.07448785246844142,10088896.5,-11207403.0,0.9001993146851237,No,,,,,,,,2_80_1.25_200_6.csv,0.2939867890612134,0.023818841878767434,1688820.4840000002,-816084.625,2.069418332688231,Yes,2_80_0.75_150_8.csv,0.29689688776808487,-0.014179653727123478,5032026.0,-2121349.0,2.3720877611368993,Yes,,
2_40_1.75_50_10.csv,0.38530925,0.22894297456509488,3965368.25,-884127.75,4.48506253762536,Yes,2_40_1.75_100_14.csv,0.23571805014925604,0.1336678187713229,3426295.937,-1869145.75,1.8330812013990883,Yes,2_40_0.75_200_4.csv,0.7187765202890877,-0.06564709258546243,2136391.453,-2153214.25,0.9921871235061723,No,,,,,,,,2_80_1.25_175_6.csv,0.29398677917353505,0.02381885485578153,2478966.687,-1197904.5,2.069419295945545,Yes,2_100_1_100_8.csv,0.2780187869459109,-0.029040055810141442,1577217.75,-1138075.75,1.3858635947563245,No,,
2_40_1.75_75_10.csv,0.3808665625,0.22894298989023587,3930646.0,-877945.25,4.477096948813152,Yes,2_40_1.75_100_16.csv,0.23571805014925604,0.1336678187713229,3426295.937,-1869145.75,1.8330812013990883,Yes,2_60_1.5_100_4.csv,0.7151319808157538,-0.10656851526032066,1239421.881,-1928967.125,0.6425313655876846,No,,,,,,,,2_20_2_175_6.csv,0.27193954948263555,0.018689479229016374,1930236.875,-1098003.75,1.757951077125192,Yes,2_100_1_125_8.csv,0.2780187869459109,-0.029040055810141442,1577217.75,-1138075.75,1.3858635947563245,No,,
2_40_1.5_50_12.csv,0.37548953124999995,0.19361395259615266,3528013.75,-1117674.0,3.156567791681653,Yes,2_40_1.75_100_18.csv,0.23571805014925604,0.1336678187713229,3426295.937,-1869145.75,1.8330812013990883,Yes,2_60_1.5_50_4.csv,0.7151319580329146,-0.1065685241509382,1674553.156,-2606181.875,0.642531195563625,No,,,,,,,,2_20_2_75_8.csv,0.27152006159903436,-0.015303753504392711,4558914.75,-4100304.0,1.1118479873687415,No,2_100_1_50_8.csv,0.2780187869459109,-0.029040055810141442,1577217.75,-1138075.75,1.3858635947563245,No,,
2_40_1.5_50_14.csv,0.37548953124999995,0.19361395259615266,3528013.75,-1117674.0,3.156567791681653,Yes,2_40_1.75_100_20.csv,0.23571805014925604,0.1336678187713229,3426295.937,-1869145.75,1.8330812013990883,Yes,2_60_1.5_75_4.csv,0.7151319580329146,-0.1065685241509382,1674553.156,-2606181.875,0.642531195563625,No,,,,,,,,2_20_2_75_10.csv,0.2715199701099534,-0.015303730485950493,4522882.75,-4067896.0,1.1118481765512196,No,2_100_1_75_8.csv,0.2780187869459109,-0.029040055810141442,1577217.75,-1138075.75,1.3858635947563245,No,,
2_40_1.5_50_16.csv,0.37548953124999995,0.19361395259615266,3528013.75,-1117674.0,3.156567791681653,Yes,2_40_1.75_100_10.csv,0.2357180382142817,0.1336678507936154,3591977.875,-1959529.875,1.8330814553159083,Yes,2_60_1_50_4.csv,0.7073503496985116,-0.1181659977518357,4325647.75,-10505708.0,0.41174262124932465,No,,,,,,,,2_20_2_75_12.csv,0.2715199701099534,-0.015303730485950493,4522882.75,-4067896.0,1.1118481765512196,No,2_100_1_150_8.csv,0.2780186820845423,-0.03247978056611048,1884650.0,-1440211.25,1.3085927498483296,No,,
2_40_1.5_50_18.csv,0.37548953124999995,0.19361395259615266,3528013.75,-1117674.0,3.156567791681653,Yes,2_40_1.5_75_8.csv,0.23513591581755128,0.2872359437107089,7023918.25,-3083652.0,2.277792127646051,Yes,2_60_1_75_4.csv,0.7073503174168398,-0.11816601538845944,2820049.25,-6849061.25,0.4117424486457907,No,,,,,,,,2_20_2_75_14.csv,0.2715199701099534,-0.015303730485950493,4522882.75,-4067896.0,1.1118481765512196,No,2_80_0.75_150_6.csv,0.27538730321366145,-0.01417957883092976,5096293.75,-2234456.0,2.2807760591392268,Yes,,
2_40_1.5_50_20.csv,0.37548953124999995,0.19361395259615266,3528013.75,-1117674.0,3.156567791681653,Yes,2_40_0.75_50_6.csv,0.22964634843226728,0.8209425317963647,17210174.125,-4691152.0,3.6686455960071216,Yes,2_60_1.5_150_4.csv,0.7008185410205964,-0.04155241802224319,1703592.906,-851619.75,2.000414980981829,Yes,,,,,,,,2_20_2_75_16.csv,0.2715199701099534,-0.015303730485950493,4522882.75,-4067896.0,1.1118481765512196,No,2_100_1_100_6.csv,0.27176465220307955,-0.02904007196968562,2161202.25,-1656979.5,1.304302346528729,No,,
2_40_1_50_6.csv,0.37064828125,0.20346472386754816,3592736.75,-1147253.25,3.131598668384683,Yes,2_40_1.5_75_12.csv,0.2246075466319178,0.27864010049360655,7906371.875,-3657198.5,2.1618656671219787,Yes,2_60_1.5_175_4.csv,0.7008183729344606,-0.052337563894606254,861263.625,-530776.594,1.6226480872289555,Yes,,,,,,,,2_20_2_75_18.csv,0.2715199701099534,-0.015303730485950493,4522882.75,-4067896.0,1.1118481765512196,No,2_100_1_125_6.csv,0.27176465220307955,-0.02904007196968562,2161202.25,-1656979.5,1.304302346528729,No,,
2_40_1.75_50_8.csv,0.35867271875,0.232756185328679,3795061.5,-847059.25,4.480278681804136,Yes,2_40_1.5_75_14.csv,0.2246075466319178,0.27864010049360655,7906371.875,-3657198.5,2.1618656671219787,Yes,2_40_1.25_50_4.csv,0.6978917690542187,-0.0877203457016107,3175692.75,-4441776.25,0.7149600905718743,No,,,,,,,,2_20_2_75_20.csv,0.2715199701099534,-0.015303730485950493,4522882.75,-4067896.0,1.1118481765512196,No,2_100_1_50_6.csv,0.27176465220307955,-0.02904007196968562,2161202.25,-1656979.5,1.304302346528729,No,,
