Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,OutSamplePass1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,OutSamplePass2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,OutSamplePass3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,OutSamplePass4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,OutSamplePass5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,OutSamplePass6,Pass6,Para7,Pass7
2_60_1.75_50_16.csv,0.142034,0.07762576077585108,No,,2_20_1_125_8.csv,0.12737539238696738,0.3019120729300914,Yes,,2_80_0.75_100_18.csv,0.5661929621127532,-0.005340242282111947,No,,,,,,,2_100_1_100_6.csv,0.181365294990808,0.27176465220307955,Yes,,2_120_0.75_125_16.csv,0.18535604293915814,-0.03597909515838648,No,,,
2_60_1.75_50_18.csv,0.142034,0.07762576077585108,No,,2_40_1.5_175_8.csv,0.12632339963344782,0.12172971679672567,Yes,,2_80_0.75_100_20.csv,0.5661929621127532,-0.005340242282111947,No,,,,,,,2_100_1_125_6.csv,0.181365294990808,0.27176465220307955,Yes,,2_120_0.75_125_18.csv,0.18535604293915814,-0.03597909515838648,No,,,
2_60_1.75_50_20.csv,0.142034,0.07762576077585108,No,,2_40_1.25_100_6.csv,0.13377907165193004,0.35856481481481484,Yes,,2_80_0.75_50_10.csv,0.5661929185089569,-0.0020920856940217854,No,,,,,,,2_100_1_50_6.csv,0.181365294990808,0.27176465220307955,Yes,,2_120_0.75_125_20.csv,0.18535604293915814,-0.03597909515838648,No,,,
2_60_1.75_75_12.csv,0.142034,0.07515125649178388,No,,2_20_1_75_6.csv,0.12478546503992277,0.5523498233405706,Yes,,2_80_0.75_75_10.csv,0.5661929185089569,-0.0020920856940217854,No,,,,,,,2_100_1_75_6.csv,0.181365294990808,0.27176465220307955,Yes,,2_120_0.75_150_16.csv,0.18535604293915814,-0.03597909515838648,No,,,
2_60_1.75_75_14.csv,0.142034,0.07762576077585108,No,,2_20_1_150_10.csv,0.124716600212505,0.321416418104201,Yes,,1_60_1.75_150_10.csv,0.5658272566607966,-0.04137281359633678,No,,,,,,,2_60_0.75_100_6.csv,0.16550918796771122,0.09561924585827425,No,,2_120_0.75_150_18.csv,0.18535604293915814,-0.03597909515838648,No,,,
2_60_1.75_75_16.csv,0.142034,0.07762576077585108,No,,2_20_1_150_12.csv,0.124716600212505,0.321416418104201,Yes,,1_60_1.75_150_12.csv,0.5658272566607966,-0.04137281359633678,No,,,,,,,2_80_1.75_50_14.csv,0.17980107949673116,0.16114982377528095,Yes,,2_120_0.75_150_20.csv,0.18535604293915814,-0.03597909515838648,No,,,
2_60_1.75_75_18.csv,0.142034,0.07762576077585108,No,,2_20_1_150_14.csv,0.124716600212505,0.321416418104201,Yes,,1_60_1.75_150_14.csv,0.5658272566607966,-0.04137281359633678,No,,,,,,,2_80_1.75_75_14.csv,0.17980107949673116,0.16114982377528095,Yes,,2_120_0.75_50_16.csv,0.18535604293915814,-0.03597909515838648,No,,,
2_60_1.75_75_20.csv,0.142034,0.07762576077585108,No,,2_20_1_150_16.csv,0.124716600212505,0.321416418104201,Yes,,1_60_1.75_150_16.csv,0.5658272566607966,-0.04137281359633678,No,,,,,,,2_80_1.75_100_20.csv,0.17980105123306955,0.19301189838285726,Yes,,2_120_0.75_50_18.csv,0.18535604293915814,-0.03597909515838648,No,,,
2_100_1.5_100_12.csv,0.1418831875,-0.01846857346361663,No,,2_20_1_150_18.csv,0.124716600212505,0.321416418104201,Yes,,1_60_1.75_150_18.csv,0.5658272566607966,-0.04137281359633678,No,,,,,,,2_80_1.75_200_16.csv,0.17980104664428975,0.09873155519436022,No,,2_120_0.75_50_20.csv,0.18535604293915814,-0.03597909515838648,No,,,
2_100_1.5_125_12.csv,0.1418831875,-0.01846857346361663,No,,2_20_1_150_20.csv,0.124716600212505,0.321416418104201,Yes,,1_60_1.75_150_20.csv,0.5658272566607966,-0.04137281359633678,No,,,,,,,2_80_1.75_200_18.csv,0.17980104664428975,0.12875825479605688,Yes,,2_120_0.75_75_16.csv,0.18535604293915814,-0.03597909515838648,No,,,
