Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window_1_NetProfit,Window_1_MDD,Score_1,Pass1,Para2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window_3_NetProfit,Window_3_MDD,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window_4_NetProfit,Window_4_MDD,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window_5_NetProfit,Window_5_MDD,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window_6_NetProfit,Window_6_MDD,Score_6,Pass6,Para7,Pass7
2_40_1_50_16.csv,0.5590330625,-0.057351020528821864,1561149.125,-3127532.375,0.49916321809458486,No,,,1_120_2_175_18.csv,0.13604330135494677,-0.06926258940754854,168919.59399999998,-1163930.125,0.14512863819896404,No,2_120_1.5_225_18.csv,0.130725665623936,0.07538220397997766,691557.469,-588706.844,1.1747060120809467,No,2_40_1.5_125_4.csv,0.3547544975581962,0.223906756164287,12912966.25,-3922908.0,3.2916821526275917,Yes,2_80_1.5_75_8.csv,0.42752752131080074,0.02842310340332421,3430463.875,-1324452.25,2.590100077220602,Yes,,
2_40_1_50_18.csv,0.5590330625,-0.057351020528821864,1561149.125,-3127532.375,0.49916321809458486,No,,,1_120_2_175_20.csv,0.13604330135494677,-0.06926258940754854,168919.59399999998,-1163930.125,0.14512863819896404,No,2_120_1.5_225_20.csv,0.130725665623936,0.07538220397997766,691557.469,-588706.844,1.1747060120809467,No,2_40_0.75_150_10.csv,0.3545220873379259,-0.002004295670975442,1326047.453,-965935.0,1.3728123041405478,No,2_80_1.5_125_8.csv,0.42752750356744906,0.028423107707883415,2038990.594,-787224.625,2.590100117866613,Yes,,
2_40_1_50_20.csv,0.5590330625,-0.057351020528821864,1561149.125,-3127532.375,0.49916321809458486,No,,,1_120_2_175_4.csv,0.13604330135494677,-0.06926258940754854,168919.59399999998,-1163930.125,0.14512863819896404,No,2_120_1.5_200_10.csv,0.13072566064279986,0.07864328713894854,723089.75,-609392.406,1.18657492755169,No,2_40_0.75_150_12.csv,0.3545220873379259,-0.002004295670975442,1326047.453,-965935.0,1.3728123041405478,No,2_60_1.25_100_8.csv,0.42367555392924316,-0.020475254202704046,4782491.25,-3792747.0,1.260957097850186,No,,
2_40_1_50_8.csv,0.5590330625,-0.057351020528821864,1561149.125,-3127532.375,0.49916321809458486,No,,,1_120_2_175_6.csv,0.13604330135494677,-0.06926258940754854,168919.59399999998,-1163930.125,0.14512863819896404,No,2_120_1.5_150_10.csv,0.13072566053961293,0.07864326984350097,1033805.094,-871251.625,1.1865746522997878,No,2_40_0.75_150_14.csv,0.3545220873379259,-0.002004295670975442,1326047.453,-965935.0,1.3728123041405478,No,2_60_1.25_100_12.csv,0.4236755429247948,-0.020475267800946988,4652678.5,-3689800.0,1.2609568269282887,No,,
1_60_0.75_50_4.csv,0.555327,-0.0608462874699191,1503162.25,-1941964.375,0.7740421345267984,No,,,1_120_2_175_8.csv,0.13604330135494677,-0.06926258940754854,168919.59399999998,-1163930.125,0.14512863819896404,No,2_120_1.5_100_14.csv,0.1307256605188827,0.0753822117694327,1146024.594,-975584.125,1.1747060705810481,No,2_40_0.75_150_16.csv,0.3545220873379259,-0.002004295670975442,1326047.453,-965935.0,1.3728123041405478,No,2_60_1.25_100_10.csv,0.42367553368836813,-0.02047526075477246,5108408.0,-4051216.0,1.2609567102815549,No,,
3_60_0.75_50_4.csv,0.555327,-0.0608462874699191,1503162.25,-1941964.375,0.7740421345267984,No,,,1_120_2_200_10.csv,0.13604330135494677,-0.06926258940754854,168919.59399999998,-1163930.125,0.14512863819896404,No,2_120_1.5_125_14.csv,0.1307256605188827,0.0753822117694327,1146024.594,-975584.125,1.1747060705810481,No,2_40_0.75_150_18.csv,0.3545220873379259,-0.002004295670975442,1326047.453,-965935.0,1.3728123041405478,No,2_60_1.25_100_14.csv,0.4236755102713652,-0.020475282423182944,4806196.5,-3811549.0,1.2609562411502515,No,,
2_40_1.75_100_4.csv,0.55431975,-0.02707386268415867,1946399.375,-956868.625,2.0341343880932454,Yes,,,1_120_2_200_12.csv,0.13604330135494677,-0.06926258940754854,168919.59399999998,-1163930.125,0.14512863819896404,No,2_120_1.5_50_14.csv,0.1307256605188827,0.0753822117694327,1146024.594,-975584.125,1.1747060705810481,No,2_40_0.75_150_20.csv,0.3545220873379259,-0.002004295670975442,1326047.453,-965935.0,1.3728123041405478,No,2_60_1.25_100_16.csv,0.4236755102713652,-0.020475282423182944,4806196.5,-3811549.0,1.2609562411502515,No,,
2_40_2_125_6.csv,0.5486881875,0.007246336230001073,2376201.5,-1149285.25,2.067547199444176,Yes,,,1_120_2_200_14.csv,0.13604330135494677,-0.06926258940754854,168919.59399999998,-1163930.125,0.14512863819896404,No,2_120_1.5_75_14.csv,0.1307256605188827,0.0753822117694327,1146024.594,-975584.125,1.1747060705810481,No,2_40_0.75_150_8.csv,0.3545220873379259,-0.002004295670975442,1326047.453,-965935.0,1.3728123041405478,No,2_60_1.25_100_18.csv,0.4236755102713652,-0.020475282423182944,4806196.5,-3811549.0,1.2609562411502515,No,,
1_20_1.25_75_10.csv,0.54754625,-0.05393620105870571,1569538.625,-1085701.75,1.445644372407063,No,,,1_120_2_200_16.csv,0.13604330135494677,-0.06926258940754854,168919.59399999998,-1163930.125,0.14512863819896404,No,2_120_1.5_150_12.csv,0.13072566009452358,0.07538221945033134,962578.594,-819420.875,1.174705970237822,No,2_40_1.25_75_6.csv,0.3531474257052048,0.19432073326176807,7194303.625,-2239899.5,3.211886794474484,Yes,2_60_1.25_100_20.csv,0.4236755102713652,-0.020475282423182944,4806196.5,-3811549.0,1.2609562411502515,No,,
1_20_1.25_75_12.csv,0.54754625,-0.05393620105870571,1569538.625,-1085701.75,1.445644372407063,No,,,1_120_2_200_18.csv,0.13604330135494677,-0.06926258940754854,168919.59399999998,-1163930.125,0.14512863819896404,No,2_120_1.5_225_12.csv,0.13072565937280053,0.07538221936742977,842804.375,-717459.812,1.1747060405384768,No,2_40_1_75_10.csv,0.3508790082569973,0.39250102694717026,7032935.719,-3235410.0,2.173738635597961,Yes,2_40_0.75_75_10.csv,0.41992729558835307,0.031998983503484124,3475976.125,-1921527.25,1.808965303510528,Yes,,
