Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window_1_NetProfit,Window_1_MDD,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window_2_NetProfit,Window_2_MDD,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window_3_NetProfit,Window_3_MDD,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window_4_NetProfit,Window_4_MDD,Score_4,Pass4,Para5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window_6_NetProfit,Window_6_MDD,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Window_7_NetProfit,Window_7_MDD,Score_7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Window_8_NetProfit,Window_8_MDD,Score_8,Pass8,Para9,Pass9
,,,,,,,1_120_1_50_6.csv,0.23654981565433897,-0.05336616642012585,301313.196,-494687.953,0.6090975011069251,No,,,,,,,,2_100_0.75_75_4.csv,0.5861838363021183,-0.09280677024915121,738466.657,-915023.25,0.8070468777705921,No,,,1_60_1.25_75_20.csv,0.20847060853829558,-0.06819462887761436,1079358.75,-3916482.0,0.27559395140843235,No,2_120_1.75_50_20.csv,0.11216421637469129,0.22893956160888007,2147651.625,-805786.187,2.6652872184318044,Yes,2_120_1.75_200_12.csv,0.17930860470263726,-0.050539669997996084,368305.969,-671233.312,0.5487003734999373,No,,
,,,,,,,1_120_1_50_8.csv,0.23654981565433897,-0.05336616642012585,301313.196,-494687.953,0.6090975011069251,No,,,,,,,,2_100_0.75_125_4.csv,0.5861838164420645,-0.09280676763857142,765110.234,-948036.875,0.8070469136551256,No,,,1_60_1.25_75_6.csv,0.20847060853829558,-0.06819462887761436,1079358.75,-3916482.0,0.27559395140843235,No,2_120_1.75_75_20.csv,0.11216421637469129,0.22893956160888007,2147651.625,-805786.187,2.6652872184318044,Yes,1_100_0.75_125_4.csv,0.17881760180538642,-0.060615593163836655,196099.17899999997,-575909.532,0.3405034438638185,No,,
,,,,,,,1_120_1_75_10.csv,0.23654981565433897,-0.05156862692000004,307685.567,-494687.953,0.6219790984075166,No,,,,,,,,2_100_0.75_150_4.csv,0.586183719442429,-0.09280676477538634,1344601.594,-1666076.25,0.8070468527475858,No,,,1_60_1.25_75_8.csv,0.20847060853829558,-0.06819462887761436,1079358.75,-3916482.0,0.27559395140843235,No,2_120_1.75_225_18.csv,0.11216421300162163,0.1473885220452882,1255895.75,-637331.375,1.9705537798135233,Yes,3_100_0.75_125_4.csv,0.17881760180538642,-0.060615593163836655,196099.17899999997,-575909.532,0.3405034438638185,No,,
,,,,,,,1_120_1_75_12.csv,0.23654981565433897,-0.05156862692000004,307685.567,-494687.953,0.6219790984075166,No,,,,,,,,1_120_1.5_200_10.csv,0.5858671456020045,-0.08341535326777982,1023120.973,-820232.625,1.2473546428368416,No,,,3_60_1.25_75_10.csv,0.20847060853829558,-0.06819462887761436,1079358.75,-3916482.0,0.27559395140843235,No,2_120_1.75_100_18.csv,0.11216420798054934,0.22893955409481764,2195580.25,-823768.812,2.6652869324700776,Yes,1_100_0.75_100_10.csv,0.17881756911609906,-0.061030034540978426,181187.43,-536100.344,0.33797297843181384,No,,
,,,,,,,1_120_1_75_14.csv,0.23654981565433897,-0.05156862692000004,307685.567,-494687.953,0.6219790984075166,No,,,,,,,,1_120_1.5_200_12.csv,0.5858671456020045,-0.08341535326777982,1023120.973,-820232.625,1.2473546428368416,No,,,3_60_1.25_75_12.csv,0.20847060853829558,-0.06819462887761436,1079358.75,-3916482.0,0.27559395140843235,No,2_120_1.75_125_18.csv,0.11216420798054934,0.22893955409481764,2195580.25,-823768.812,2.6652869324700776,Yes,1_100_0.75_100_12.csv,0.17881756911609906,-0.061030034540978426,181187.43,-536100.344,0.33797297843181384,No,,
,,,,,,,1_120_1_75_16.csv,0.23654981565433897,-0.05156862692000004,307685.567,-494687.953,0.6219790984075166,No,,,,,,,,1_120_1.5_200_14.csv,0.5858671456020045,-0.08341535326777982,1023120.973,-820232.625,1.2473546428368416,No,,,3_60_1.25_75_14.csv,0.20847060853829558,-0.06819462887761436,1079358.75,-3916482.0,0.27559395140843235,No,2_120_1.75_50_18.csv,0.11216420798054934,0.22893955409481764,2195580.25,-823768.812,2.6652869324700776,Yes,1_100_0.75_100_14.csv,0.17881756911609906,-0.061030034540978426,181187.43,-536100.344,0.33797297843181384,No,,
,,,,,,,1_120_1_75_18.csv,0.23654981565433897,-0.05156862692000004,307685.567,-494687.953,0.6219790984075166,No,,,,,,,,1_120_1.5_200_16.csv,0.5858671456020045,-0.08341535326777982,1023120.973,-820232.625,1.2473546428368416,No,,,3_60_1.25_75_16.csv,0.20847060853829558,-0.06819462887761436,1079358.75,-3916482.0,0.27559395140843235,No,2_120_1.75_75_18.csv,0.11216420798054934,0.22893955409481764,2195580.25,-823768.812,2.6652869324700776,Yes,1_100_0.75_100_16.csv,0.17881756911609906,-0.061030034540978426,181187.43,-536100.344,0.33797297843181384,No,,
,,,,,,,1_120_1_75_20.csv,0.23654981565433897,-0.05156862692000004,307685.567,-494687.953,0.6219790984075166,No,,,,,,,,1_120_1.5_200_18.csv,0.5858671456020045,-0.08341535326777982,1023120.973,-820232.625,1.2473546428368416,No,,,3_60_1.25_75_18.csv,0.20847060853829558,-0.06819462887761436,1079358.75,-3916482.0,0.27559395140843235,No,2_120_1.75_225_20.csv,0.11216420633736846,0.14738851848734574,1228479.937,-623418.625,1.9705537944106175,Yes,1_100_0.75_100_18.csv,0.17881756911609906,-0.061030034540978426,181187.43,-536100.344,0.33797297843181384,No,,
,,,,,,,1_120_1_75_4.csv,0.23654981565433897,-0.05156862692000004,307685.567,-494687.953,0.6219790984075166,No,,,,,,,,1_120_1.5_200_20.csv,0.5858671456020045,-0.08341535326777982,1023120.973,-820232.625,1.2473546428368416,No,,,3_60_1.25_75_20.csv,0.20847060853829558,-0.06819462887761436,1079358.75,-3916482.0,0.27559395140843235,No,2_120_1.75_175_20.csv,0.11216420579648378,0.18122942746721638,1461213.812,-646885.625,2.258844153477672,Yes,1_100_0.75_100_20.csv,0.17881756911609906,-0.061030034540978426,181187.43,-536100.344,0.33797297843181384,No,,
,,,,,,,1_120_1_75_6.csv,0.23654981565433897,-0.05156862692000004,307685.567,-494687.953,0.6219790984075166,No,,,,,,,,1_120_1.5_200_4.csv,0.5858671456020045,-0.08341535326777982,1023120.973,-820232.625,1.2473546428368416,No,,,3_60_1.25_75_6.csv,0.20847060853829558,-0.06819462887761436,1079358.75,-3916482.0,0.27559395140843235,No,2_120_1.75_200_18.csv,0.11216420013264655,0.14738852249507683,1136131.3909999998,-576554.375,1.9705537591315647,Yes,1_100_0.75_100_6.csv,0.17881756911609906,-0.061030034540978426,181187.43,-536100.344,0.33797297843181384,No,,
