Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window1_GrossProfit,Window1_GrossLoss,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window2_GrossProfit,Window2_GrossLoss,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window3_GrossProfit,Window3_GrossLoss,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window4_GrossProfit,Window4_GrossLoss,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window5_GrossProfit,Window5_GrossLoss,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window6_GrossProfit,Window6_GrossLoss,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Window7_GrossProfit,Window7_GrossLoss,Score_7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Window8_GrossProfit,Window8_GrossLoss,Score_8,Pass8,Para9,InSample9_Annual_RateOfReturn,OutSample9_Annual_RateOfReturn,Window9_GrossProfit,Window9_GrossLoss,Score_9,Pass9
,,,,,,,2_60_1.5_50_12.csv,0.4518586547466354,-0.025295972257143043,11506049.81,-10085355.466,1.1408670570699744,No,,,,,,,,2_40_1_200_4.csv,0.10731340810199666,0.004576689197707014,7562245.56,-6907501.123,1.0947874528488875,No,,,,,,,,3_80_0.75_150_8.csv,0.1377549539791741,0.33944460490517375,9662641.754,-7241730.879,1.33430003343818,No,1_120_0.75_200_6.csv,0.3385479292938682,0.23375578687375997,34211063.75,-25945882.5,1.3185546396427257,No,2_60_1.25_50_16.csv,0.1514275660200866,-0.06331966959743471,46418093.5,-44903294.0,1.033734707747721,No,,,,,,,
,,,,,,,2_60_1.5_75_12.csv,0.4518586547466354,-0.025295972257143043,11506049.81,-10085355.466,1.1408670570699744,No,,,,,,,,2_40_1_225_6.csv,0.10715440898412423,0.004319908896958872,8626466.246,-8005495.871,1.0775680089036672,No,,,,,,,,2_40_0.75_100_4.csv,0.1375276613499274,0.37606618810009196,16116073.0,-11509747.625,1.4002108060992344,No,1_120_0.75_200_8.csv,0.3385479292938682,0.23375578687375997,34211063.75,-25945882.5,1.3185546396427257,No,2_60_1.25_50_18.csv,0.1514275660200866,-0.06331966959743471,46418093.5,-44903294.0,1.033734707747721,No,,,,,,,
,,,,,,,2_60_1.5_50_10.csv,0.4518586148942929,-0.02529597055450509,12540583.985,-10992151.923,1.1408670543171857,No,,,,,,,,2_40_1_200_6.csv,0.10715439865128715,0.00313723723533274,7925776.372,-7348072.497,1.0786197843360772,No,,,,,,,,2_40_0.75_100_6.csv,0.1375276422137712,0.32748597047387484,16145079.0,-12003987.75,1.3449762975641157,No,3_120_0.75_200_10.csv,0.3385479292938682,0.23375578687375997,34211063.75,-25945882.5,1.3185546396427257,No,2_60_1.25_50_20.csv,0.1514275660200866,-0.06331966959743471,46418093.5,-44903294.0,1.033734707747721,No,,,,,,,
,,,,,,,2_60_1.5_75_10.csv,0.4518586148942929,-0.02529597055450509,12540583.985,-10992151.923,1.1408670543171857,No,,,,,,,,2_40_0.75_150_4.csv,0.1071522681924118,-0.027983073289731375,6747307.232000001,-6465817.076,1.0435351252117606,No,,,,,,,,2_40_0.75_100_10.csv,0.13752757166393437,0.32748608159417436,17502267.375,-13013068.625,1.3449761835095217,No,3_120_0.75_200_12.csv,0.3385479292938682,0.23375578687375997,34211063.75,-25945882.5,1.3185546396427257,No,2_60_1.25_100_10.csv,0.1514275599594801,-0.06287325610449652,39756242.0,-38410711.0,1.0350300987659407,No,,,,,,,
,,,,,,,1_60_1_125_10.csv,0.4508111612672021,-0.0420543510169696,7060685.844,-6021092.926,1.172658507479743,No,,,,,,,,2_40_0.75_175_4.csv,0.107152248069036,-0.009583225420952371,4643395.891,-4365402.641,1.0636810101751162,No,,,,,,,,2_40_0.75_100_12.csv,0.13752757166393437,0.32748608159417436,17502267.375,-13013068.625,1.3449761835095217,No,3_120_0.75_200_14.csv,0.3385479292938682,0.23375578687375997,34211063.75,-25945882.5,1.3185546396427257,No,2_60_1.25_100_12.csv,0.1514275599594801,-0.06287325610449652,39756242.0,-38410711.0,1.0350300987659407,No,,,,,,,
,,,,,,,1_60_1_125_12.csv,0.4508111612672021,-0.0420543510169696,7060685.844,-6021092.926,1.172658507479743,No,,,,,,,,2_120_2_225_14.csv,0.1067413057927786,-0.026310003010372063,7173264.964,-6880032.214,1.042620839682016,No,,,,,,,,2_40_0.75_100_14.csv,0.13752757166393437,0.32748608159417436,17502267.375,-13013068.625,1.3449761835095217,No,3_120_0.75_200_16.csv,0.3385479292938682,0.23375578687375997,34211063.75,-25945882.5,1.3185546396427257,No,2_60_1.25_100_14.csv,0.1514275599594801,-0.06287325610449652,39756242.0,-38410711.0,1.0350300987659407,No,,,,,,,
,,,,,,,1_60_1_125_14.csv,0.4508111612672021,-0.0420543510169696,7060685.844,-6021092.926,1.172658507479743,No,,,,,,,,2_120_2_175_14.csv,0.10674130602580813,-0.026309991629082097,6843890.786,-6564122.317000001,1.0426208494432598,No,,,,,,,,2_40_0.75_100_16.csv,0.13752757166393437,0.32748608159417436,17502267.375,-13013068.625,1.3449761835095217,No,3_120_0.75_200_18.csv,0.3385479292938682,0.23375578687375997,34211063.75,-25945882.5,1.3185546396427257,No,2_60_1.25_100_16.csv,0.1514275599594801,-0.06287325610449652,39756242.0,-38410711.0,1.0350300987659407,No,,,,,,,
,,,,,,,1_60_1_125_16.csv,0.4508111612672021,-0.0420543510169696,7060685.844,-6021092.926,1.172658507479743,No,,,,,,,,2_120_2_100_14.csv,0.10674129494709426,-0.02630999229434579,9256703.43,-8878302.68,1.04262084360476,No,,,,,,,,2_40_0.75_100_18.csv,0.13752757166393437,0.32748608159417436,17502267.375,-13013068.625,1.3449761835095217,No,3_120_0.75_200_20.csv,0.3385479292938682,0.23375578687375997,34211063.75,-25945882.5,1.3185546396427257,No,2_60_1.25_100_18.csv,0.1514275599594801,-0.06287325610449652,39756242.0,-38410711.0,1.0350300987659407,No,,,,,,,
,,,,,,,1_60_1_125_18.csv,0.4508111612672021,-0.0420543510169696,7060685.844,-6021092.926,1.172658507479743,No,,,,,,,,2_120_2_125_14.csv,0.10674129494709426,-0.02630999229434579,9256703.43,-8878302.68,1.04262084360476,No,,,,,,,,2_40_0.75_100_20.csv,0.13752757166393437,0.32748608159417436,17502267.375,-13013068.625,1.3449761835095217,No,3_120_0.75_200_4.csv,0.3385479292938682,0.23375578687375997,34211063.75,-25945882.5,1.3185546396427257,No,2_60_1.25_100_20.csv,0.1514275599594801,-0.06287325610449652,39756242.0,-38410711.0,1.0350300987659407,No,,,,,,,
,,,,,,,1_60_1_125_20.csv,0.4508111612672021,-0.0420543510169696,7060685.844,-6021092.926,1.172658507479743,No,,,,,,,,2_120_2_50_14.csv,0.10674129494709426,-0.02630999229434579,9256703.43,-8878302.68,1.04262084360476,No,,,,,,,,2_40_0.75_100_8.csv,0.13752757166393437,0.32748608159417436,17502267.375,-13013068.625,1.3449761835095217,No,3_120_0.75_200_6.csv,0.3385479292938682,0.23375578687375997,34211063.75,-25945882.5,1.3185546396427257,No,2_60_1.25_75_8.csv,0.15142755618585432,-0.06331964237558861,48222737.5,-46649044.5,1.0337347316942365,No,,,,,,,
