Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Score_7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Score_8,Pass8,Para9,InSample9_Annual_RateOfReturn,OutSample9_Annual_RateOfReturn,Score_9,Pass9
2_40_2_75_20.csv,0.36414304166666667,0.14351384143855608,0.3554568810403343,No,3_100_1.75_150_10.csv,0.1780964127090712,-0.006640641159055754,-0.05165469827726396,No,,,,,,,,,,,,,,,,,,,,,2_20_1_75_4.csv,0.3779075695102071,0.28204938880164643,0.3714233643522823,No,2_120_2_75_14.csv,0.5166481400536206,0.024077937194007547,0.2107400332832235,No,,,,,
2_40_1.75_125_4.csv,0.3641167083333333,0.1502140645159312,0.37205207752790026,No,3_100_1.75_150_12.csv,0.1780964127090712,-0.006640641159055754,-0.05165469827726396,No,,,,,,,,,,,,,,,,,,,,,2_100_2_150_8.csv,0.3778755075039383,0.5332380622283756,0.7022070705951439,Yes,2_60_1.25_50_6.csv,0.5147248285050114,0.001486678695124298,0.013012024874370375,No,,,,,
2_20_0.75_75_10.csv,0.36320695833333333,0.11194287416690679,0.27726151364358353,No,3_100_1.75_150_14.csv,0.1780964127090712,-0.006640641159055754,-0.05165469827726396,No,,,,,,,,,,,,,,,,,,,,,2_100_2_225_8.csv,0.37787545919881793,0.46369462029721586,0.6106271551751743,Yes,2_60_1.25_75_6.csv,0.5147248285050114,0.001486678695124298,0.013012024874370375,No,,,,,
2_20_0.75_75_12.csv,0.36320695833333333,0.11194287416690679,0.27726151364358353,No,3_100_1.75_150_16.csv,0.1780964127090712,-0.006640641159055754,-0.05165469827726396,No,,,,,,,,,,,,,,,,,,,,,2_100_2_100_8.csv,0.37787544682776947,0.5332380047389347,0.702206994888823,Yes,2_60_1.25_100_6.csv,0.5147247369461156,-0.005475435682891325,-0.047923270534148805,No,,,,,
2_20_0.75_75_14.csv,0.36320695833333333,0.11194287416690679,0.27726151364358353,No,3_100_1.75_150_18.csv,0.1780964127090712,-0.006640641159055754,-0.05165469827726396,No,,,,,,,,,,,,,,,,,,,,,2_100_2_50_8.csv,0.37787544682776947,0.5332380047389347,0.702206994888823,Yes,2_80_1.75_100_8.csv,0.51391161218083,0.03829222512562527,0.3351493415919086,No,,,,,
2_20_0.75_75_16.csv,0.36320695833333333,0.11194287416690679,0.27726151364358353,No,3_100_1.75_150_20.csv,0.1780964127090712,-0.006640641159055754,-0.05165469827726396,No,,,,,,,,,,,,,,,,,,,,,2_100_2_75_8.csv,0.37787544682776947,0.5332380047389347,0.702206994888823,Yes,2_80_1.75_50_8.csv,0.513911535708582,0.03829222242778637,0.33514931797931025,No,,,,,
2_20_0.75_75_18.csv,0.36320695833333333,0.11194287416690679,0.27726151364358353,No,3_100_1.75_150_4.csv,0.1780964127090712,-0.0026321586582879596,-0.02047443282285191,No,,,,,,,,,,,,,,,,,,,,,2_100_2_175_8.csv,0.3778754256768405,0.533238064093085,0.7022070730507304,Yes,2_80_1.75_75_8.csv,0.513911535708582,0.03829222242778637,0.33514931797931025,No,,,,,
2_20_0.75_75_20.csv,0.36320695833333333,0.11194287416690679,0.27726151364358353,No,3_100_1.75_150_6.csv,0.1780964127090712,-0.006640641159055754,-0.05165469827726396,No,,,,,,,,,,,,,,,,,,,,,2_100_2_200_8.csv,0.3778754170138555,0.5332380088226332,0.7022070002665373,Yes,2_80_1.75_125_8.csv,0.5139114871277873,0.03829223084760521,0.33514939167303615,No,,,,,
2_20_0.75_75_6.csv,0.36320695833333333,0.11194287416690679,0.27726151364358353,No,3_100_1.75_150_8.csv,0.1780964127090712,-0.006640641159055754,-0.05165469827726396,No,,,,,,,,,,,,,,,,,,,,,2_100_2_125_8.csv,0.37787541060622853,0.5332379976613373,0.7022069855685226,Yes,2_60_0.75_100_6.csv,0.5092012052805395,0.008299612623565445,0.07264163148342066,No,,,,,
2_20_0.75_75_8.csv,0.36320695833333333,0.11194287416690679,0.27726151364358353,No,2_20_1.5_75_6.csv,0.17771706041273638,-0.046681320043364866,-0.36311395906946964,No,,,,,,,,,,,,,,,,,,,,,2_40_1.5_50_10.csv,0.3295997713179238,0.47583413653993956,0.6266133623555505,Yes,2_80_1.5_150_4.csv,0.5036354781572208,0.020216005003010795,0.17693881053268157,No,,,,,
2_40_2_175_6.csv,0.362989875,0.26203558369117025,0.6490130176072583,Yes,2_100_1.75_100_20.csv,0.1769570434200475,-0.1221373001190143,-0.9500536521904767,No,,,,,,,,,,,,,,,,,,,,,2_60_0.75_125_6.csv,0.3774706767981171,0.1786802399520494,0.23529927204676812,No,2_120_2_175_8.csv,0.49994113115539107,0.0534406279871054,0.467734408887894,No,,,,,
