Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window_1_NetProfit,Window_1_MDD,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window_2_NetProfit,Window_2_MDD,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window_3_NetProfit,Window_3_MDD,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window_4_NetProfit,Window_4_MDD,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window_5_NetProfit,Window_5_MDD,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window_6_NetProfit,Window_6_MDD,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Window_7_NetProfit,Window_7_MDD,Score_7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Window_8_NetProfit,Window_8_MDD,Score_8,Pass8,Para9,Pass9
2_60_1.75_175_10.csv,0.21552820833333333,0.19832675873957384,1626270.0,-668599.625,2.432352545815442,Yes,2_100_1.25_50_6.csv,0.4506059263280851,-0.007443316379995247,895993.532,-466296.156,1.921511726980653,Yes,1_40_1.25_225_14.csv,0.24384189037154025,-0.013908622462442583,689123.829,-417501.56200000003,1.6505898222244255,Yes,2_120_0.75_175_4.csv,0.12178755198361382,-0.022466489024867115,277503.37899999996,-438635.156,0.6326519322587083,No,2_60_1.25_200_8.csv,0.14764514192576944,0.22349383350915802,3425643.125,-953286.0,3.59351036834696,Yes,2_20_0.75_225_6.csv,0.38079771835058007,0.18237075447662246,2083577.711,-580342.625,3.590254482858294,Yes,2_80_0.75_100_4.csv,0.32249415459992964,0.01711205180202447,3073418.125,-1464284.0,2.0989221523966664,Yes,2_120_1_75_8.csv,0.11863429290812638,-0.008133971389494272,875117.375,-691028.0,1.2663992993048039,No,,
2_40_2_75_4.csv,0.21314166666666667,0.16730906669513196,1462297.0,-657277.344,2.224779255437108,Yes,2_100_1.25_75_6.csv,0.4506059263280851,-0.007443316379995247,895993.532,-466296.156,1.921511726980653,Yes,1_40_1.25_225_16.csv,0.24384189037154025,-0.013908622462442583,689123.829,-417501.56200000003,1.6505898222244255,Yes,2_20_1.5_175_4.csv,0.12947552541206733,0.006690102651006634,659019.562,-506586.18700000003,1.3009031412852163,No,2_60_1_100_10.csv,0.14315409869780468,0.12939107992090204,2607700.625,-912354.75,2.8582090738279162,Yes,2_20_0.75_225_8.csv,0.38079771835058007,0.18237075447662246,2083577.711,-580342.625,3.590254482858294,Yes,2_80_0.75_50_4.csv,0.32249415459992964,0.01711205180202447,3073418.125,-1464284.0,2.0989221523966664,Yes,2_120_1_125_16.csv,0.11863428835517242,-0.008133995677893502,975137.375,-770008.25,1.2663986067681743,No,,
2_40_1_50_10.csv,0.20992191666666665,0.20516010762078332,1632854.5,-667107.625,2.4476627740538865,Yes,2_100_1_200_6.csv,0.4415794239817426,-0.05634318168657195,772327.766,-784173.312,0.9848942245053093,No,1_40_1.25_225_18.csv,0.24384189037154025,-0.013908622462442583,689123.829,-417501.56200000003,1.6505898222244255,Yes,2_20_1.5_50_6.csv,0.12887597094667066,-0.009635118654338776,472494.31299999997,-678988.625,0.6958795708838273,No,2_60_1_100_12.csv,0.14315409869780468,0.12939107992090204,2607700.625,-912354.75,2.8582090738279162,Yes,2_20_0.75_175_10.csv,0.3807977077756943,0.18237086484412274,2260983.25,-629755.5,3.5902556627135453,Yes,2_80_0.75_75_4.csv,0.32249415459992964,0.01711205180202447,3073418.125,-1464284.0,2.0989221523966664,Yes,2_120_1_125_18.csv,0.11863428835517242,-0.008133995677893502,975137.375,-770008.25,1.2663986067681743,No,,
2_40_1_50_12.csv,0.20992191666666665,0.20516010762078332,1632854.5,-667107.625,2.4476627740538865,Yes,2_80_0.75_175_6.csv,0.44063786959756435,-0.019600715404679572,820732.625,-531157.156,1.5451785139839103,Yes,1_40_1.25_225_20.csv,0.24384189037154025,-0.013908622462442583,689123.829,-417501.56200000003,1.6505898222244255,Yes,2_120_0.75_200_4.csv,0.11836560091989198,-0.004822687556840408,304074.625,-332820.375,0.9136298371155912,No,2_60_1_100_14.csv,0.14315409869780468,0.12939107992090204,2607700.625,-912354.75,2.8582090738279162,Yes,2_20_0.75_175_12.csv,0.3807977077756943,0.18237086484412274,2260983.25,-629755.5,3.5902556627135453,Yes,2_80_0.75_200_4.csv,0.322494152131924,0.032062242316832974,3972551.5,-1457205.0,2.7261445712854404,Yes,2_120_1_125_20.csv,0.11863428835517242,-0.008133995677893502,975137.375,-770008.25,1.2663986067681743,No,,
2_40_1_50_14.csv,0.20992191666666665,0.20516010762078332,1632854.5,-667107.625,2.4476627740538865,Yes,2_60_1.5_150_6.csv,0.43236160178672467,0.13830815201157626,2498170.437,-689457.375,3.62338634349948,Yes,1_40_1.25_225_4.csv,0.24384189037154025,-0.013908622462442583,689123.829,-417501.56200000003,1.6505898222244255,Yes,2_120_0.75_225_4.csv,0.11836559123651051,-0.00011046905543061165,326555.679,-322972.453,1.011094525142056,No,2_60_1_100_16.csv,0.14315409869780468,0.12939107992090204,2607700.625,-912354.75,2.8582090738279162,Yes,2_20_0.75_175_14.csv,0.3807977077756943,0.18237086484412274,2260983.25,-629755.5,3.5902556627135453,Yes,2_80_0.75_175_6.csv,0.3224941318781843,0.03206227441466408,4142491.5,-1519541.0,2.726146579789555,Yes,2_120_1_125_10.csv,0.11863428782513694,-0.008133971078537621,1023477.75,-808179.75,1.2663986569819399,No,,
2_40_1_50_16.csv,0.20992191666666665,0.20516010762078332,1632854.5,-667107.625,2.4476627740538865,Yes,2_60_1.5_200_6.csv,0.4323615905434602,0.13830814731297786,1933584.5159999998,-533640.125,3.623386670932962,Yes,1_40_1.25_225_6.csv,0.24384189037154025,-0.013908622462442583,689123.829,-417501.56200000003,1.6505898222244255,Yes,2_20_1.5_50_10.csv,0.12602872764092984,-0.04225107524832076,279657.594,-680456.219,0.4109854332891327,No,2_60_1_100_18.csv,0.14315409869780468,0.12939107992090204,2607700.625,-912354.75,2.8582090738279162,Yes,2_20_0.75_175_16.csv,0.3807977077756943,0.18237086484412274,2260983.25,-629755.5,3.5902556627135453,Yes,2_80_0.75_125_10.csv,0.32249412325214505,0.06976245596325929,3375521.0,-1145577.5,2.9465671244416027,Yes,2_120_1_100_10.csv,0.1186342875935835,-0.008133982292309768,916460.0,-723674.0,1.2663989586471256,No,,
2_40_1_50_18.csv,0.20992191666666665,0.20516010762078332,1632854.5,-667107.625,2.4476627740538865,Yes,2_60_1.5_100_6.csv,0.4323615889535054,0.10840582235219576,2298381.664,-653992.625,3.514384682854795,Yes,1_40_1.25_225_8.csv,0.24384189037154025,-0.013908622462442583,689123.829,-417501.56200000003,1.6505898222244255,Yes,2_20_1.5_50_12.csv,0.12602872764092984,-0.04225107524832076,279657.594,-680456.219,0.4109854332891327,No,2_60_1_100_20.csv,0.14315409869780468,0.12939107992090204,2607700.625,-912354.75,2.8582090738279162,Yes,2_20_0.75_175_18.csv,0.3807977077756943,0.18237086484412274,2260983.25,-629755.5,3.5902556627135453,Yes,2_80_0.75_125_12.csv,0.32249412325214505,0.06976245596325929,3375521.0,-1145577.5,2.9465671244416027,Yes,2_120_1_50_10.csv,0.1186342875935835,-0.008133982292309768,916460.0,-723674.0,1.2663989586471256,No,,
2_40_1_50_20.csv,0.20992191666666665,0.20516010762078332,1632854.5,-667107.625,2.4476627740538865,Yes,2_60_1.5_125_6.csv,0.43236158851216866,0.138308155864961,2628552.172,-725440.75,3.623386433695653,Yes,3_40_1.25_225_10.csv,0.24384189037154025,-0.013908622462442583,689123.829,-417501.56200000003,1.6505898222244255,Yes,2_20_1.5_50_14.csv,0.12602872764092984,-0.04225107524832076,279657.594,-680456.219,0.4109854332891327,No,2_60_1_100_8.csv,0.14315409869780468,0.12939107992090204,2607700.625,-912354.75,2.8582090738279162,Yes,2_20_0.75_175_20.csv,0.3807977077756943,0.18237086484412274,2260983.25,-629755.5,3.5902556627135453,Yes,2_80_0.75_125_14.csv,0.32249412325214505,0.06976245596325929,3375521.0,-1145577.5,2.9465671244416027,Yes,2_120_1_75_10.csv,0.1186342875935835,-0.008133982292309768,916460.0,-723674.0,1.2663989586471256,No,,
2_60_1.75_100_8.csv,0.19214900000000001,0.2031582730025177,1537251.75,-627583.281,2.449478493994489,Yes,2_60_1.5_175_6.csv,0.43236156306188217,0.13830816313478211,2658678.75,-733755.125,3.6233869576038735,Yes,3_40_1.25_225_12.csv,0.24384189037154025,-0.013908622462442583,689123.829,-417501.56200000003,1.6505898222244255,Yes,2_20_1.5_50_16.csv,0.12602872764092984,-0.04225107524832076,279657.594,-680456.219,0.4109854332891327,No,2_40_0.75_100_4.csv,0.14245236006496775,0.127133846383306,1832689.25,-503431.0,3.640398088317962,Yes,2_20_0.75_175_6.csv,0.3807977077756943,0.18237086484412274,2260983.25,-629755.5,3.5902556627135453,Yes,2_80_0.75_125_16.csv,0.32249412325214505,0.06976245596325929,3375521.0,-1145577.5,2.9465671244416027,Yes,2_120_1_125_8.csv,0.11863428580559335,-0.008134005803325163,977306.875,-771721.5,1.2663984027916806,No,,
2_40_2_50_4.csv,0.19101025,0.16730908364844954,1362577.75,-760831.312,1.7909065104302646,Yes,2_60_1.5_50_6.csv,0.427373371183566,0.13830812983544535,2701829.2339999997,-747843.5,3.6128270607419863,Yes,3_40_1.25_225_14.csv,0.24384189037154025,-0.013908622462442583,689123.829,-417501.56200000003,1.6505898222244255,Yes,2_20_1.5_50_18.csv,0.12602872764092984,-0.04225107524832076,279657.594,-680456.219,0.4109854332891327,No,2_40_0.75_100_6.csv,0.1424523258584394,0.10041966451894743,1258560.875,-369114.625,3.409674907896158,Yes,2_20_0.75_175_8.csv,0.3807977077756943,0.18237086484412274,2260983.25,-629755.5,3.5902556627135453,Yes,2_80_0.75_125_18.csv,0.32249412325214505,0.06976245596325929,3375521.0,-1145577.5,2.9465671244416027,Yes,2_120_1_100_16.csv,0.11863426123828881,-0.008133937372104152,873174.75,-689494.0,1.2663993450269329,No,,
