Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Pass8,Para9,InSample9_Annual_RateOfReturn,OutSample9_Annual_RateOfReturn,Pass9
2_60_1.25_50_4.csv,0.15124060433333333,0.4313360644789792,,2_40_1_125_18.csv,0.5835839922175324,-0.026095615232487115,,3_40_1.5_100_12.csv,0.15443372770230096,0.04137605666553586,,2_100_0.75_200_14.csv,0.2628359907081307,-0.10351956975485119,,2_40_2_50_20.csv,0.11057851464405466,0.08349842605196393,,2_20_1.75_200_4.csv,0.21384917884922883,0.20637283213947383,,2_60_2_75_4.csv,0.44302430652260216,-0.05179082739983462,,2_80_1.25_50_6.csv,0.29358696884530344,-0.08574284188197626,,3_20_0.75_75_10.csv,0.11580964847009641,0.025177872748611475,
2_40_1.75_50_4.csv,0.13513497933333335,0.14813304766306906,,2_40_1_125_20.csv,0.5835839922175324,-0.026095615232487115,,3_40_1.5_100_14.csv,0.15443372770230096,0.04137605666553586,,2_100_0.75_200_16.csv,0.2628359907081307,-0.10351956975485119,,2_40_1.5_100_8.csv,0.10810999329158785,0.12146604634492063,,2_20_1.75_175_6.csv,0.2138491759169071,0.14365833736589323,,2_60_2_125_4.csv,0.4430243035515825,-0.051790803568994404,,2_80_1.25_75_6.csv,0.29358696884530344,-0.08574284188197626,,3_20_0.75_75_12.csv,0.11580964847009641,0.025177872748611475,
2_40_1.75_75_4.csv,0.13513497933333335,0.14813304766306906,,2_40_1_125_10.csv,0.5835839123455081,-0.026095608224037704,,3_40_1.5_100_16.csv,0.15443372770230096,0.04137605666553586,,2_100_0.75_200_18.csv,0.2628359907081307,-0.10351956975485119,,2_40_1.5_100_10.csv,0.1081100027554046,0.12146600639372146,,2_20_1.75_225_4.csv,0.21384916243495256,0.2063728162995912,,2_60_2_150_4.csv,0.44302428237227165,-0.05833354262686784,,2_80_1.25_125_6.csv,0.29358696310302546,-0.08574289209923897,,3_20_0.75_75_14.csv,0.11580964847009641,0.025177872748611475,
2_120_1.75_100_6.csv,0.12935940633333334,0.337172829259223,,2_40_1_125_12.csv,0.5835839123455081,-0.026095608224037704,,3_40_1.5_100_18.csv,0.15443372770230096,0.04137605666553586,,2_100_0.75_200_20.csv,0.2628359907081307,-0.10351956975485119,,2_40_1.5_100_12.csv,0.1081100027554046,0.12146600639372146,,2_20_1.75_150_4.csv,0.21384916013855076,0.23057743134089195,,2_60_2_175_4.csv,0.4430242401296812,-0.061944449619778366,,2_80_1.25_150_4.csv,0.2932209927019219,-0.0524933900886302,,3_20_0.75_75_16.csv,0.11580964847009641,0.025177872748611475,
2_120_1.75_50_6.csv,0.12935940633333334,0.337172829259223,,2_40_1_125_8.csv,0.5835839123455081,-0.013145197502915233,,3_40_1.5_100_20.csv,0.15443372770230096,0.04137605666553586,,2_100_0.75_225_8.csv,0.2628359875941416,-0.10351958725594732,,2_40_1.5_100_14.csv,0.10810996967892011,0.12146599494450037,,2_20_1.75_50_4.csv,0.21384915559844148,0.20637276453501655,,2_60_2_225_4.csv,0.4430242031173649,-0.055020283387700444,,2_100_1.25_225_4.csv,0.28748960425399017,-0.06016606385107033,,3_20_0.75_75_18.csv,0.11580964847009641,0.025177872748611475,
2_120_1.75_75_6.csv,0.12935940633333334,0.337172829259223,,2_100_1_225_6.csv,0.5823188915146726,0.02767412757201653,,3_40_1.5_100_4.csv,0.15443372770230096,0.04137605666553586,,2_100_0.75_200_8.csv,0.26283597773789014,-0.10351958442721058,,2_40_1.5_100_16.csv,0.10810996967892011,0.12146599494450037,,2_20_1.75_50_10.csv,0.21384915261705412,0.14365835309520134,,2_60_2_200_4.csv,0.4430242001629754,-0.05502028057797635,,2_120_0.75_100_4.csv,0.27903604513085184,-0.11167052957920359,,3_20_0.75_75_20.csv,0.11580964847009641,0.025177872748611475,
2_40_1.5_50_6.csv,0.12873874999999999,0.25529145735138126,,2_40_1_100_14.csv,0.5813035995836286,-0.000912211911624885,,3_40_1.5_100_6.csv,0.15443372770230096,0.04137605666553586,,2_100_0.75_225_10.csv,0.26283593843280184,-0.10351958052416496,,2_40_1.5_100_18.csv,0.10810996967892011,0.12146599494450037,,2_20_1.75_50_8.csv,0.21384915219430473,0.14365831758903364,,2_60_1.5_150_8.csv,0.43956268210354754,0.04857496505345066,,2_120_0.75_125_4.csv,0.27903604513085184,-0.11167052957920359,,3_20_0.75_75_4.csv,0.11580964847009641,0.025177872748611475,
1_40_1.75_150_10.csv,0.124990448,0.1631691809280354,,2_40_1_100_16.csv,0.5813035995836286,-0.000912211911624885,,3_40_1.5_100_8.csv,0.15443372770230096,0.04137605666553586,,2_100_0.75_225_12.csv,0.26283593843280184,-0.10351958052416496,,2_40_1.5_100_20.csv,0.10810996967892011,0.12146599494450037,,2_20_1.75_150_12.csv,0.21384914892568532,0.18913580552443804,,2_60_1.5_200_8.csv,0.439562677875023,0.028915083562940834,,2_120_0.75_150_4.csv,0.27903604513085184,-0.11167052957920359,,3_20_0.75_75_6.csv,0.11580964847009641,0.025177872748611475,
1_40_1.75_150_12.csv,0.124990448,0.1631691809280354,,2_40_1_100_18.csv,0.5813035995836286,-0.000912211911624885,,1_40_1.5_125_10.csv,0.15208122289799902,0.0582928645572382,,2_100_0.75_225_14.csv,0.26283593843280184,-0.10351958052416496,,2_100_1.5_200_6.csv,0.10764349745574461,0.006247198191137815,,2_20_1.75_150_14.csv,0.21384914892568532,0.18913580552443804,,2_60_1.5_175_8.csv,0.4395626650956821,0.02891504356642487,,2_120_0.75_75_4.csv,0.27903604513085184,-0.11167052957920359,,3_20_0.75_75_8.csv,0.11580964847009641,0.025177872748611475,
1_40_1.75_150_14.csv,0.124990448,0.1631691809280354,,2_40_1_100_20.csv,0.5813035995836286,-0.000912211911624885,,1_40_1.5_125_12.csv,0.15208122289799902,0.0582928645572382,,2_100_0.75_225_16.csv,0.26283593843280184,-0.10351958052416496,,2_100_1.5_125_6.csv,0.10764347695594219,0.0062471737997012895,,2_20_1.75_150_16.csv,0.21384914892568532,0.18913580552443804,,2_60_1.5_50_8.csv,0.4395626563869822,0.07154048941946713,,2_100_1.25_100_6.csv,0.27798332447911617,-0.09686924456408821,,2_20_1.75_125_12.csv,0.11420484651758313,0.1076967105896029,
