Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5
,,,,3_60_1.75_75_14.csv,0.11713369210795374,-0.05563738742918567,No,,,,,2_40_1.25_175_4.csv,0.11149530172450352,-0.004338165295472686,No,,,,
,,,,3_60_1.75_75_16.csv,0.11713369210795374,-0.05563738742918567,No,,,,,2_40_1.25_150_4.csv,0.11149528842218069,-0.004338147731513284,No,,,,
,,,,3_60_1.75_75_18.csv,0.11713369210795374,-0.05563738742918567,No,,,,,2_100_0.75_50_4.csv,0.11133286210348128,0.15129038985695895,Yes,,,,
,,,,3_60_1.75_75_20.csv,0.11713369210795374,-0.05563738742918567,No,,,,,2_120_2_100_10.csv,0.10951924102103316,0.026485306950770875,Yes,,,,
,,,,3_60_1.75_75_4.csv,0.11713369210795374,-0.04283102245141019,No,,,,,2_120_2_50_10.csv,0.10951924102103316,0.026485306950770875,Yes,,,,
,,,,3_60_1.75_75_6.csv,0.11713369210795374,-0.05563738742918567,No,,,,,2_120_2_75_10.csv,0.10951924102103316,0.026485306950770875,Yes,,,,
,,,,3_60_1.75_75_8.csv,0.11713369210795374,-0.05563738742918567,No,,,,,2_120_2_125_10.csv,0.1095192316883658,0.026485286017367417,Yes,,,,
,,,,1_60_1.75_150_10.csv,0.11713368155904653,-0.0556373841009183,No,,,,,2_120_2_150_10.csv,0.1095192316883658,0.026485286017367417,Yes,,,,
,,,,1_60_1.75_150_12.csv,0.11713368155904653,-0.0556373841009183,No,,,,,2_120_2_175_10.csv,0.10951922972471938,0.026485290187049128,Yes,,,,
,,,,1_60_1.75_150_14.csv,0.11713368155904653,-0.0556373841009183,No,,,,,2_120_2_200_10.csv,0.10951922619639315,0.026485287883160485,Yes,,,,
,,,,1_60_1.75_150_16.csv,0.11713368155904653,-0.0556373841009183,No,,,,,2_120_2_225_10.csv,0.10951922619639315,0.028479602894274772,Yes,,,,
,,,,1_60_1.75_150_18.csv,0.11713368155904653,-0.0556373841009183,No,,,,,2_80_2_100_10.csv,0.11001729857261318,0.012150406087082448,Yes,,,,
,,,,1_60_1.75_150_20.csv,0.11713368155904653,-0.0556373841009183,No,,,,,2_80_2_125_10.csv,0.11001729857261318,0.012150406087082448,Yes,,,,
,,,,1_60_1.75_150_4.csv,0.11713368155904653,-0.042831028560953194,No,,,,,2_80_2_200_10.csv,0.11001729935932446,0.0010065498585899147,Yes,,,,
,,,,1_60_1.75_150_6.csv,0.11713368155904653,-0.0556373841009183,No,,,,,2_80_2_175_10.csv,0.11001729343327597,0.0010065571884272928,Yes,,,,
,,,,1_60_1.75_150_8.csv,0.11713368155904653,-0.0556373841009183,No,,,,,2_80_2_150_10.csv,0.11001729177529918,0.012150431997535235,Yes,,,,
,,,,3_60_1.75_150_10.csv,0.11713368155904653,-0.0556373841009183,No,,,,,2_80_2_225_10.csv,0.11001728846659889,-0.017151886504718338,No,,,,
,,,,3_60_1.75_150_12.csv,0.11713368155904653,-0.0556373841009183,No,,,,,2_80_2_50_10.csv,0.1100172724512116,0.012150405497351607,Yes,,,,
