Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window_1_NetProfit,Window_1_MDD,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window_2_NetProfit,Window_2_MDD,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window_3_NetProfit,Window_3_MDD,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window_4_NetProfit,Window_4_MDD,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window_5_NetProfit,Window_5_MDD,Score_5,Pass5
,,,,,,,2_100_1.5_50_20.csv,0.22772546925487785,0.06466899441745393,1772353.148,-1187010.125,1.4931238669931313,No,,,,,,,,2_100_0.75_50_14.csv,0.37210217977392307,0.11667946474952282,7797622.5,-4366355.0,1.785842539143061,Yes,,,,,,,
,,,,,,,2_100_1.5_75_18.csv,0.22772546925487785,0.06466899441745393,1772353.148,-1187010.125,1.4931238669931313,No,,,,,,,,2_100_0.75_50_16.csv,0.37210217977392307,0.11667946474952282,7797622.5,-4366355.0,1.785842539143061,Yes,,,,,,,
,,,,,,,2_100_1.5_75_20.csv,0.22772546925487785,0.06466899441745393,1772353.148,-1187010.125,1.4931238669931313,No,,,,,,,,2_100_0.75_50_18.csv,0.37210217977392307,0.11667946474952282,7797622.5,-4366355.0,1.785842539143061,Yes,,,,,,,
,,,,,,,2_100_1.5_125_18.csv,0.22772546685076928,0.06466899317014171,1485076.0159999998,-994610.125,1.4931237664607524,No,,,,,,,,2_100_0.75_50_20.csv,0.37210217977392307,0.11667946474952282,7797622.5,-4366355.0,1.785842539143061,Yes,,,,,,,
,,,,,,,2_100_1.5_125_20.csv,0.22772546685076928,0.06466899317014171,1485076.0159999998,-994610.125,1.4931237664607524,No,,,,,,,,2_100_0.75_100_10.csv,0.37210216417047426,0.11667941817531335,7904314.0,-4426100.0,1.7858417116648968,Yes,,,,,,,
,,,,,,,2_100_1.5_150_18.csv,0.22772546685076928,0.06466899317014171,1485076.0159999998,-994610.125,1.4931237664607524,No,,,,,,,,2_100_0.75_125_10.csv,0.37210216417047426,0.11667941817531335,7904314.0,-4426100.0,1.7858417116648968,Yes,,,,,,,
,,,,,,,2_100_1.5_150_20.csv,0.22772546685076928,0.06466899317014171,1485076.0159999998,-994610.125,1.4931237664607524,No,,,,,,,,2_100_0.75_75_10.csv,0.37210216417047426,0.11667941817531335,7904314.0,-4426100.0,1.7858417116648968,Yes,,,,,,,
,,,,,,,2_100_1.5_100_8.csv,0.22747607804408568,0.08219603301251636,2486087.094,-1225769.25,2.028185234700577,Yes,,,,,,,,2_100_0.75_200_10.csv,0.37210210804707167,0.12861254948946982,9426733.125,-4604248.0,2.0473990812397593,Yes,,,,,,,
,,,,,,,2_100_1.5_50_8.csv,0.22747607804408568,0.08219603301251636,2486087.094,-1225769.25,2.028185234700577,Yes,,,,,,,,2_100_0.75_200_12.csv,0.37210210804707167,0.12861254948946982,9426733.125,-4604248.0,2.0473990812397593,Yes,,,,,,,
,,,,,,,2_100_1.5_75_8.csv,0.22747607804408568,0.08219603301251636,2486087.094,-1225769.25,2.028185234700577,Yes,,,,,,,,2_100_0.75_200_14.csv,0.37210210804707167,0.12861254948946982,9426733.125,-4604248.0,2.0473990812397593,Yes,,,,,,,
,,,,,,,2_100_1.5_125_8.csv,0.2274760718408816,0.08219603132841286,2083122.3280000002,-1027087.125,2.028184637208845,Yes,,,,,,,,2_100_0.75_200_16.csv,0.37210210804707167,0.12861254948946982,9426733.125,-4604248.0,2.0473990812397593,Yes,,,,,,,
,,,,,,,2_100_1.5_150_8.csv,0.2274760718408816,0.08219603132841286,2083122.3280000002,-1027087.125,2.028184637208845,Yes,,,,,,,,2_100_0.75_200_18.csv,0.37210210804707167,0.12861254948946982,9426733.125,-4604248.0,2.0473990812397593,Yes,,,,,,,
,,,,,,,2_100_0.75_100_4.csv,0.227262493550822,0.046612708712810216,1532386.602,-1735810.625,0.8828074790704775,No,,,,,,,,2_100_0.75_200_20.csv,0.37210210804707167,0.12861254948946982,9426733.125,-4604248.0,2.0473990812397593,Yes,,,,,,,
,,,,,,,2_100_0.75_125_4.csv,0.227262493550822,0.046612708712810216,1532386.602,-1735810.625,0.8828074790704775,No,,,,,,,,2_60_0.75_75_10.csv,0.37192294304843126,0.08101098510710905,8294250.625,-5453392.0,1.5209342414775977,Yes,,,,,,,
,,,,,,,2_100_0.75_75_4.csv,0.227262493550822,0.046612708712810216,1532386.602,-1735810.625,0.8828074790704775,No,,,,,,,,2_60_0.75_75_12.csv,0.37192294304843126,0.08101098510710905,8294250.625,-5453392.0,1.5209342414775977,Yes,,,,,,,
,,,,,,,2_100_0.75_50_4.csv,0.22726247277351463,0.05283371238116928,1616708.246,-1418330.75,1.1398668794285114,No,,,,,,,,2_60_0.75_75_14.csv,0.37192294304843126,0.08101098510710905,8294250.625,-5453392.0,1.5209342414775977,Yes,,,,,,,
,,,,,,,2_40_1_100_4.csv,0.22721960842847613,-0.02055952538229172,1251574.469,-1753360.937,0.7138145048112248,No,,,,,,,,2_60_0.75_75_16.csv,0.37192294304843126,0.08101098510710905,8294250.625,-5453392.0,1.5209342414775977,Yes,,,,,,,
,,,,,,,2_80_1.5_225_8.csv,0.22687158593071016,0.08603994660672089,2209788.906,-976166.375,2.2637420859738175,Yes,,,,,,,,2_60_0.75_75_18.csv,0.37192294304843126,0.08101098510710905,8294250.625,-5453392.0,1.5209342414775977,Yes,,,,,,,
,,,,,,,2_80_1.5_175_8.csv,0.22687158279688197,0.08603994464357928,1767208.969,-780658.25,2.2637421291583095,Yes,,,,,,,,2_60_0.75_75_20.csv,0.37192294304843126,0.08101098510710905,8294250.625,-5453392.0,1.5209342414775977,Yes,,,,,,,
,,,,,,,2_80_1.5_200_8.csv,0.22687157460289326,0.0860399382772763,1882918.977,-831772.625,2.263742422395784,Yes,,,,,,,,2_60_0.75_75_8.csv,0.3719228935445753,0.08101097451208451,8257925.625,-5429509.0,1.5209341443213373,Yes,,,,,,,
,,,,,,,2_80_1.5_175_12.csv,0.22687157416928866,0.15480547920716856,2176239.547,-787926.625,2.761982496783885,Yes,,,,,,,,2_60_0.75_50_8.csv,0.37192290261041605,0.0673971269232527,9375310.0,-5897199.0,1.589790339447592,Yes,,,,,,,
,,,,,,,2_80_1.5_225_10.csv,0.22687155518494734,0.12734836764029367,2576890.937,-1072401.25,2.4029167599347723,Yes,,,,,,,,2_60_0.75_50_10.csv,0.37192283640456986,0.06739712923074859,9416548.75,-5923139.0,1.5897902699902873,Yes,,,,,,,
,,,,,,,2_80_1.5_225_12.csv,0.22687155518494734,0.15480548105925077,2879719.937,-1042628.25,2.7619814991584968,Yes,,,,,,,,2_60_0.75_50_12.csv,0.37192283640456986,0.06739712923074859,9416548.75,-5923139.0,1.5897902699902873,Yes,,,,,,,
,,,,,,,2_80_1.5_225_14.csv,0.22687155284220734,0.14052972092280774,2445949.578,-1064407.875,2.297943894862672,Yes,,,,,,,,2_60_0.75_50_14.csv,0.37192283640456986,0.06739712923074859,9416548.75,-5923139.0,1.5897902699902873,Yes,,,,,,,
,,,,,,,2_80_1.5_225_16.csv,0.22687155284220734,0.12103109964841291,2252724.828,-1238705.125,1.818612664575841,Yes,,,,,,,,2_60_0.75_50_16.csv,0.37192283640456986,0.06739712923074859,9416548.75,-5923139.0,1.5897902699902873,Yes,,,,,,,
,,,,,,,2_80_1.5_225_18.csv,0.22687155284220734,0.12103109964841291,2252724.828,-1238705.125,1.818612664575841,Yes,,,,,,,,2_60_0.75_50_18.csv,0.37192283640456986,0.06739712923074859,9416548.75,-5923139.0,1.5897902699902873,Yes,,,,,,,
,,,,,,,2_80_1.5_225_20.csv,0.22687155284220734,0.12103109964841291,2252724.828,-1238705.125,1.818612664575841,Yes,,,,,,,,2_60_0.75_50_20.csv,0.37192283640456986,0.06739712923074859,9416548.75,-5923139.0,1.5897902699902873,Yes,,,,,,,
,,,,,,,2_80_1.5_200_10.csv,0.22687155225611952,0.1273483815026012,2132229.328,-887350.25,2.402917368874354,Yes,,,,,,,,2_60_1_200_4.csv,0.3709545648918325,0.07249752833745873,4818011.5,-2091344.5,2.303786631040462,Yes,,,,,,,
,,,,,,,2_80_1.5_200_12.csv,0.22687154803381,0.15480548312376274,2311850.797,-837026.125,2.7619816490196167,Yes,,,,,,,,2_60_1_175_4.csv,0.37095450162047844,0.07249753730188854,5797316.25,-2516430.0,2.3037860182878127,Yes,,,,,,,
,,,,,,,2_80_1.5_175_10.csv,0.2268715461356226,0.12734837738422894,2007154.3590000002,-835298.875,2.402917589228167,Yes,,,,,,,,2_120_1_225_4.csv,0.3565706798318118,0.11128083710811579,5132396.625,-2098099.0,2.4462127978708343,Yes,,,,,,,
,,,,,,,2_80_1.5_200_14.csv,0.22687153920157058,0.14052968941189667,1915908.5,-833749.375,2.2979429519812236,Yes,,,,,,,,2_120_1_200_4.csv,0.3565706485245266,0.11166829702214197,5357850.25,-2189445.0,2.4471271258241245,Yes,,,,,,,
,,,,,,,2_80_1.5_200_16.csv,0.22687153920157058,0.12103108968936985,1764556.0,-970276.0,1.8186124360491243,Yes,,,,,,,,2_120_1_100_4.csv,0.3565706419188134,0.09750974254261062,6948550.375,-3453652.5,2.0119425376467377,Yes,,,,,,,
,,,,,,,2_80_1.5_200_18.csv,0.22687153920157058,0.12103108968936985,1764556.0,-970276.0,1.8186124360491243,Yes,,,,,,,,2_120_1_125_4.csv,0.3565706419188134,0.09750974254261062,6948550.375,-3453652.5,2.0119425376467377,Yes,,,,,,,
,,,,,,,2_80_1.5_200_20.csv,0.22687153920157058,0.12103108968936985,1764556.0,-970276.0,1.8186124360491243,Yes,,,,,,,,2_120_1_75_4.csv,0.3565706419188134,0.09750974254261062,6948550.375,-3453652.5,2.0119425376467377,Yes,,,,,,,
,,,,,,,2_80_1.5_175_14.csv,0.22687153342157368,0.14052965775175055,1803522.656,-784842.25,2.297942874507584,Yes,,,,,,,,2_120_1_150_4.csv,0.3565706197893902,0.09750974375991434,6990234.125,-3474370.0,2.0119429205870416,Yes,,,,,,,
,,,,,,,2_80_1.5_175_16.csv,0.22687153342157368,0.12103104610825821,1661048.281,-913360.375,1.8186121562367976,Yes,,,,,,,,2_120_1_50_4.csv,0.35657061694703757,0.09750971531291079,6078495.687000001,-3021209.0,2.011941473430008,Yes,,,,,,,
,,,,,,,2_80_1.5_175_18.csv,0.22687153342157368,0.12103104610825821,1661048.281,-913360.375,1.8186121562367976,Yes,,,,,,,,2_120_1_175_4.csv,0.3565705897851283,0.11166825417538734,6218075.5,-2540971.5,2.4471252432386588,Yes,,,,,,,
,,,,,,,2_80_1.5_175_20.csv,0.22687153342157368,0.12103104610825821,1661048.281,-913360.375,1.8186121562367976,Yes,,,,,,,,2_100_0.75_150_4.csv,0.3677143555787828,0.10350284883057075,10347759.0,-4776692.0,2.166302328054645,Yes,,,,,,,
,,,,,,,2_80_1.75_175_10.csv,0.2265194873972584,0.15163527088259332,2467421.43,-999466.25,2.468739119505036,Yes,,,,,,,,2_100_0.75_175_4.csv,0.3677143051095548,0.11493950834117374,7884555.75,-3103925.0,2.5401888737646687,Yes,,,,,,,
,,,,,,,2_80_1.75_175_14.csv,0.22651948299530084,0.13157951287877911,2023999.7659999998,-890196.375,2.273655367333977,Yes,,,,,,,,1_120_0.75_50_4.csv,0.3581997423691552,0.07960793467964686,3557748.7189999996,-2095400.0,1.6978852338455663,Yes,,,,,,,
