Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window1_GrossProfit,Window1_GrossLoss,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window2_GrossProfit,Window2_GrossLoss,Score_2,Pass2,Para3,Pass3,Para4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window5_GrossProfit,Window5_GrossLoss,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window6_GrossProfit,Window6_GrossLoss,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Window7_GrossProfit,Window7_GrossLoss,Score_7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Window8_GrossProfit,Window8_GrossLoss,Score_8,Pass8,Para9,Pass9
2_20_0.75_150_12.csv,0.4135048333333333,0.002301517501151335,7845287.068,-6589302.818,1.190609581118207,No,2_80_2_125_20.csv,0.11729825825078417,-0.05329202633521497,3658263.5519999997,-3529533.6139999996,1.036472223267513,No,,,,,,,,,,,,2_100_0.75_200_6.csv,0.2504035835010911,0.5461597415382572,11391560.772,-8944262.272,1.2736165852002421,No,2_120_1_100_6.csv,0.47741464010340606,0.1695730693438366,4521412.053,-3863782.0689999997,1.1702036947881496,No,2_120_1_100_12.csv,0.21968003001327163,0.04158034793107813,4396277.033,-3889031.01,1.1304299250110634,No,,
2_20_0.75_150_14.csv,0.4135048333333333,0.002301517501151335,7845287.068,-6589302.818,1.190609581118207,No,2_80_2_50_14.csv,0.11729825647561092,-0.05329203235673274,5599256.345,-5402225.22,1.0364722159806585,No,,,,,,,,,,,,2_100_0.75_175_4.csv,0.24538634654632124,0.46535984494232324,10151648.879,-8511517.598,1.1926955166473947,No,2_120_1_125_6.csv,0.47741464010340606,0.1695730693438366,4521412.053,-3863782.0689999997,1.1702036947881496,No,2_120_1_125_12.csv,0.21968003001327163,0.04158034793107813,4396277.033,-3889031.01,1.1304299250110634,No,,
2_20_0.75_150_16.csv,0.4135048333333333,0.002301517501151335,7845287.068,-6589302.818,1.190609581118207,No,2_80_2_75_14.csv,0.11729825647561092,-0.05329203235673274,5599256.345,-5402225.22,1.0364722159806585,No,,,,,,,,,,,,2_100_0.75_100_4.csv,0.24538634128432674,0.46535986387943246,11885815.457,-9965507.019,1.1926955080497947,No,2_120_1_75_6.csv,0.47741464010340606,0.1695730693438366,4521412.053,-3863782.0689999997,1.1702036947881496,No,2_120_1_50_12.csv,0.21968003001327163,0.04158034793107813,4396277.033,-3889031.01,1.1304299250110634,No,,
2_20_0.75_150_18.csv,0.4135048333333333,0.002301517501151335,7845287.068,-6589302.818,1.190609581118207,No,2_80_2_150_16.csv,0.11729825048708842,-0.053292023006210665,4972684.079,-4797701.235,1.0364722260576527,No,,,,,,,,,,,,2_100_0.75_75_4.csv,0.24538634128432674,0.46535986387943246,11885815.457,-9965507.019,1.1926955080497947,No,2_120_1_150_6.csv,0.4774146378002696,0.16957306024401256,3623840.605,-3096760.605,1.1702036635150233,No,2_120_1_75_12.csv,0.21968003001327163,0.04158034793107813,4396277.033,-3889031.01,1.1304299250110634,No,,
2_20_0.75_150_20.csv,0.4135048333333333,0.002301517501151335,7845287.068,-6589302.818,1.190609581118207,No,2_80_2_50_20.csv,0.11729824896836272,-0.05329202345648533,4116692.4460000005,-3971830.962,1.0364722178224464,No,,,,,,,,,,,,2_100_0.75_200_4.csv,0.24538631619522908,0.465359811075866,14315232.247000001,-12002419.965999998,1.1926954970374017,No,2_120_1_175_6.csv,0.4774146378002696,0.122365510391819,3400114.9280000003,-2941045.209,1.156090670621174,No,2_120_1_100_14.csv,0.21968002831511607,0.04158034479203306,4486757.718,-3969071.9760000003,1.1304299204273236,No,,
2_20_0.75_150_4.csv,0.4135048333333333,0.029804222051080975,7889935.193,-6449090.318,1.2234183123437534,No,2_80_2_75_20.csv,0.11729824896836272,-0.05329202345648533,4116692.4460000005,-3971830.962,1.0364722178224464,No,,,,,,,,,,,,2_100_0.75_225_4.csv,0.24538627598700807,0.4653598065262765,15224977.320999999,-12765183.602,1.1926955221086368,No,2_120_1_225_6.csv,0.4774146577470215,0.051575698309561366,4424284.823,-3830694.8230000003,1.1549562226768904,No,2_120_1_100_16.csv,0.21968002831511607,0.04158034479203306,4486757.718,-3969071.9760000003,1.1304299204273236,No,,
2_20_0.75_150_6.csv,0.4135048333333333,0.002301517501151335,7845287.068,-6589302.818,1.190609581118207,No,2_80_2_200_14.csv,0.1172982469610636,-0.05329202525869633,3304565.087,-3188281.402,1.0364722150708077,No,,,,,,,,,,,,2_100_0.75_125_4.csv,0.24538624897380285,0.46535983570851835,11303447.177000001,-9477227.864,1.1926955159469195,No,2_120_1_50_6.csv,0.47741455056107396,0.16957305211819604,4451970.887,-3804441.028,1.1702036788674859,No,2_120_1_100_18.csv,0.21968002831511607,0.04158034479203306,4486757.718,-3969071.9760000003,1.1304299204273236,No,,
2_20_0.75_150_8.csv,0.4135048333333333,0.002301517501151335,7845287.068,-6589302.818,1.190609581118207,No,2_80_2_100_18.csv,0.11729824507277178,-0.05329202195849207,3937049.965,-3798509.8710000003,1.0364722216618927,No,,,,,,,,,,,,2_100_0.75_150_4.csv,0.24538623140601978,0.46535978176985326,8238522.257,-6907481.569,1.192695510614688,No,2_100_0.75_100_4.csv,0.46535986387943246,0.15236651129716247,18398806.103,-15770309.275,1.1666737653754733,No,2_120_1_100_20.csv,0.21968002831511607,0.04158034479203306,4486757.718,-3969071.9760000003,1.1304299204273236,No,,
2_20_0.75_75_10.csv,0.4104445,0.00032758811416282386,8792481.752,-7558955.377,1.1631874132705309,No,2_80_2_125_18.csv,0.11729824507277178,-0.05329202195849207,3937049.965,-3798509.8710000003,1.0364722216618927,No,,,,,,,,,,,,2_20_1_75_6.csv,0.2223281154346592,0.14315190948121412,6850257.817000001,-5740272.504,1.1933680521659082,No,2_100_0.75_75_4.csv,0.46535986387943246,0.15236651129716247,18398806.103,-15770309.275,1.1666737653754733,No,2_120_1_125_14.csv,0.21968002831511607,0.04158034479203306,4486757.718,-3969071.9760000003,1.1304299204273236,No,,
2_20_0.75_75_12.csv,0.4104445,0.00032758811416282386,8792481.752,-7558955.377,1.1631874132705309,No,2_80_2_150_20.csv,0.11729824452455687,-0.053292025836145465,4408934.8610000005,-4253789.7360000005,1.0364722129274515,No,,,,,,,,,,,,2_20_1_50_6.csv,0.21697946556367875,0.14013407543697945,7046625.217,-6079424.436000001,1.1590941364897325,No,2_100_0.75_175_4.csv,0.46535984494232324,0.01411425740306695,10566741.233,-9217275.764,1.1464061077862744,No,2_120_1_125_16.csv,0.21968002831511607,0.04158034479203306,4486757.718,-3969071.9760000003,1.1304299204273236,No,,
