Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window_1_NetProfit,Window_1_MDD,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window_2_NetProfit,Window_2_MDD,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window_3_NetProfit,Window_3_MDD,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window_4_NetProfit,Window_4_MDD,Score_4,Pass4,Para5,Pass5
,,,,,,,,,,,,,,,,,,,,,3_60_1.5_75_4.csv,0.13919055116046822,-0.009921249353700883,853761.906,-506119.25,1.6868789440433256,Yes,,
,,,,,,,,,,,,,,,,,,,,,3_60_1.5_75_6.csv,0.13919055116046822,-0.009921249353700883,853761.906,-506119.25,1.6868789440433256,Yes,,
,,,,,,,,,,,,,,,,,,,,,3_60_1.5_75_8.csv,0.13919055116046822,-0.009921249353700883,853761.906,-506119.25,1.6868789440433256,Yes,,
,,,,,,,,,,,,,,,,,,,,,1_20_1.25_150_10.csv,0.1308390625955612,-0.021642365963692213,630539.157,-556228.562,1.1335972297661334,No,,
,,,,,,,,,,,,,,,,,,,,,1_20_1.25_150_12.csv,0.1308390625955612,-0.021642365963692213,630539.157,-556228.562,1.1335972297661334,No,,
,,,,,,,,,,,,,,,,,,,,,1_20_1.25_150_14.csv,0.1308390625955612,-0.021642365963692213,630539.157,-556228.562,1.1335972297661334,No,,
,,,,,,,,,,,,,,,,,,,,,1_20_1.25_150_16.csv,0.1308390625955612,-0.021642365963692213,630539.157,-556228.562,1.1335972297661334,No,,
,,,,,,,,,,,,,,,,,,,,,1_20_1.25_150_18.csv,0.1308390625955612,-0.021642365963692213,630539.157,-556228.562,1.1335972297661334,No,,
,,,,,,,,,,,,,,,,,,,,,1_20_1.25_150_20.csv,0.1308390625955612,-0.021642365963692213,630539.157,-556228.562,1.1335972297661334,No,,
,,,,,,,,,,,,,,,,,,,,,1_20_1.25_150_4.csv,0.1308390625955612,-0.021642365963692213,630539.157,-556228.562,1.1335972297661334,No,,
,,,,,,,,,,,,,,,,,,,,,1_20_1.25_150_6.csv,0.1308390625955612,-0.021642365963692213,630539.157,-556228.562,1.1335972297661334,No,,
,,,,,,,,,,,,,,,,,,,,,1_20_1.25_150_8.csv,0.1308390625955612,-0.021642365963692213,630539.157,-556228.562,1.1335972297661334,No,,
,,,,,,,,,,,,,,,,,,,,,3_20_1.25_150_10.csv,0.1308390625955612,-0.021642365963692213,630539.157,-556228.562,1.1335972297661334,No,,
,,,,,,,,,,,,,,,,,,,,,3_20_1.25_150_12.csv,0.1308390625955612,-0.021642365963692213,630539.157,-556228.562,1.1335972297661334,No,,
,,,,,,,,,,,,,,,,,,,,,3_20_1.25_150_14.csv,0.1308390625955612,-0.021642365963692213,630539.157,-556228.562,1.1335972297661334,No,,
,,,,,,,,,,,,,,,,,,,,,3_20_1.25_150_16.csv,0.1308390625955612,-0.021642365963692213,630539.157,-556228.562,1.1335972297661334,No,,
,,,,,,,,,,,,,,,,,,,,,3_20_1.25_150_18.csv,0.1308390625955612,-0.021642365963692213,630539.157,-556228.562,1.1335972297661334,No,,
,,,,,,,,,,,,,,,,,,,,,3_20_1.25_150_20.csv,0.1308390625955612,-0.021642365963692213,630539.157,-556228.562,1.1335972297661334,No,,
,,,,,,,,,,,,,,,,,,,,,3_20_1.25_150_4.csv,0.1308390625955612,-0.021642365963692213,630539.157,-556228.562,1.1335972297661334,No,,
,,,,,,,,,,,,,,,,,,,,,3_20_1.25_150_6.csv,0.1308390625955612,-0.021642365963692213,630539.157,-556228.562,1.1335972297661334,No,,
,,,,,,,,,,,,,,,,,,,,,3_20_1.25_150_8.csv,0.1308390625955612,-0.021642365963692213,630539.157,-556228.562,1.1335972297661334,No,,
,,,,,,,,,,,,,,,,,,,,,1_20_1.25_125_10.csv,0.12966385324048432,-0.01957039563229633,558798.4839999999,-470362.0,1.1880179181141333,No,,
,,,,,,,,,,,,,,,,,,,,,1_20_1.25_125_12.csv,0.12966385324048432,-0.01957039563229633,558798.4839999999,-470362.0,1.1880179181141333,No,,
,,,,,,,,,,,,,,,,,,,,,1_20_1.25_125_14.csv,0.12966385324048432,-0.01957039563229633,558798.4839999999,-470362.0,1.1880179181141333,No,,
,,,,,,,,,,,,,,,,,,,,,1_20_1.25_125_16.csv,0.12966385324048432,-0.01957039563229633,558798.4839999999,-470362.0,1.1880179181141333,No,,
,,,,,,,,,,,,,,,,,,,,,1_20_1.25_125_18.csv,0.12966385324048432,-0.01957039563229633,558798.4839999999,-470362.0,1.1880179181141333,No,,
,,,,,,,,,,,,,,,,,,,,,1_20_1.25_125_20.csv,0.12966385324048432,-0.01957039563229633,558798.4839999999,-470362.0,1.1880179181141333,No,,
,,,,,,,,,,,,,,,,,,,,,1_20_1.25_125_4.csv,0.12966385324048432,-0.01957039563229633,558798.4839999999,-470362.0,1.1880179181141333,No,,
,,,,,,,,,,,,,,,,,,,,,1_20_1.25_125_6.csv,0.12966385324048432,-0.01957039563229633,558798.4839999999,-470362.0,1.1880179181141333,No,,
,,,,,,,,,,,,,,,,,,,,,1_20_1.25_125_8.csv,0.12966385324048432,-0.01957039563229633,558798.4839999999,-470362.0,1.1880179181141333,No,,
,,,,,,,,,,,,,,,,,,,,,3_20_1.25_125_10.csv,0.12966385324048432,-0.01957039563229633,558798.4839999999,-470362.0,1.1880179181141333,No,,
,,,,,,,,,,,,,,,,,,,,,3_20_1.25_125_12.csv,0.12966385324048432,-0.01957039563229633,558798.4839999999,-470362.0,1.1880179181141333,No,,
,,,,,,,,,,,,,,,,,,,,,3_20_1.25_125_14.csv,0.12966385324048432,-0.01957039563229633,558798.4839999999,-470362.0,1.1880179181141333,No,,
,,,,,,,,,,,,,,,,,,,,,3_20_1.25_125_16.csv,0.12966385324048432,-0.01957039563229633,558798.4839999999,-470362.0,1.1880179181141333,No,,
,,,,,,,,,,,,,,,,,,,,,3_20_1.25_125_18.csv,0.12966385324048432,-0.01957039563229633,558798.4839999999,-470362.0,1.1880179181141333,No,,
,,,,,,,,,,,,,,,,,,,,,3_20_1.25_125_20.csv,0.12966385324048432,-0.01957039563229633,558798.4839999999,-470362.0,1.1880179181141333,No,,
,,,,,,,,,,,,,,,,,,,,,3_20_1.25_125_4.csv,0.12966385324048432,-0.01957039563229633,558798.4839999999,-470362.0,1.1880179181141333,No,,
,,,,,,,,,,,,,,,,,,,,,3_20_1.25_125_6.csv,0.12966385324048432,-0.01957039563229633,558798.4839999999,-470362.0,1.1880179181141333,No,,
,,,,,,,,,,,,,,,,,,,,,3_20_1.25_125_8.csv,0.12966385324048432,-0.01957039563229633,558798.4839999999,-470362.0,1.1880179181141333,No,,
,,,,,,,,,,,,,,,,,,,,,1_120_1.75_100_10.csv,0.1276306547825516,-0.021405073851691266,586205.219,-495001.31200000003,1.1842498288166154,No,,
,,,,,,,,,,,,,,,,,,,,,1_120_1.75_100_12.csv,0.1276306547825516,-0.021405073851691266,586205.219,-495001.31200000003,1.1842498288166154,No,,
,,,,,,,,,,,,,,,,,,,,,1_120_1.75_100_14.csv,0.1276306547825516,-0.021405073851691266,586205.219,-495001.31200000003,1.1842498288166154,No,,
,,,,,,,,,,,,,,,,,,,,,1_120_1.75_100_16.csv,0.1276306547825516,-0.021405073851691266,586205.219,-495001.31200000003,1.1842498288166154,No,,
,,,,,,,,,,,,,,,,,,,,,1_120_1.75_100_18.csv,0.1276306547825516,-0.021405073851691266,586205.219,-495001.31200000003,1.1842498288166154,No,,
,,,,,,,,,,,,,,,,,,,,,1_120_1.75_100_20.csv,0.1276306547825516,-0.021405073851691266,586205.219,-495001.31200000003,1.1842498288166154,No,,
,,,,,,,,,,,,,,,,,,,,,1_120_1.75_100_4.csv,0.1276306547825516,-0.021405073851691266,586205.219,-495001.31200000003,1.1842498288166154,No,,
,,,,,,,,,,,,,,,,,,,,,1_120_1.75_100_6.csv,0.1276306547825516,-0.021405073851691266,586205.219,-495001.31200000003,1.1842498288166154,No,,
,,,,,,,,,,,,,,,,,,,,,1_120_1.75_100_8.csv,0.1276306547825516,-0.021405073851691266,586205.219,-495001.31200000003,1.1842498288166154,No,,
,,,,,,,,,,,,,,,,,,,,,1_120_1.75_125_10.csv,0.1276306547825516,-0.021405073851691266,586205.219,-495001.31200000003,1.1842498288166154,No,,
,,,,,,,,,,,,,,,,,,,,,1_120_1.75_125_12.csv,0.1276306547825516,-0.021405073851691266,586205.219,-495001.31200000003,1.1842498288166154,No,,
,,,,,,,,,,,,,,,,,,,,,1_120_1.75_125_14.csv,0.1276306547825516,-0.021405073851691266,586205.219,-495001.31200000003,1.1842498288166154,No,,
,,,,,,,,,,,,,,,,,,,,,1_120_1.75_125_16.csv,0.1276306547825516,-0.021405073851691266,586205.219,-495001.31200000003,1.1842498288166154,No,,
,,,,,,,,,,,,,,,,,,,,,1_120_1.75_125_18.csv,0.1276306547825516,-0.021405073851691266,586205.219,-495001.31200000003,1.1842498288166154,No,,
,,,,,,,,,,,,,,,,,,,,,1_120_1.75_125_20.csv,0.1276306547825516,-0.021405073851691266,586205.219,-495001.31200000003,1.1842498288166154,No,,
,,,,,,,,,,,,,,,,,,,,,1_120_1.75_125_4.csv,0.1276306547825516,-0.021405073851691266,586205.219,-495001.31200000003,1.1842498288166154,No,,
,,,,,,,,,,,,,,,,,,,,,1_120_1.75_125_6.csv,0.1276306547825516,-0.021405073851691266,586205.219,-495001.31200000003,1.1842498288166154,No,,
,,,,,,,,,,,,,,,,,,,,,1_120_1.75_125_8.csv,0.1276306547825516,-0.021405073851691266,586205.219,-495001.31200000003,1.1842498288166154,No,,
,,,,,,,,,,,,,,,,,,,,,1_120_1.75_150_10.csv,0.1276306547825516,-0.021405073851691266,586205.219,-495001.31200000003,1.1842498288166154,No,,
