Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,OutSamplePass1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,OutSamplePass2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,OutSamplePass3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,OutSamplePass4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,OutSamplePass5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,OutSamplePass6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,OutSamplePass7,Pass7
1_20_0.75_75_18.csv,0.1153221015,0.007427151926640278,No,,,,,,,2_20_1.75_75_4.csv,0.2615021398003688,0.0772520277885044,No,,3_100_1_125_18.csv,0.105664004570001,0.22524516344284634,Yes,,1_60_0.75_175_16.csv,0.26753824304786317,0.012761938744355753,No,,3_120_0.75_125_14.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
1_20_0.75_75_20.csv,0.1153221015,0.007427151926640278,No,,,,,,,2_40_0.75_125_4.csv,0.2672160196635926,0.03572343661528936,No,,3_100_1_125_20.csv,0.105664004570001,0.22524516344284634,Yes,,1_60_0.75_175_18.csv,0.26753824304786317,0.012761938744355753,No,,3_120_0.75_125_16.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
1_20_0.75_75_4.csv,0.1153221015,0.007427151926640278,No,,,,,,,2_40_1.25_125_6.csv,0.2672141028208728,0.08005410073115955,No,,3_100_1_125_4.csv,0.105664004570001,0.22524516344284634,Yes,,1_60_0.75_175_20.csv,0.26753824304786317,0.012761938744355753,No,,3_120_0.75_125_18.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
1_20_0.75_75_6.csv,0.1153221015,0.007427151926640278,No,,,,,,,2_80_2_150_6.csv,0.2669776591526244,-0.011812136230686426,No,,3_100_1_125_6.csv,0.105664004570001,0.22524516344284634,Yes,,1_60_0.75_175_4.csv,0.26753824304786317,0.012761938744355753,No,,3_120_0.75_125_20.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
1_20_0.75_75_8.csv,0.1153221015,0.007427151926640278,No,,,,,,,2_80_2_50_6.csv,0.2669776323307108,-0.019411927336489422,No,,3_100_1_125_8.csv,0.105664004570001,0.22524516344284634,Yes,,1_60_0.75_175_6.csv,0.26753824304786317,0.012761938744355753,No,,3_120_0.75_125_4.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
3_20_0.75_75_10.csv,0.1153221015,0.007427151926640278,No,,,,,,,2_80_2_75_6.csv,0.2669776323307108,-0.019411927336489422,No,,1_100_1_100_10.csv,0.10566397290518961,0.22524520967000755,Yes,,1_60_0.75_175_8.csv,0.26753824304786317,0.012761938744355753,No,,3_120_0.75_125_6.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
3_20_0.75_75_12.csv,0.1153221015,0.007427151926640278,No,,,,,,,2_80_2_125_6.csv,0.266977618036508,-0.019411920093016538,No,,1_100_1_100_12.csv,0.10566397290518961,0.22524520967000755,Yes,,3_60_0.75_175_10.csv,0.26753824304786317,0.012761938744355753,No,,3_120_0.75_125_8.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
3_20_0.75_75_14.csv,0.1153221015,0.007427151926640278,No,,,,,,,2_80_2_100_6.csv,0.2669776161061564,-0.019411903181671932,No,,1_100_1_100_14.csv,0.10566397290518961,0.22524520967000755,Yes,,3_60_0.75_175_12.csv,0.26753824304786317,0.012761938744355753,No,,3_120_0.75_150_10.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
3_20_0.75_75_16.csv,0.1153221015,0.007427151926640278,No,,,,,,,2_20_1.75_175_8.csv,0.2658139009732442,-0.02173846160508802,No,,1_100_1_100_16.csv,0.10566397290518961,0.22524520967000755,Yes,,3_60_0.75_175_14.csv,0.26753824304786317,0.012761938744355753,No,,3_120_0.75_150_12.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
3_20_0.75_75_18.csv,0.1153221015,0.007427151926640278,No,,,,,,,2_20_1.75_175_10.csv,0.2658138654161926,-0.021738468864699535,No,,1_100_1_100_18.csv,0.10566397290518961,0.22524520967000755,Yes,,3_60_0.75_175_16.csv,0.26753824304786317,0.012761938744355753,No,,3_120_0.75_150_14.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
3_20_0.75_75_20.csv,0.1153221015,0.007427151926640278,No,,,,,,,2_20_1.75_175_12.csv,0.2658138654161926,0.038635031824747805,No,,1_100_1_100_20.csv,0.10566397290518961,0.22524520967000755,Yes,,3_60_0.75_175_18.csv,0.26753824304786317,0.012761938744355753,No,,3_120_0.75_150_16.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
3_20_0.75_75_4.csv,0.1153221015,0.007427151926640278,No,,,,,,,2_20_1.75_175_14.csv,0.2658138654161926,0.038635031824747805,No,,1_100_1_100_4.csv,0.10566397290518961,0.22524520967000755,Yes,,3_60_0.75_175_20.csv,0.26753824304786317,0.012761938744355753,No,,3_120_0.75_150_18.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
3_20_0.75_75_6.csv,0.1153221015,0.007427151926640278,No,,,,,,,2_20_1.75_175_16.csv,0.2658138654161926,0.038635031824747805,No,,1_100_1_100_6.csv,0.10566397290518961,0.22524520967000755,Yes,,3_60_0.75_175_4.csv,0.26753824304786317,0.012761938744355753,No,,3_120_0.75_150_20.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
3_20_0.75_75_8.csv,0.1153221015,0.007427151926640278,No,,,,,,,2_20_1.75_175_18.csv,0.2658138654161926,0.038635031824747805,No,,1_100_1_100_8.csv,0.10566397290518961,0.22524520967000755,Yes,,3_60_0.75_175_6.csv,0.26753824304786317,0.012761938744355753,No,,3_120_0.75_150_4.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
1_40_0.75_50_4.csv,0.1146325,-0.0034352438756830505,No,,,,,,,2_20_1.75_175_20.csv,0.2658138654161926,0.038635031824747805,No,,1_100_1_50_10.csv,0.10566397290518961,0.22524520967000755,Yes,,3_60_0.75_175_8.csv,0.26753824304786317,0.012761938744355753,No,,3_120_0.75_150_6.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
3_40_0.75_50_4.csv,0.1146325,-0.0034352438756830505,No,,,,,,,2_40_1_50_4.csv,0.2581531498861942,0.0443850062859111,No,,1_100_1_50_12.csv,0.10566397290518961,0.22524520967000755,Yes,,2_40_1_75_4.csv,0.2657280153097834,0.04478625597722835,No,,3_120_0.75_150_8.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
2_40_1.75_150_6.csv,0.1136273515,-0.029286421128857244,No,,,,,,,2_20_1.5_150_6.csv,0.2636840903510899,0.094002362629937,No,,1_100_1_50_14.csv,0.10566397290518961,0.22524520967000755,Yes,,2_40_1_50_4.csv,0.2657280108868224,0.05636866685008581,No,,3_120_0.75_75_10.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
2_40_1_75_6.csv,0.1135366875,0.054532140239628504,No,,,,,,,2_100_2_100_10.csv,0.2635759052763854,-0.010402940093152376,No,,1_100_1_50_16.csv,0.10566397290518961,0.22524520967000755,Yes,,2_60_2_100_12.csv,0.2655330358753865,0.06297933740247644,No,,3_120_0.75_75_12.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
1_60_1_50_10.csv,0.11315190625,0.04297684999416136,No,,,,,,,2_100_2_125_10.csv,0.2635759052763854,-0.010402940093152376,No,,1_100_1_50_18.csv,0.10566397290518961,0.22524520967000755,Yes,,2_60_2_50_16.csv,0.2655330330305875,0.0629793226346707,No,,3_120_0.75_75_14.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
1_60_1_50_12.csv,0.11315190625,0.04297684999416136,No,,,,,,,2_100_2_50_10.csv,0.2635759052763854,-0.010402940093152376,No,,1_100_1_50_20.csv,0.10566397290518961,0.22524520967000755,Yes,,2_60_2_50_18.csv,0.2655330330305875,0.0629793226346707,No,,3_120_0.75_75_16.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
1_60_1_50_14.csv,0.11315190625,0.04297684999416136,No,,,,,,,2_100_2_75_10.csv,0.2635759052763854,-0.010402940093152376,No,,1_100_1_50_4.csv,0.10566397290518961,0.22524520967000755,Yes,,2_60_2_50_20.csv,0.2655330330305875,0.0629793226346707,No,,3_120_0.75_75_18.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
1_60_1_50_16.csv,0.11315190625,0.04297684999416136,No,,,,,,,2_100_2_150_10.csv,0.2635758882236603,-0.010402937228886846,No,,1_100_1_50_6.csv,0.10566397290518961,0.22524520967000755,Yes,,2_60_2_75_16.csv,0.2655330330305875,0.0629793226346707,No,,3_120_0.75_75_20.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
1_60_1_50_18.csv,0.11315190625,0.04297684999416136,No,,,,,,,2_20_1.25_225_10.csv,0.26295841023955846,0.03393711635641711,No,,1_100_1_50_8.csv,0.10566397290518961,0.22524520967000755,Yes,,2_60_2_75_18.csv,0.2655330330305875,0.0629793226346707,No,,3_120_0.75_75_4.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
1_60_1_50_20.csv,0.11315190625,0.04297684999416136,No,,,,,,,2_20_1.25_225_12.csv,0.26295841023955846,0.03393711635641711,No,,1_100_1_75_10.csv,0.10566397290518961,0.22524520967000755,Yes,,2_60_2_75_20.csv,0.2655330330305875,0.0629793226346707,No,,3_120_0.75_75_6.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
1_60_1_50_4.csv,0.11315190625,0.04297684999416136,No,,,,,,,2_20_1.25_225_14.csv,0.26295841023955846,0.03393711635641711,No,,1_100_1_75_12.csv,0.10566397290518961,0.22524520967000755,Yes,,2_60_2_50_14.csv,0.2655330235379368,0.06297934841356181,No,,3_120_0.75_75_8.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
1_60_1_50_6.csv,0.11315190625,0.04297684999416136,No,,,,,,,2_20_1.25_225_16.csv,0.26295841023955846,0.03393711635641711,No,,1_100_1_75_14.csv,0.10566397290518961,0.22524520967000755,Yes,,2_60_2_75_14.csv,0.2655330235379368,0.06297934841356181,No,,1_120_0.75_50_10.csv,0.15355058526419468,-0.06692936155624424,No,,,,,,
1_60_1_50_8.csv,0.11315190625,0.04297684999416136,No,,,,,,,2_20_1.25_225_18.csv,0.26295841023955846,0.03393711635641711,No,,1_100_1_75_16.csv,0.10566397290518961,0.22524520967000755,Yes,,2_60_2_100_6.csv,0.2655330230303644,-0.001276283165312673,No,,1_120_0.75_50_12.csv,0.15355058526419468,-0.06692936155624424,No,,,,,,
3_60_1_50_10.csv,0.11315190625,0.04297684999416136,No,,,,,,,2_20_1.25_225_20.csv,0.26295841023955846,0.03393711635641711,No,,1_100_1_75_18.csv,0.10566397290518961,0.22524520967000755,Yes,,2_60_2_150_12.csv,0.2655330155687288,0.051691930648677886,No,,1_120_0.75_50_14.csv,0.15355058526419468,-0.06692936155624424,No,,,,,,
