Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window1_GrossProfit,Window1_GrossLoss,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window2_GrossProfit,Window2_GrossLoss,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window3_GrossProfit,Window3_GrossLoss,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window4_GrossProfit,Window4_GrossLoss,Score_4,Pass4,Para5,Pass5
2_60_1.25_175_18.csv,0.13659665,0.15476054203153836,17550711.700999998,-15565431.451,1.127544183805612,No,1_40_1.25_150_12.csv,0.32834361599619744,-0.06444218898557794,8589265.952,-7774555.433999999,1.1047919106007111,No,,,,,,,,2_60_0.75_50_6.csv,0.4267374519474688,-0.008720148170095159,47234836.125,-42186612.625,1.119664111097851,No,,
2_60_1.25_175_20.csv,0.13659665,0.15476054203153836,17550711.700999998,-15565431.451,1.127544183805612,No,1_40_1.25_150_14.csv,0.32834361599619744,-0.06444218898557794,8589265.952,-7774555.433999999,1.1047919106007111,No,,,,,,,,2_60_0.75_75_6.csv,0.4267373688249069,0.006518060738226373,52203899.375,-46092964.625,1.1325784704827933,No,,
2_60_1.5_175_18.csv,0.13659665,0.16629116778197287,17653079.702999998,-15570770.203,1.133731952424473,No,1_40_1.25_150_16.csv,0.32834361599619744,-0.06444218898557794,8589265.952,-7774555.433999999,1.1047919106007111,No,,,,,,,,2_20_0.75_150_10.csv,0.4163171657651922,-0.020011040274342615,13977871.992,-12136677.133,1.1517050209726463,No,,
2_60_1.5_175_20.csv,0.13659665,0.16629116778197287,17653079.702999998,-15570770.203,1.133731952424473,No,1_40_1.25_150_18.csv,0.32834361599619744,-0.06444218898557794,8589265.952,-7774555.433999999,1.1047919106007111,No,,,,,,,,2_20_0.75_150_12.csv,0.4163171657651922,-0.020011040274342615,13977871.992,-12136677.133,1.1517050209726463,No,,
2_60_1.5_100_8.csv,0.13612760000000002,0.1739183274446966,17373709.458,-15231602.707999999,1.140635676433112,No,1_40_1.25_150_20.csv,0.32834361599619744,-0.06444218898557794,8589265.952,-7774555.433999999,1.1047919106007111,No,,,,,,,,2_20_0.75_150_14.csv,0.4163171657651922,-0.020011040274342615,13977871.992,-12136677.133,1.1517050209726463,No,,
2_40_1_125_10.csv,0.13594045,0.202396942672429,16256447.457,-13876912.207,1.1714744039959897,No,1_40_1.25_150_4.csv,0.32834361599619744,-0.06444218898557794,8589265.952,-7774555.433999999,1.1047919106007111,No,,,,,,,,2_20_0.75_150_16.csv,0.4163171657651922,-0.020011040274342615,13977871.992,-12136677.133,1.1517050209726463,No,,
2_40_1_125_12.csv,0.13594045,0.202396942672429,16256447.457,-13876912.207,1.1714744039959897,No,1_40_1.25_150_6.csv,0.32834361599619744,-0.06444218898557794,8589265.952,-7774555.433999999,1.1047919106007111,No,,,,,,,,2_20_0.75_150_18.csv,0.4163171657651922,-0.020011040274342615,13977871.992,-12136677.133,1.1517050209726463,No,,
2_40_1_125_14.csv,0.13594045,0.202396942672429,16256447.457,-13876912.207,1.1714744039959897,No,1_40_1.25_150_8.csv,0.32834361599619744,-0.06444218898557794,8589265.952,-7774555.433999999,1.1047919106007111,No,,,,,,,,2_20_0.75_150_20.csv,0.4163171657651922,-0.020011040274342615,13977871.992,-12136677.133,1.1517050209726463,No,,
2_40_1_125_16.csv,0.13594045,0.202396942672429,16256447.457,-13876912.207,1.1714744039959897,No,3_40_1.25_150_10.csv,0.32834361599619744,-0.06444218898557794,8589265.952,-7774555.433999999,1.1047919106007111,No,,,,,,,,2_20_0.75_150_6.csv,0.4163171657651922,-0.020011040274342615,13977871.992,-12136677.133,1.1517050209726463,No,,
2_40_1_125_18.csv,0.13594045,0.202396942672429,16256447.457,-13876912.207,1.1714744039959897,No,3_40_1.25_150_12.csv,0.32834361599619744,-0.06444218898557794,8589265.952,-7774555.433999999,1.1047919106007111,No,,,,,,,,2_20_0.75_150_8.csv,0.4163171657651922,-0.020011040274342615,13977871.992,-12136677.133,1.1517050209726463,No,,
