Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Score_2,Pass2,Para3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Score_5,Pass5
1_100_1_150_10.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,2_120_1.25_200_4.csv,0.2840734790709659,-0.055690746842900804,-0.623527050754958,No,,,2_60_2_200_4.csv,0.21993953672808747,-0.02768974265345296,-0.20803846647349433,No,,,,,
1_100_1_150_12.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,1_100_1.25_150_10.csv,0.28532428087784867,-0.048339949937538824,-0.5412257534132561,No,,,2_60_2_125_4.csv,0.2199395338848941,-0.03421448572875176,-0.25706014069080396,No,,,,,
1_100_1_150_14.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,1_100_1.25_150_12.csv,0.28532428087784867,-0.048339949937538824,-0.5412257534132561,No,,,2_60_2_175_4.csv,0.2199395284482003,-0.017301883082056706,-0.12999244046950048,No,,,,,
1_100_1_150_16.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,1_100_1.25_150_14.csv,0.28532428087784867,-0.048339949937538824,-0.5412257534132561,No,,,2_40_0.75_175_6.csv,0.21962858574674043,-0.010799498661569722,-0.0811387512102916,No,,,,,
1_100_1_150_18.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,1_100_1.25_150_16.csv,0.28532428087784867,-0.048339949937538824,-0.5412257534132561,No,,,2_60_1.25_125_4.csv,0.21951718506271678,0.03955495288365891,0.29718411768343234,No,,,,,
1_100_1_150_20.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,1_100_1.25_150_18.csv,0.28532428087784867,-0.048339949937538824,-0.5412257534132561,No,,,2_80_1.25_100_8.csv,0.23158515167902782,0.10750873833791047,0.8077342334393268,Yes,,,,,
1_100_1_150_6.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,1_100_1.25_150_20.csv,0.28532428087784867,-0.048339949937538824,-0.5412257534132561,No,,,2_80_1.25_50_8.csv,0.23158515167902782,0.10750873833791047,0.8077342334393268,Yes,,,,,
1_100_1_150_8.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,1_100_1.25_150_4.csv,0.28532428087784867,-0.048339949937538824,-0.5412257534132561,No,,,2_80_1.25_75_8.csv,0.23158515167902782,0.10750873833791047,0.8077342334393268,Yes,,,,,
3_100_1_125_10.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,1_100_1.25_150_6.csv,0.28532428087784867,-0.048339949937538824,-0.5412257534132561,No,,,2_80_1.25_100_14.csv,0.23114968941648872,0.08989983430777142,0.6754350843805241,Yes,,,,,
3_100_1_125_12.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,1_100_1.25_150_8.csv,0.28532428087784867,-0.048339949937538824,-0.5412257534132561,No,,,2_80_1.25_50_14.csv,0.23114968941648872,0.08989983430777142,0.6754350843805241,Yes,,,,,
3_100_1_125_14.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,3_100_1.25_150_10.csv,0.28532428087784867,-0.048339949937538824,-0.5412257534132561,No,,,2_80_1.25_75_14.csv,0.23114968941648872,0.08989983430777142,0.6754350843805241,Yes,,,,,
