Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,OutSamplePass1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,OutSamplePass2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,OutSamplePass3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,OutSamplePass4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,OutSamplePass5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,OutSamplePass6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,OutSamplePass7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,OutSamplePass8,Pass8,Para9,InSample9_Annual_RateOfReturn,OutSample9_Annual_RateOfReturn,OutSamplePass9,Pass9
2_40_1.5_150_6.csv,0.14632257299999998,0.13916445357961038,Yes,,2_120_1.5_225_6.csv,0.18998632845638086,0.23457102216109266,Yes,,2_60_1.25_75_4.csv,0.11024322356133112,0.08227403908138572,No,,,,,,,,,,,,,,,,,3_80_1_175_14.csv,0.12617622890501426,-0.023227398250099666,No,,,,,,,,,,,
2_120_1.75_175_12.csv,0.146253927,0.11687016239973363,Yes,,2_80_1.25_175_4.csv,0.18980847117830807,0.06789400200745906,No,,2_80_2_50_6.csv,0.13910259178115716,0.011990115328563526,No,,,,,,,,,,,,,,,,,3_80_1_175_16.csv,0.12617622890501426,-0.023227398250099666,No,,,,,,,,,,,
2_120_1.75_175_14.csv,0.146253927,0.11687016239973363,Yes,,2_20_1.75_50_8.csv,0.18980602238677793,0.005594721140382615,No,,2_80_2_75_6.csv,0.13910259178115716,0.011990115328563526,No,,,,,,,,,,,,,,,,,3_80_1_175_18.csv,0.12617622890501426,-0.023227398250099666,No,,,,,,,,,,,
1_40_2_175_10.csv,0.146147521,0.09761132997471422,No,,2_20_1.75_50_10.csv,0.18980600650511237,-0.023971347293394667,No,,2_80_2_175_6.csv,0.1391025853996098,0.011990143426975613,No,,,,,,,,,,,,,,,,,3_80_1_175_20.csv,0.12617622890501426,-0.023227398250099666,No,,,,,,,,,,,
1_40_2_175_12.csv,0.146147521,0.09761132997471422,No,,2_20_1.75_50_12.csv,0.18980600650511237,-0.023971347293394667,No,,2_80_2_200_6.csv,0.1391025917936739,0.011990156714158996,No,,,,,,,,,,,,,,,,,3_80_1_175_6.csv,0.12617622890501426,-0.023227398250099666,No,,,,,,,,,,,
1_40_2_175_14.csv,0.146147521,0.09761132997471422,No,,2_20_1.75_50_14.csv,0.18980600650511237,-0.023971347293394667,No,,2_80_2_125_6.csv,0.13910259281568674,0.011990139438758037,No,,,,,,,,,,,,,,,,,3_80_1_175_8.csv,0.12617622890501426,-0.023227398250099666,No,,,,,,,,,,,
1_40_2_175_16.csv,0.146147521,0.09761132997471422,No,,2_20_1.75_50_16.csv,0.18980600650511237,-0.023971347293394667,No,,2_80_2_100_6.csv,0.13910258138149514,0.01199015473206037,No,,,,,,,,,,,,,,,,,2_80_2_225_12.csv,0.126134965829109,0.046636770587415596,No,,,,,,,,,,,
1_40_2_175_18.csv,0.146147521,0.09761132997471422,No,,2_20_1.75_50_18.csv,0.18980600650511237,-0.023971347293394667,No,,2_80_2_225_6.csv,0.1391025737289594,-0.007796463254823183,No,,,,,,,,,,,,,,,,,2_80_2_200_12.csv,0.12613494107049783,0.07352695952866885,No,,,,,,,,,,,
1_40_2_175_20.csv,0.146147521,0.09761132997471422,No,,2_20_1.75_50_20.csv,0.18980600650511237,-0.023971347293394667,No,,2_80_2_150_6.csv,0.13910257353463362,0.011990153838786275,No,,,,,,,,,,,,,,,,,2_80_2_125_12.csv,0.12613490872694944,0.07352692106068429,No,,,,,,,,,,,
1_40_2_175_4.csv,0.146147521,0.09761132997471422,No,,2_20_1.5_100_10.csv,0.18917162623797312,0.03278036730403433,No,,2_120_1.25_175_14.csv,0.1389566284448821,-0.010390449929773326,No,,,,,,,,,,,,,,,,,2_80_2_100_12.csv,0.12613491775279037,0.07352697218653369,No,,,,,,,,,,,
