Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,OutSamplePass1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,OutSamplePass2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,OutSamplePass3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,OutSamplePass4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,OutSamplePass5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,OutSamplePass6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,OutSamplePass7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,OutSamplePass8,Pass8,Para9,Pass9
,,,,,3_80_1_75_14.csv,0.24109623195912305,0.014907971611994301,No,,2_40_1.25_125_12.csv,0.10278442467402049,0.008765348405539535,No,,,,,,,,,,,,1_100_1_75_12.csv,0.247701769658632,0.17524959473079582,Yes,,2_100_1.5_175_4.csv,0.18437263346191493,0.08138737319893692,No,,,,,,,,
,,,,,3_80_1_75_16.csv,0.24109623195912305,0.014907971611994301,No,,2_40_1.25_125_10.csv,0.10278443100487822,0.008765332190857015,No,,,,,,,,,,,,1_100_1_75_14.csv,0.247701769658632,0.17524959473079582,Yes,,2_100_1.5_100_4.csv,0.18437262387328499,0.09480706242807355,No,,,,,,,,
,,,,,3_80_1_75_18.csv,0.24109623195912305,0.014907971611994301,No,,2_40_1.25_125_8.csv,0.10278443100487822,0.008765332190857015,No,,,,,,,,,,,,1_100_1_75_16.csv,0.247701769658632,0.17524959473079582,Yes,,2_100_1.5_125_4.csv,0.18437262387328499,0.09480706242807355,No,,,,,,,,
,,,,,3_80_1_75_20.csv,0.24109623195912305,0.014907971611994301,No,,2_20_1.25_200_4.csv,0.10224496165161887,0.02442155245994764,No,,,,,,,,,,,,1_100_1_75_18.csv,0.247701769658632,0.17524959473079582,Yes,,2_100_1.5_50_4.csv,0.18437262387328499,0.09480706242807355,No,,,,,,,,
,,,,,3_80_1_75_4.csv,0.24109623195912305,0.026308719142555247,No,,2_20_2_200_10.csv,0.10224213455910505,-0.008512539455372982,No,,,,,,,,,,,,1_100_1_75_20.csv,0.247701769658632,0.17524959473079582,Yes,,2_100_1.5_75_4.csv,0.18437262387328499,0.09480706242807355,No,,,,,,,,
,,,,,3_80_1_75_6.csv,0.24109623195912305,0.019053729726031907,No,,2_20_2_175_10.csv,0.10224212760392741,0.01885944471323621,No,,,,,,,,,,,,1_100_1_75_4.csv,0.247701769658632,0.17524959473079582,Yes,,2_100_1.5_225_4.csv,0.18437261855941756,0.08138739584134823,No,,,,,,,,
,,,,,3_80_1_75_8.csv,0.24109623195912305,0.014907971611994301,No,,2_20_2_175_12.csv,0.10224211582891687,0.018859425433817065,No,,,,,,,,,,,,1_100_1_75_6.csv,0.247701769658632,0.17524959473079582,Yes,,2_100_1.5_150_4.csv,0.18437259615858612,0.11063530528449639,Yes,,,,,,,,
,,,,,2_40_2_125_6.csv,0.24087687106681702,0.13960724309164665,Yes,,2_20_2_175_14.csv,0.10224211582891687,0.018859425433817065,No,,,,,,,,,,,,1_100_1_75_8.csv,0.247701769658632,0.17524959473079582,Yes,,2_120_1_125_6.csv,0.18354359067233716,0.09318219591327911,No,,,,,,,,
,,,,,2_40_1.5_75_6.csv,0.240441400271406,0.13448794685792942,Yes,,2_20_2_175_16.csv,0.10224211582891687,0.018859425433817065,No,,,,,,,,,,,,3_100_1_100_10.csv,0.247701769658632,0.17524959473079582,Yes,,2_120_1_150_6.csv,0.18354359067233716,0.10446770702203789,Yes,,,,,,,,
,,,,,2_120_1.5_100_12.csv,0.2390389233353934,-0.0513555644203931,No,,2_20_2_175_18.csv,0.10224211582891687,0.018859425433817065,No,,,,,,,,,,,,3_100_1_100_12.csv,0.247701769658632,0.17524959473079582,Yes,,2_120_1_175_6.csv,0.18354359067233716,0.0798133978332813,No,,,,,,,,
