Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window1_GrossProfit,Window1_GrossLoss,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window2_GrossProfit,Window2_GrossLoss,Score_2,Pass2,Para3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window4_GrossProfit,Window4_GrossLoss,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window5_GrossProfit,Window5_GrossLoss,Score_5,Pass5
1_20_0.75_50_14.csv,0.294342025,0.10875667509757034,21401988.105,-18586203.105,1.1514986672690835,No,2_100_1.5_150_10.csv,0.4535231291901633,-0.05932451563326763,25258887.202,-23701436.686,1.0657112282530938,No,,,2_120_0.75_175_4.csv,0.5077454923328806,0.030033995110924524,27162330.596,-24032586.963000003,1.1302291608397579,No,2_100_1.5_200_12.csv,0.12772725074586344,0.021313609532460233,59624409.0,-54654939.5,1.0909244351098404,No
1_20_0.75_50_16.csv,0.294342025,0.10875667509757034,21401988.105,-18586203.105,1.1514986672690835,No,2_100_1.5_225_10.csv,0.45054040895257763,-0.06942721671764107,22213972.264000002,-20922487.28,1.0617271248258586,No,,,2_40_1_50_4.csv,0.47769912427376315,0.13309914807013823,77290226.25,-65146409.375,1.1864080766922545,No,2_100_1.5_150_16.csv,0.1277272501811501,0.018608838668497815,52079337.0,-47924580.5,1.0866936435677303,No
1_20_0.75_50_18.csv,0.294342025,0.10875667509757034,21401988.105,-18586203.105,1.1514986672690835,No,2_100_1.5_125_8.csv,0.44865478120096736,-0.06784719199481712,21940921.92,-20702514.755999997,1.0598191658644316,No,,,2_40_1_100_4.csv,0.4420962490787754,0.04630366874083551,64877409.5,-55448743.0,1.1700429259505487,No,2_100_1.5_225_14.csv,0.12772724985428388,0.008134753447885897,51717820.5,-47919524.5,1.0792640586406486,No
1_20_0.75_50_20.csv,0.294342025,0.10875667509757034,21401988.105,-18586203.105,1.1514986672690835,No,2_100_1.5_150_8.csv,0.4486546983450644,-0.06784718883338765,23175094.848,-21867027.504,1.0598191658084632,No,,,2_60_1.25_50_6.csv,0.4254955452110699,0.003038351418378204,44501192.187,-39928767.812,1.1145145374014227,No,2_100_1.5_200_10.csv,0.12772724814422134,0.021313600235073983,65131844.5,-59703349.5,1.0909244631241335,No
1_20_0.75_50_4.csv,0.294342025,0.10875667509757034,21401988.105,-18586203.105,1.1514986672690835,No,2_100_1.5_100_8.csv,0.44865464133515687,-0.06784719580327063,22748560.196999997,-21464567.994000003,1.059819149556558,No,,,2_60_1.25_75_6.csv,0.4254955452110699,0.003038351418378204,44501192.187,-39928767.812,1.1145145374014227,No,2_100_1.5_175_16.csv,0.12772724569011085,0.018608864062844354,43220245.75,-39772244.0,1.0866936688309565,No
1_20_0.75_50_6.csv,0.294342025,0.10875667509757034,21401988.105,-18586203.105,1.1514986672690835,No,2_100_1.5_50_8.csv,0.44865464133515687,-0.06784719580327063,22748560.196999997,-21464567.994000003,1.059819149556558,No,,,2_40_0.75_75_4.csv,0.4217993836955955,0.05399386503231037,80447393.75,-69775737.5,1.1529422207826896,No,2_100_1.5_200_18.csv,0.12772724478231207,0.021313623591596945,37337754.25,-34225792.5,1.0909244614277376,No
1_20_0.75_50_8.csv,0.294342025,0.10875667509757034,21401988.105,-18586203.105,1.1514986672690835,No,2_100_1.5_75_8.csv,0.44865464133515687,-0.06784719580327063,22748560.196999997,-21464567.994000003,1.059819149556558,No,,,2_60_1.5_50_6.csv,0.41834032404827387,0.04821514415371646,92510045.75,-81488402.75,1.1352541297663366,No,2_100_1.5_200_20.csv,0.12772724478231207,0.021313623591596945,37337754.25,-34225792.5,1.0909244614277376,No
3_20_0.75_50_10.csv,0.294342025,0.10875667509757034,21401988.105,-18586203.105,1.1514986672690835,No,2_100_1.5_225_8.csv,0.4456941673824485,-0.07733786461078525,20356215.186,-19281504.124,1.0557379266206877,No,,,2_60_1.5_75_6.csv,0.41834017265097445,0.04821510036215307,93768685.5,-82597094.5,1.1352540433489462,No,2_100_1.5_225_18.csv,0.12772724350014794,0.008134791265871945,37076366.0,-34353377.75,1.0792640615958062,No
3_20_0.75_50_12.csv,0.294342025,0.10875667509757034,21401988.105,-18586203.105,1.1514986672690835,No,2_120_1.5_225_8.csv,0.4284387784741774,-0.08061699603651773,17629773.489,-16751692.059,1.0524174768081558,No,,,2_60_1_50_4.csv,0.41827070725069404,0.0017192416138622517,48583330.875,-43781397.375,1.1096797678445502,No,2_100_1.5_225_20.csv,0.12772724350014794,0.008134791265871945,37076366.0,-34353377.75,1.0792640615958062,No
3_20_0.75_50_14.csv,0.294342025,0.10875667509757034,21401988.105,-18586203.105,1.1514986672690835,No,2_120_1.5_225_6.csv,0.4206457501415653,-0.02595232404022144,18068894.135,-16097864.619,1.1224404331040052,No,,,2_60_1_75_4.csv,0.418270700456456,0.0017192526099003833,47498882.125,-42804134.25,1.1096797764342121,No,2_100_1.5_225_12.csv,0.12772724249959044,0.00813478887346622,59206967.5,-54858646.5,1.0792640955879216,No
3_20_0.75_50_16.csv,0.294342025,0.10875667509757034,21401988.105,-18586203.105,1.1514986672690835,No,2_80_1.25_150_8.csv,0.4205965110271803,-0.06871674435105503,27162891.188,-25818136.126,1.0520856755668655,No,,,2_60_1.5_225_6.csv,0.4110899647335221,0.02640866406123902,52388506.875,-46457740.5,1.1276593805718984,No,2_100_1.5_125_14.csv,0.12772723948817408,0.018608864457489903,63531617.0,-58463225.5,1.0866936686550077,No
3_20_0.75_50_18.csv,0.294342025,0.10875667509757034,21401988.105,-18586203.105,1.1514986672690835,No,2_100_0.75_125_4.csv,0.41680032856538013,-0.07168312209048765,32281737.623000003,-30845246.529,1.0465709065625217,No,,,2_80_2_225_8.csv,0.41052958176355814,0.024641185631162018,28689589.183000002,-25064506.621,1.1446301184705057,No,2_100_1.5_125_16.csv,0.12772723936490812,0.018608863239484737,54852792.5,-50476775.5,1.0866936716272615,No
3_20_0.75_50_20.csv,0.294342025,0.10875667509757034,21401988.105,-18586203.105,1.1514986672690835,No,2_100_0.75_100_4.csv,0.41680030758512226,-0.07168314548033897,33499915.185,-32009217.529,1.0465708871092974,No,,,2_80_2_50_8.csv,0.4105295593006024,0.04053886708604447,35722255.752,-31036323.751999997,1.1509821858234108,No,2_100_1.5_100_14.csv,0.12772723851274653,0.018608841783732358,65870196.5,-60615239.5,1.0866936605933892,No
