Para1,InSample1_RateOfReturn,OutSample1_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample1_AvgTrade,OutSample1_AvgTrade,Score_1,Pass1,Para2,InSample2_RateOfReturn,OutSample2_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample2_AvgTrade,OutSample2_AvgTrade,Score_2,Pass2,Para3,Pass3,Para4,InSample4_RateOfReturn,OutSample4_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample4_AvgTrade,OutSample4_AvgTrade,Score_4,Pass4,Para5,InSample5_RateOfReturn,OutSample5_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample5_AvgTrade,OutSample5_AvgTrade,Score_5,Pass5
2_40_0.75_150_6.csv,1.507559875,1.000728938487952,19.0,25.0,0.07934525657894738,0.040029157539518086,0.5044933908517852,Yes,2_100_1.5_100_10.csv,2.2676157353819364,-0.2966226427062126,6,7,0.3779359558969894,-0.042374663243744656,-0.11212128029251162,No,,,2_120_0.75_75_4.csv,2.5667690107660643,0.15017006162615337,17.0,16.0,0.15098641239800378,0.009385628851634586,0.062162076060816945,No,2_100_1.5_75_16.csv,0.638636268331113,0.0930442329207067,6.0,10.0,0.1064393780551855,0.009304423292070669,0.08741523543332445,No
2_40_0.75_150_8.csv,1.507559875,0.8523722052524373,19.0,22.0,0.07934525657894738,0.03874419114783806,0.4882987694329043,No,2_100_1.5_50_10.csv,2.2676157353819364,-0.2966226427062126,6,7,0.3779359558969894,-0.042374663243744656,-0.11212128029251162,No,,,2_120_0.75_150_4.csv,2.5667689322693343,0.15017014279922003,17.0,16.0,0.1509864077805491,0.009385633924951252,0.062162111563000985,No,2_100_1.5_100_12.csv,0.6386362563431367,0.0930443243807166,6.0,10.0,0.10643937605718945,0.00930443243807166,0.08741532300107083,No
1_20_0.75_50_10.csv,1.471710125,0.5437833754878517,71.0,71.0,0.02072831161971831,0.007658920781519038,0.369490816330323,No,2_100_1.5_75_10.csv,2.2676157353819364,-0.2966226427062126,6,7,0.3779359558969894,-0.042374663243744656,-0.11212128029251162,No,,,2_120_0.75_200_4.csv,2.5387286580690067,0.1501700023599058,17.0,16.0,0.14933697988641215,0.009385625147494112,0.06284863370501367,No,2_100_1.5_50_12.csv,0.6386362563431367,0.0930443243807166,6.0,10.0,0.10643937605718945,0.00930443243807166,0.08741532300107083,No
1_20_0.75_50_12.csv,1.471710125,0.5437833754878517,71.0,71.0,0.02072831161971831,0.007658920781519038,0.369490816330323,No,2_100_1.5_125_10.csv,2.267615678673792,-0.2966226384347759,6,7,0.377935946445632,-0.04237466263353941,-0.11212128148184819,No,,,2_120_0.75_225_4.csv,2.5387280274833364,0.08406119486284852,17.0,15.0,0.14933694279313744,0.005604079657523234,0.037526412103440765,No,2_100_1.5_75_12.csv,0.6386362563431367,0.0930443243807166,6.0,10.0,0.10643937605718945,0.00930443243807166,0.08741532300107083,No
1_20_0.75_50_14.csv,1.471710125,0.5437833754878517,71.0,71.0,0.02072831161971831,0.007658920781519038,0.369490816330323,No,2_100_1.5_150_10.csv,2.2676156459508165,-0.29662257816633814,6,7,0.3779359409918028,-0.042374654023762594,-0.11212126031877365,No,,,2_120_0.75_175_4.csv,2.5387274616644033,0.1501699755546226,17.0,16.0,0.1493369095096708,0.009385623472163913,0.06284865210469698,No,2_100_1.5_200_12.csv,0.6386362537293172,0.10656804766230116,6.0,10.0,0.10643937562155287,0.010656804766230116,0.10012088763204116,No
1_20_0.75_50_16.csv,1.471710125,0.5437833754878517,71.0,71.0,0.02072831161971831,0.007658920781519038,0.369490816330323,No,2_100_1.5_225_10.csv,2.2527020447628883,-0.3471360835882053,5,7,0.45054040895257763,-0.04959086908402933,-0.11006974757118644,No,,,2_40_1_50_4.csv,2.3884956213688158,0.6654957403506911,33.0,28.0,0.07237865519299441,0.023767705012524683,0.3283800306754688,No,2_100_1.5_150_16.csv,0.6386362509057505,0.09304419334248908,6.0,10.0,0.10643937515095842,0.009304419334248908,0.08741520063466032,No
1_20_0.75_50_18.csv,1.471710125,0.5437833754878517,71.0,71.0,0.02072831161971831,0.007658920781519038,0.369490816330323,No,2_100_1.5_125_8.csv,2.243273906004837,-0.33923595997408557,7,8,0.3204677008578338,-0.042404494996760696,-0.13232065160779563,No,,,2_40_1_100_4.csv,2.210481245393877,0.23151834370417756,29.0,24.0,0.07622349122047851,0.009646597654340732,0.12655675435329625,No,2_100_1.5_225_14.csv,0.6386362492714194,0.04067376723942948,6.0,10.0,0.1064393748785699,0.004067376723942948,0.03821308353777131,No
1_20_0.75_50_20.csv,1.471710125,0.5437833754878517,71.0,71.0,0.02072831161971831,0.007658920781519038,0.369490816330323,No,2_100_1.5_150_8.csv,2.243273491725322,-0.33923594416693825,7,8,0.320467641675046,-0.04240449302086728,-0.13232066987863134,No,,,2_60_1.25_50_6.csv,2.12747772605535,0.01519175709189102,17.0,16.0,0.12514574859149116,0.0009494848182431887,0.007587032151947553,No,2_100_1.5_200_10.csv,0.6386362407211068,0.10656800117536992,6.0,10.0,0.1064393734535178,0.010656800117536992,0.10012084599681366,No
1_20_0.75_50_4.csv,1.471710125,0.5437833754878517,71.0,71.0,0.02072831161971831,0.007658920781519038,0.369490816330323,No,2_100_1.5_100_8.csv,2.2432732066757843,-0.3392359790163531,7,8,0.3204676009536835,-0.04240449737704414,-0.13232070028562037,No,,,2_60_1.25_75_6.csv,2.12747772605535,0.01519175709189102,17.0,16.0,0.12514574859149116,0.0009494848182431887,0.007587032151947553,No,2_100_1.5_175_16.csv,0.6386362284505541,0.09304432031422177,6.0,10.0,0.10643937140842569,0.009304432031422177,0.087415322998475,No
1_20_0.75_50_6.csv,1.471710125,0.5437833754878517,71.0,71.0,0.02072831161971831,0.007658920781519038,0.369490816330323,No,2_100_1.5_50_8.csv,2.2432732066757843,-0.3392359790163531,7,8,0.3204676009536835,-0.04240449737704414,-0.13232070028562037,No,,,2_40_0.75_75_4.csv,2.1089969184779775,0.26996932516155187,34.0,31.0,0.06202932113170522,0.008708687908437157,0.14039631176917491,No,2_100_1.5_200_18.csv,0.6386362239115603,0.10656811795798472,6.0,10.0,0.10643937065192671,0.010656811795798473,0.10012095834959325,No
