Para1,InSample1_RateOfReturn,OutSample1_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample1_AvgTrade,OutSample1_AvgTrade,Score_1,Pass1,Para2,Pass2,Para3,Pass3,Para4,InSample4_RateOfReturn,OutSample4_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample4_AvgTrade,OutSample4_AvgTrade,Score_4,Pass4,Para5,InSample5_RateOfReturn,OutSample5_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample5_AvgTrade,OutSample5_AvgTrade,Score_5,Pass5
2_20_0.75_100_12.csv,0.94399175,-0.11654222555214033,30.0,38.0,0.03146639166666667,-0.0030669006724247457,-0.09746591553659485,No,,,,,2_120_0.75_75_4.csv,3.089827891384436,0.427083694190624,10,13,0.3089827891384436,0.03285259186081723,0.1063249896617938,No,2_100_0.75_125_4.csv,0.5970188864730752,-0.2571910754496397,13.0,18.0,0.045924529728698094,-0.01428839308053554,-0.3111276950454382,No
2_20_0.75_100_14.csv,0.94399175,-0.11654222555214033,30.0,38.0,0.03146639166666667,-0.0030669006724247457,-0.09746591553659485,No,,,,,2_120_0.75_175_4.csv,3.089827680673786,0.027818492042214624,10,13,0.30898276806737857,0.0021398840032472786,0.006925577166104755,No,2_100_0.75_100_4.csv,0.5970187522666321,-0.25719103667899235,13.0,18.0,0.04592451940512555,-0.014288390926610686,-0.3111277180837735,No
2_20_0.75_100_16.csv,0.94399175,-0.11654222555214033,30.0,38.0,0.03146639166666667,-0.0030669006724247457,-0.09746591553659485,No,,,,,2_120_0.75_200_4.csv,3.089827573826358,0.02781842227661458,10,13,0.3089827573826358,0.00213987863666266,0.006925560037036931,No,2_100_0.75_75_4.csv,0.5970187522666321,-0.25719103667899235,13.0,18.0,0.04592451940512555,-0.014288390926610686,-0.3111277180837735,No
2_20_0.75_100_18.csv,0.94399175,-0.11654222555214033,30.0,38.0,0.03146639166666667,-0.0030669006724247457,-0.09746591553659485,No,,,,,2_120_0.75_150_4.csv,3.089826740459888,0.4270835917186658,10,13,0.3089826740459888,0.032852583978358905,0.10632500375561235,No,2_120_0.75_50_4.csv,0.5952379935819853,-0.07634443781932693,10.0,13.0,0.05952379935819853,-0.005872649063025148,-0.09866052110828973,No
2_20_0.75_100_20.csv,0.94399175,-0.11654222555214033,30.0,38.0,0.03146639166666667,-0.0030669006724247457,-0.09746591553659485,No,,,,,2_100_0.75_125_12.csv,2.9013576984773737,0.4465617393118323,7,9,0.4144796712110534,0.04961797103464803,0.11971147074516598,No,2_40_0.75_50_4.csv,0.5473744147582381,-0.051470561079589174,25.0,31.0,0.021894976590329525,-0.0016603406799867476,-0.07583203723177669,No
2_20_0.75_100_4.csv,0.94399175,-0.04414971771356539,30.0,38.0,0.03146639166666667,-0.0011618346766727734,-0.036923034867818706,No,,,,,2_100_0.75_125_14.csv,2.9013576984773737,0.4465617393118323,7,9,0.4144796712110534,0.04961797103464803,0.11971147074516598,No,2_120_1_100_6.csv,0.5320866863751681,-0.06344929942286182,9.0,11.0,0.05912074293057423,-0.005768118129351074,-0.09756504812743308,No
2_20_0.75_100_6.csv,0.94399175,-0.11654222555214033,30.0,38.0,0.03146639166666667,-0.0030669006724247457,-0.09746591553659485,No,,,,,2_100_0.75_125_16.csv,2.9013576984773737,0.4465617393118323,7,9,0.4144796712110534,0.04961797103464803,0.11971147074516598,No,2_120_1_125_6.csv,0.5320866863751681,-0.06344929942286182,9.0,11.0,0.05912074293057423,-0.005768118129351074,-0.09756504812743308,No
2_20_0.75_100_8.csv,0.94399175,-0.11654222555214033,30.0,38.0,0.03146639166666667,-0.0030669006724247457,-0.09746591553659485,No,,,,,2_100_0.75_125_18.csv,2.9013576984773737,0.4465617393118323,7,9,0.4144796712110534,0.04961797103464803,0.11971147074516598,No,2_120_1_75_6.csv,0.5320866863751681,-0.06344929942286182,9.0,11.0,0.05912074293057423,-0.005768118129351074,-0.09756504812743308,No
2_20_0.75_125_10.csv,0.88109675,-0.06935378895317319,29.0,38.0,0.030382646551724138,-0.0018250997092940314,-0.06007046509878389,No,,,,,2_100_0.75_125_20.csv,2.9013576984773737,0.4465617393118323,7,9,0.4144796712110534,0.04961797103464803,0.11971147074516598,No,2_120_1_150_6.csv,0.5320866489456295,-0.06344933396505995,9.0,11.0,0.05912073877173661,-0.005768121269550904,-0.09756510810565894,No
2_20_0.75_125_12.csv,0.88109675,-0.06935378895317319,29.0,38.0,0.030382646551724138,-0.0018250997092940314,-0.06007046509878389,No,,,,,2_100_0.75_125_8.csv,2.901357197402248,0.44656174768717155,7,9,0.4144795996288925,0.049617971965241287,0.11971149366498886,No,2_120_1_50_6.csv,0.532086581582912,-0.06344929940832661,9.0,11.0,0.05912073128699022,-0.005768118128029692,-0.09756506732011605,No
2_20_0.75_125_14.csv,0.88109675,-0.06935378895317319,29.0,38.0,0.030382646551724138,-0.0018250997092940314,-0.06007046509878389,No,,,,,2_100_0.75_125_10.csv,2.9013574059863583,0.4465617376436028,7,9,0.4144796294266226,0.0496179708492892,0.11971148236628434,No,2_100_0.75_150_6.csv,0.5126000120132919,-0.17452520667696647,11.0,17.0,0.04660000109211744,-0.010266188628056852,-0.2203044718338733,No
2_20_0.75_125_16.csv,0.88109675,-0.06935378895317319,29.0,38.0,0.030382646551724138,-0.0018250997092940314,-0.06007046509878389,No,,,,,2_100_0.75_100_8.csv,2.9013560258055984,0.4465617414032068,7,9,0.41447943225794265,0.04961797126702298,0.11971154032112326,No,2_60_1_125_6.csv,0.5042314520594924,-0.09228927591864193,15.0,20.0,0.03361543013729949,-0.004614463795932096,-0.13727219247484546,No
