Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window1_GrossProfit,Window1_GrossLoss,Score_1,Pass1,Para2,Pass2,Para3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window4_GrossProfit,Window4_GrossLoss,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window5_GrossProfit,Window5_GrossLoss,Score_5,Pass5
,,,,,,,,,,,2_60_1.5_200_16.csv,0.24502559526258216,-0.013662732461163203,9916739.771,-9280897.271,1.06851088654831,No,,,,,,,
,,,,,,,,,,,2_60_1.5_200_18.csv,0.24502559526258216,-0.013662732461163203,9916739.771,-9280897.271,1.06851088654831,No,,,,,,,
,,,,,,,,,,,2_60_1.5_200_20.csv,0.24502559526258216,-0.013662732461163203,9916739.771,-9280897.271,1.06851088654831,No,,,,,,,
,,,,,,,,,,,2_60_1.5_225_16.csv,0.24502560142597757,-0.021863153617003864,10220079.1,-9599814.569,1.0646121366763661,No,,,,,,,
,,,,,,,,,,,2_60_1.5_225_18.csv,0.24502560142597757,-0.021863153617003864,10220079.1,-9599814.569,1.0646121366763661,No,,,,,,,
,,,,,,,,,,,2_60_1.5_225_20.csv,0.24502560142597757,-0.021863153617003864,10220079.1,-9599814.569,1.0646121366763661,No,,,,,,,
,,,,,,,,,,,2_20_1.5_75_10.csv,0.2335847435089115,0.0025248604163402143,9511117.065,-8535484.127,1.1143031752485852,No,,,,,,,
,,,,,,,,,,,2_20_1.5_75_12.csv,0.2335847435089115,0.0025248604163402143,9511117.065,-8535484.127,1.1143031752485852,No,,,,,,,
,,,,,,,,,,,2_20_1.5_75_14.csv,0.23358470399105735,0.002524861425475311,9606802.598,-8621354.394,1.1143031777797952,No,,,,,,,
,,,,,,,,,,,2_20_1.5_75_16.csv,0.23358470399105735,0.002524861425475311,9606802.598,-8621354.394,1.1143031777797952,No,,,,,,,
,,,,,,,,,,,2_20_1.5_75_18.csv,0.23358470399105735,0.002524861425475311,9606802.598,-8621354.394,1.1143031777797952,No,,,,,,,
,,,,,,,,,,,2_20_1.5_75_20.csv,0.23358470399105735,0.002524861425475311,9606802.598,-8621354.394,1.1143031777797952,No,,,,,,,
,,,,,,,,,,,2_60_1_100_6.csv,0.23144061262157045,0.045560106512815446,6893873.46,-6269623.097,1.0995674466139285,No,,,,,,,
,,,,,,,,,,,2_60_1_100_4.csv,0.23088740023921894,0.009277157838571783,7044596.844,-6499883.73,1.0838035165899804,No,,,,,,,
,,,,,,,,,,,1_100_0.75_50_10.csv,0.2418053720693234,-0.010825426786206594,6507852.624,-6073017.842999999,1.0716011038072626,No,,,,,,,
