Symbol,Fullname
2390,2390云辰電子開發股份有限公司
2392,2392正崴精密工業股份有限公司
2393,2393億光電子工業股份有限公司
2395,2395研華股份有限公司
2397,2397友通資訊股份有限公司
2399,2399映泰股份有限公司
2401,2401凌陽科技股份有限公司
2402,2402毅嘉科技股份有限公司
2404,2404漢唐集成股份有限公司
2405,2405浩鑫股份有限公司
2406,2406國碩科技工業股份有限公司
2408,2408南亞科技股份有限公司
2409,2409友達光電股份有限公司
2412,2412中華電信股份有限公司
2413,2413環隆科技股份有限公司
2414,2414精技電腦股份有限公司
2415,2415錩新科技股份有限公司
2417,2417圓剛科技股份有限公司
2419,2419仲琦科技股份有限公司
2420,2420新巨企業股份有限公司
2421,2421建準電機工業股份有限公司
2423,2423固緯電子實業股份有限公司
2424,2424隴華電子股份有限公司
2425,2425承啟科技股份有限公司
2426,2426鼎元光電科技股份有限公司
2427,2427三商電腦股份有限公司
2428,2428興勤電子工業股份有限公司
2429,2429銘旺科技股份有限公司
2430,2430燦坤實業股份有限公司
2431,2431聯昌電子企業股份有限公司
2433,2433互盛股份有限公司
2434,2434統懋半導體股份有限公司
2436,2436偉詮電子股份有限公司
2438,2438翔耀實業股份有限公司
2439,2439美律實業股份有限公司
2440,2440太空梭高傳真資訊科技(股)公司
2441,2441超豐電子股份有限公司
2442,2442新美齊股份有限公司
2443,2443新利虹科技股份有限公司
2444,2444友旺科技股份有限公司
2448,2448晶元光電股份有限公司
2449,2449京元電子股份有限公司
2450,2450神腦國際企業股份有限公司
2451,2451創見資訊股份有限公司
2453,2453凌群電腦股份有限公司
2454,2454聯發科技股份有限公司
2455,2455全新光電科技股份有限公司
2456,2456奇力新電子股份有限公司
2457,2457飛宏科技股份有限公司
2458,2458義隆電子股份有限公司
2459,2459敦吉科技股份有限公司
2460,2460建通精密工業股份有限公司
2461,2461光群雷射科技股份有限公司
2462,2462台灣良得電子股份有限公司
2464,2464盟立自動化股份有限公司
2465,2465麗臺科技股份有限公司
2466,2466冠西電子企業股份有限公司
2467,2467志聖工業股份有限公司
2468,2468華經資訊企業股份有限公司
2471,2471資通電腦股份有限公司
2472,2472立隆電子工業股份有限公司
