Para1,InSample1_RateOfReturn,OutSample1_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample1_AvgTrade,OutSample1_AvgTrade,Score_1,Pass1,Para2,InSample2_RateOfReturn,OutSample2_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample2_AvgTrade,OutSample2_AvgTrade,Score_2,Pass2,Para3,InSample3_RateOfReturn,OutSample3_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample3_AvgTrade,OutSample3_AvgTrade,Score_3,Pass3,Para4,InSample4_RateOfReturn,OutSample4_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample4_AvgTrade,OutSample4_AvgTrade,Score_4,Pass4,Para5,Pass5,Para6,InSample6_RateOfReturn,OutSample6_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample6_AvgTrade,OutSample6_AvgTrade,Score_6,Pass6,Para7,InSample7_RateOfReturn,OutSample7_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample7_AvgTrade,OutSample7_AvgTrade,Score_7,Pass7,Para8,InSample8_RateOfReturn,OutSample8_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample8_AvgTrade,OutSample8_AvgTrade,Score_8,Pass8,Para9,Pass9
2_40_1.25_75_12.csv,0.997223125,1.0357903176191192,7.0,9.0,0.14246044642857142,0.11508781306879103,0.8078580121991628,Yes,2_40_1.75_50_10.csv,1.3490109768611773,0.4046018398887312,6.0,7.0,0.22483516281019622,0.05780026284124732,0.25707839520654413,No,2_40_1.5_75_6.csv,0.482168316939633,1.2084647571365954,10.0,14.0,0.048216831693963305,0.08631891122404253,1.7902236250593289,Yes,2_20_1.25_75_16.csv,2.5936929360544783,-0.2807338492678698,15,10,0.17291286240363188,-0.02807338492678698,-0.1623556775160835,No,,,2_80_1.25_50_16.csv,1.2508909719559849,0.18485502506338977,4.0,6.0,0.3127227429889962,0.030809170843898295,0.09851912447884348,No,2_80_0.75_100_4.csv,0.9742452960252154,0.2688182600628574,14.0,10.0,0.06958894971608681,0.02688182600628574,0.38629446364630926,No,2_100_0.75_150_6.csv,0.9432485823108603,-0.1472036203725481,4.0,7.0,0.23581214557771507,-0.02102908862464973,-0.08917729226003462,No,,
2_40_1.25_75_14.csv,0.997223125,1.0357903176191192,7.0,9.0,0.14246044642857142,0.11508781306879103,0.8078580121991628,Yes,2_40_1.75_100_10.csv,1.3357318784867338,0.33466306919872,5.0,7.0,0.2671463756973468,0.04780900988553143,0.17896185101045434,No,2_40_1.5_100_6.csv,0.47936108671997246,0.6351134241172921,10.0,14.0,0.04793610867199725,0.04536524457980658,0.9463689447597466,Yes,2_20_1.25_75_18.csv,2.5936929360544783,-0.2807338492678698,15,10,0.17291286240363188,-0.02807338492678698,-0.1623556775160835,No,,,2_80_1.25_50_18.csv,1.2508909719559849,0.18485502506338977,4.0,6.0,0.3127227429889962,0.030809170843898295,0.09851912447884348,No,2_80_0.75_125_4.csv,0.9742452329268652,0.42020947882544785,14.0,8.0,0.0695889452090618,0.05252618485318098,0.7548064523090526,Yes,2_100_0.75_150_8.csv,0.9432485726946818,-0.14720365202962502,4.0,7.0,0.23581214317367044,-0.021029093147089287,-0.08917731234731972,No,,
2_40_1.25_75_16.csv,0.997223125,1.0357903176191192,7.0,9.0,0.14246044642857142,0.11508781306879103,0.8078580121991628,Yes,2_40_1.5_50_10.csv,1.316398541666521,0.27788022901819487,9.0,10.0,0.14626650462961344,0.027788022901819486,0.18998213550112733,No,2_40_0.75_50_6.csv,0.49896269066251314,2.3726107474260387,16.0,19.0,0.03118516816640707,0.12487424986452836,4.004283356696597,Yes,2_20_1.25_75_20.csv,2.5936929360544783,-0.2807338492678698,15,10,0.17291286240363188,-0.02807338492678698,-0.1623556775160835,No,,,2_80_1.25_50_20.csv,1.2508909719559849,0.18485502506338977,4.0,6.0,0.3127227429889962,0.030809170843898295,0.09851912447884348,No,2_80_0.75_150_4.csv,0.974245175523031,0.5674416827788603,14.0,7.0,0.06958894110878792,0.08106309753983719,1.1648847683012131,Yes,2_100_0.75_150_10.csv,0.9432485459109319,-0.1472036175810091,4.0,7.0,0.23581213647773297,-0.021029088225858444,-0.08917729401024344,No,,
2_40_1.25_75_18.csv,0.997223125,1.0357903176191192,7.0,9.0,0.14246044642857142,0.11508781306879103,0.8078580121991628,Yes,2_20_2_100_10.csv,1.2933385068299976,0.1294504887052368,7.0,12.0,0.18476264383285682,0.010787540725436398,0.05838594047828852,No,2_40_2_125_6.csv,0.40028708757489523,0.4335674772709278,10.0,13.0,0.040028708757489526,0.033351344405455986,0.8331856170408151,Yes,2_20_0.75_50_10.csv,2.578733225462046,-0.3229348164225023,22,18,0.11721514661191118,-0.017940823134583464,-0.15305891476622827,No,,,2_80_1.25_75_16.csv,1.2508909719559849,0.18485502506338977,4.0,6.0,0.3127227429889962,0.030809170843898295,0.09851912447884348,No,2_80_0.75_200_4.csv,0.9742450987101926,-0.1626317541213611,14.0,6.0,0.06958893562215661,-0.027105292353560184,-0.38950577575625484,No,2_100_0.75_150_12.csv,0.9432485251170485,-0.14720349730181773,4.0,7.0,0.23581213127926212,-0.02102907104311682,-0.08917722310992134,No,,
2_40_1.25_75_20.csv,0.997223125,1.0357903176191192,7.0,9.0,0.14246044642857142,0.11508781306879103,0.8078580121991628,Yes,2_20_2_100_12.csv,1.2933385068299976,0.1294504887052368,7.0,12.0,0.18476264383285682,0.010787540725436398,0.05838594047828852,No,2_20_1_125_6.csv,0.3964549298118796,1.2712863988264103,17.0,18.0,0.02332087822422821,0.0706270221570228,3.0284889564599644,Yes,2_20_0.75_50_12.csv,2.578733225462046,-0.3229348164225023,22,18,0.11721514661191118,-0.017940823134583464,-0.15305891476622827,No,,,2_80_1.25_75_18.csv,1.2508909719559849,0.18485502506338977,4.0,6.0,0.3127227429889962,0.030809170843898295,0.09851912447884348,No,2_80_0.75_225_4.csv,0.9742451191790965,-0.2412870587507391,14.0,7.0,0.06958893708422118,-0.03446957982153416,-0.49533131652545254,No,2_100_0.75_150_14.csv,0.9432484438216545,-0.14720369674500625,4.0,7.0,0.23581211095541363,-0.021029099535000893,-0.08917735162032024,No,,
2_40_1.5_75_10.csv,0.997223125,1.3618181118346504,7.0,8.0,0.14246044642857142,0.1702272639793313,1.194908960675495,Yes,2_20_2_100_14.csv,1.2933385068299976,0.1294504887052368,7.0,12.0,0.18476264383285682,0.010787540725436398,0.05838594047828852,No,2_40_2_225_6.csv,0.47305646110892097,0.7938431383876068,8.0,12.0,0.05913205763861512,0.0661535948656339,1.1187433265037183,Yes,2_20_0.75_50_14.csv,2.578733225462046,-0.3229348164225023,22,18,0.11721514661191118,-0.017940823134583464,-0.15305891476622827,No,,,2_80_1.25_75_20.csv,1.2508909719559849,0.18485502506338977,4.0,6.0,0.3127227429889962,0.030809170843898295,0.09851912447884348,No,2_80_0.75_175_4.csv,0.9742450794083503,0.1126203615427944,14.0,7.0,0.0695889342434536,0.016088623077542056,0.23119513544002224,No,2_100_0.75_150_16.csv,0.9432484438216545,-0.14720369674500625,4.0,7.0,0.23581211095541363,-0.021029099535000893,-0.08917735162032024,No,,
2_40_1.5_75_12.csv,0.997223125,1.2528782306183242,7.0,8.0,0.14246044642857142,0.15660977882729052,1.0993211291515463,Yes,2_20_2_100_16.csv,1.2933385068299976,0.1294504887052368,7.0,12.0,0.18476264383285682,0.010787540725436398,0.05838594047828852,No,2_40_1_50_4.csv,0.37707356792364605,2.0317964032933746,16.0,20.0,0.023567097995227878,0.10158982016466873,4.310663119627192,Yes,2_20_0.75_50_16.csv,2.578733225462046,-0.3229348164225023,22,18,0.11721514661191118,-0.017940823134583464,-0.15305891476622827,No,,,2_80_1.25_225_14.csv,1.2508909522396865,0.16502862552774358,4.0,7.0,0.3127227380599216,0.023575517932534797,0.07538792375250127,No,2_100_1_200_6.csv,0.8983905356975371,0.29467588379251547,11.0,6.0,0.08167186688159428,0.04911264729875258,0.6013410636242074,Yes,2_100_0.75_150_18.csv,0.9432484438216545,-0.14720369674500625,4.0,7.0,0.23581211095541363,-0.021029099535000893,-0.08917735162032024,No,,
2_40_1.5_75_14.csv,0.997223125,1.2528782306183242,7.0,8.0,0.14246044642857142,0.15660977882729052,1.0993211291515463,Yes,2_20_2_100_18.csv,1.2933385068299976,0.1294504887052368,7.0,12.0,0.18476264383285682,0.010787540725436398,0.05838594047828852,No,2_40_2_125_4.csv,0.3717437588076821,0.45690982968827343,12.0,15.0,0.030978646567306842,0.03046065531255156,0.98327908697916,Yes,2_20_0.75_50_18.csv,2.578733225462046,-0.3229348164225023,22,18,0.11721514661191118,-0.017940823134583464,-0.15305891476622827,No,,,2_80_1.25_175_16.csv,1.250890935633966,0.18485497088615044,4.0,6.0,0.3127227339084915,0.030809161814358405,0.09851909846558754,No,2_100_1_100_6.csv,0.8983905306408319,0.8239184666056423,11.0,6.0,0.08167186642189381,0.13731974443427372,1.6813592054443653,Yes,2_100_0.75_150_20.csv,0.9432484438216545,-0.14720369674500625,4.0,7.0,0.23581211095541363,-0.021029099535000893,-0.08917735162032024,No,,
2_40_1.5_75_16.csv,0.997223125,1.2528782306183242,7.0,8.0,0.14246044642857142,0.15660977882729052,1.0993211291515463,Yes,2_20_2_100_20.csv,1.2933385068299976,0.1294504887052368,7.0,12.0,0.18476264383285682,0.010787540725436398,0.05838594047828852,No,2_40_1.75_225_6.csv,0.457236507390754,0.8746822197793249,8.0,11.0,0.05715456342384425,0.07951656543448408,1.3912548827432851,Yes,2_20_0.75_50_20.csv,2.578733225462046,-0.3229348164225023,22,18,0.11721514661191118,-0.017940823134583464,-0.15305891476622827,No,,,2_80_1.25_175_18.csv,1.250890935633966,0.18485497088615044,4.0,6.0,0.3127227339084915,0.030809161814358405,0.09851909846558754,No,2_100_1_125_6.csv,0.8983905306408319,0.8239184666056423,11.0,6.0,0.08167186642189381,0.13731974443427372,1.6813592054443653,Yes,2_120_1.75_175_8.csv,0.9345086252923335,-0.15161893815189698,3.0,4.0,0.3115028750974445,-0.037904734537974244,-0.12168341793351622,No,,
2_40_1.5_75_18.csv,0.997223125,1.2528782306183242,7.0,8.0,0.14246044642857142,0.15660977882729052,1.0993211291515463,Yes,2_20_2_100_8.csv,1.2933385068299976,0.1294504887052368,7.0,12.0,0.18476264383285682,0.010787540725436398,0.05838594047828852,No,2_40_1.5_200_6.csv,0.36318097091160373,0.835467831590295,10.0,12.0,0.03631809709116037,0.06962231929919126,1.917014515502712,Yes,2_20_0.75_50_8.csv,2.578733225462046,-0.3229348164225023,22,18,0.11721514661191118,-0.017940823134583464,-0.15305891476622827,No,,,2_80_1.25_175_20.csv,1.250890935633966,0.18485497088615044,4.0,6.0,0.3127227339084915,0.030809161814358405,0.09851909846558754,No,2_100_1_50_6.csv,0.8983905306408319,0.8239184666056423,11.0,6.0,0.08167186642189381,0.13731974443427372,1.6813592054443653,Yes,2_20_0.75_125_10.csv,0.9223409995121433,-0.03879664927938856,17.0,13.0,0.054255352912479016,-0.002984357636876043,-0.0550057731942174,No,,
