Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window1_GrossProfit,Window1_GrossLoss,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window2_GrossProfit,Window2_GrossLoss,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window3_GrossProfit,Window3_GrossLoss,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window4_GrossProfit,Window4_GrossLoss,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window5_GrossProfit,Window5_GrossLoss,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window6_GrossProfit,Window6_GrossLoss,Score_6,Pass6,Para7,Pass7
3_120_1.5_100_16.csv,0.12151102349999998,0.01934794439551805,6433095.498,-5832043.81,1.1030602148374464,No,,,,,,,,2_120_1.75_200_6.csv,0.11624446448218376,-0.016441894126438306,10436561.935,-9896689.31,1.0545508308980147,No,,,,,,,,2_60_1_75_16.csv,0.14834393225601122,0.03424067223314802,16569755.092,-15142946.092,1.0942226823850203,No,,,,,,,,,
3_120_1.5_100_18.csv,0.12151102349999998,0.01934794439551805,6433095.498,-5832043.81,1.1030602148374464,No,,,,,,,,1_40_1_50_10.csv,0.11236443842961982,-0.03557041893703771,19095898.125,-18484208.5,1.033092551677287,No,,,,,,,,2_60_1_75_18.csv,0.14834393225601122,0.03424067223314802,16569755.092,-15142946.092,1.0942226823850203,No,,,,,,,,,
3_120_1.5_100_20.csv,0.12151102349999998,0.01934794439551805,6433095.498,-5832043.81,1.1030602148374464,No,,,,,,,,1_40_1_50_12.csv,0.11236443842961982,-0.03557041893703771,19095898.125,-18484208.5,1.033092551677287,No,,,,,,,,2_60_1_75_20.csv,0.14834393225601122,0.03424067223314802,16569755.092,-15142946.092,1.0942226823850203,No,,,,,,,,,
3_120_1.5_100_4.csv,0.12151102349999998,0.01934794439551805,6433095.498,-5832043.81,1.1030602148374464,No,,,,,,,,1_40_1_50_14.csv,0.11236443842961982,-0.03557041893703771,19095898.125,-18484208.5,1.033092551677287,No,,,,,,,,2_60_1_50_8.csv,0.1483439229286152,0.03682696947599637,28290430.5,-25842127.25,1.09474077835446,No,,,,,,,,,
3_120_1.5_100_6.csv,0.12151102349999998,0.01934794439551805,6433095.498,-5832043.81,1.1030602148374464,No,,,,,,,,1_40_1_50_16.csv,0.11236443842961982,-0.03557041893703771,19095898.125,-18484208.5,1.033092551677287,No,,,,,,,,2_60_1_125_10.csv,0.14834392055845333,0.045723893453597036,14294435.092,-12853920.53,1.112068108608417,No,,,,,,,,,
3_120_1.5_100_8.csv,0.12151102349999998,0.01934794439551805,6433095.498,-5832043.81,1.1030602148374464,No,,,,,,,,1_40_1_50_18.csv,0.11236443842961982,-0.03557041893703771,19095898.125,-18484208.5,1.033092551677287,No,,,,,,,,2_60_1_75_8.csv,0.1483439227222191,0.03424066316391716,20629136.436,-18852777.811,1.0942226468061143,No,,,,,,,,,
3_120_1.5_125_10.csv,0.12151102349999998,0.01934794439551805,6433095.498,-5832043.81,1.1030602148374464,No,,,,,,,,1_40_1_50_20.csv,0.11236443842961982,-0.03557041893703771,19095898.125,-18484208.5,1.033092551677287,No,,,,,,,,2_60_1_75_6.csv,0.14834392370196714,0.07065919231039156,18979045.193,-16930314.693,1.1210095935692836,No,,,,,,,,,
3_120_1.5_125_12.csv,0.12151102349999998,0.01934794439551805,6433095.498,-5832043.81,1.1030602148374464,No,,,,,,,,1_40_1_50_6.csv,0.11236443842961982,-0.03557041893703771,19095898.125,-18484208.5,1.033092551677287,No,,,,,,,,2_60_1_200_12.csv,0.1483439211432553,0.0020987385823462825,7208949.496,-6647649.98,1.0844357807178049,No,,,,,,,,,
3_120_1.5_125_14.csv,0.12151102349999998,0.01934794439551805,6433095.498,-5832043.81,1.1030602148374464,No,,,,,,,,1_40_1_50_8.csv,0.11236443842961982,-0.03557041893703771,19095898.125,-18484208.5,1.033092551677287,No,,,,,,,,2_60_1_150_14.csv,0.14834391891788928,0.04572390549548665,8141112.71,-7320696.147000001,1.1120681075304844,No,,,,,,,,,
3_120_1.5_125_16.csv,0.12151102349999998,0.01934794439551805,6433095.498,-5832043.81,1.1030602148374464,No,,,,,,,,3_40_1_50_10.csv,0.11236443842961982,-0.03557041893703771,19095898.125,-18484208.5,1.033092551677287,No,,,,,,,,2_60_1_150_16.csv,0.14834391891788928,0.04572390549548665,8141112.71,-7320696.147000001,1.1120681075304844,No,,,,,,,,,
